,Link,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Participant 2,Participant 3,Participant 4,Intro,Program best described as,Primary teaching site,Year 1,Year 2,Year 3,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system,% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",,Participant 5,Participant 6,Participant 7,Participant 8,Participant 9,Participant 10,Participant 11,Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Year 4,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4
0,https://freida.ama-assn.org/program/0802431043,3,3,No,No,July,Yes,No,http://www.hms.harvard.edu/dermatology/index.html,Not Available,"Jennifer  Huang
MD
Massachusetts General Hosp
BH616
55 Fruit St
Boston, MA 02114
Tel: (617) 726-5254
Fax: (617) 726-1875
E-mail: jennifer.huang@childrens.harvard.edu","Diane  Kovacev
Massachusetts General Hosp
BH616
55 Fruit St
Boston, MA 02114
Tel: (617) 726-5254
Fax:
E-mail: info.hmsderm@partners.org",0802431043,"Massachusetts General Hosp, BH616, 55 Fruit St, Boston, MA 02114","55 Fruit St, Boston, MA 02114","300 Longwood Ave, Boston, MA 02115-5737","41 Mall Rd, Burlington, MA 01805","940 Belmont St, Brockton, MA 02401","75 Francis St, Boston, MA 02115","330 Brookline Ave, Boston, MA 02215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/0802421114,3,3,No,No,July,Yes,No,http://www.umassmed.edu/derm/,Not Available,"Karen  Wiss
MD
UMass Memorial Health Care
Dept of Dermatology
281 Lincoln St
Worcester, MA 01605
Tel: (508) 334-5978
Fax: (508) 334-5981
E-mail: karen.wiss@umassmemorial.org","Esmeralda  Valois
UMass Memorial Health Care
Dept of Dermatology
281 Lincoln St
Worcester, MA 01605
Tel: (508) 334-5971
Fax: (508) 334-5981
E-mail: esmeralda.valois@umassmemorial.org",0802421114,"UMass Memorial Health Care, Dept of Dermatology, 281 Lincoln St, Worcester, MA 01605","55 Lake Ave N, Worcester, MA 01655","281 Lincoln St, Worcester, MA 01605","119 Belmont St, Worcester, MA 01605-2982","55 Lake Ave N, Worcester, MA 01655",,,Interim subsidized health insurance coverage is available during the 60-day waiting period.,University-based,UMass Memorial Health Care (Hahnemann Campus),3,3,3,"Yes  , 1 year(s)",No,No,No,,-_12/1/2020 - 1/24/2021,8/1/2020,11/1/2020,Yes,25,No,No,3,No,Yes,210___,No,236-245,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",Yes,No,No,11,0,3,0,14,0,63.6,1.3 to 1,50,12,2,No,No,82.2,7.0,10.7,42.5,57.4,N/A,8,N/A,6,N/A,4,10,70%,N/A,"$63,833.00",15,15,"$66,961.00",15,15,"$69,714.00",15,15,Yes,60,80,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Resident Shares Cost,Resident Shares Cost,"Available, Not Paid By Institution",Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,Not Available,More than 30 days of starting program,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Optional,Yes,Yes,No,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/0802321040,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Available_Not Available_Not Available_No_No_Not Available_Not Available,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/0802321041,3,3,No,No,July,Yes,No,,Not Available,"Marcia S Driscoll
MD
Univ of Maryland Med Ctr
Ste 235
419 W Redwood St
Baltimore, MD 21201
Tel: (667) 214-1199
Fax: (410) 328-0098
E-mail: mdriscoll@som.umaryland.edu","Betsy  Satosky
Univ of Maryland Med Ctr
Ste 235
419 W Redwood St
Baltimore, MD 21201
Tel: (667) 214-1199
Fax:
E-mail: fsatosky@som.umaryland.edu",0802321041,"Univ of Maryland Med Ctr, Ste 235, 419 W Redwood St, Baltimore, MD 21201","22 S Greene St, Baltimore, MD 21201-1595","10 N Greene St, Baltimore, MD 21201-1524",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/0801021123,3,3,Yes,Yes,June,No,Yes,,Not Available,"Kent S Handfield
MD, MPH
Walter Reed National Military Med Ctr
Dermatology Dept America Bldg 3rd Fl
8901 Wisconsin Ave
Bethesda, MD 20889
Tel: (301) 295-7748
Fax: (301) 319-0175
E-mail: kent.s.handfield.mil@mail.mil","Chaconia  Agyenkwah
BA
Walter Reed National Military Med Ctr
Dermatology Dept America Bldg 3rd Fl
8901 Wisconsin Ave
Bethesda, MD 20889
Tel: (301) 319-4909
Fax: (301) 295-5164
E-mail: chaconia.r.agyenkwah2.ctr@mail.mil",0801021123,"Walter Reed National Military Med Ctr, Dermatology Dept America Bldg 3rd Fl, 8901 Wisconsin Ave, Bethesda, MD 20889","4301 Jones Bridge Rd, Bethesda, MD 20814-4799","8901 Rockville Pike, Bethesda, MD 20889-5600","111 Michigan Ave NW, Washington, DC 20010","9300 DeWitt Loop, Fort Belvoir, VA 22060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/0801021106,3,3,No,Yes,July,Yes,No,http://www.medstarhealth.org/dermatologyresidency,Not Available,"Min  Deng
MD
MedStar Washington Hosp Ctr
#660
5530 Wisconsin Ave
Chevy Chase, MD 20815
Tel:
Fax:
E-mail: min.deng@medstar.net","Steve  Lang
MedStar Washington Hosp Ctr
#660
5530 Wisconsin Ave
Chevy Chase, MD 20815
Tel: (202) 981-4844
Fax:
E-mail: steven.m.lang@medstar.net",0801021106,"MedStar Washington Hosp Ctr, #660, 5530 Wisconsin Ave, Chevy Chase, MD 20815","10980 Grantchester Way, Columbia, MD 21044","110 Irving St NW, Washington, DC 20010","111 Michigan Ave NW, Washington, DC 20010","3800 Reservoir Rd NW, Washington, DC 20007","10 Center Dr, Bethesda, MD 20892",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/0802531045,4,4,No,No,July,Yes,No,https://medicine.umich.edu/dept/dermatology,Not Available,"Yolanda  Helfrich
MD
Michigan Med Univ of Michigan
1910 Taubman Ctr SPC 5314
1500 E Medical Center Dr
Ann Arbor, MI 48109
Tel: (734) 936-6674
Fax: (734) 936-6395
E-mail: derm.res.app@umich.edu","Holley  Comiskey
Michigan Med Univ of Michigan
1910 Taubman Ctr SPC 5314
1500 E Medical Center Dr
Ann Arbor, MI 48109
Tel: (734) 936-6674
Fax: (734) 936-6395
E-mail: hcomiske@med.umich.edu",0802531045,"Michigan Med Univ of Michigan, 1910 Taubman Ctr SPC 5314, 1500 E Medical Center Dr, Ann Arbor, MI 48109","2600 Green Rd, Ann Arbor, MI 48109","2215 Fuller Rd, Ann Arbor, MI 48105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/0802500142,3,3,Yes,Yes,July,Yes,No,https://www.beaumont.edu,Not Available,"Annette  LaCasse
DO
Commerce Inst of Skin
Dermatology Pgm
8906 Commerce Rd
Commerce Township, MI 48382
Tel: (947) 521-7393
Fax: (248) 471-8837
E-mail: kathleen.summers3@beaumont.org","Kathleen  Summers
Beaumont Hosp-Farmington Hills
Dermatology Pgm
28050 Grand River Ave
Farmington Hills, MI 48336
Tel: (947) 521-7393
Fax: (248) 471-8837
E-mail: kathleen.summers3@beaumont.org",0802500142,"Commerce Inst of Skin, Dermatology Pgm, 8906 Commerce Rd, Commerce Township, MI 48382","3601 W 13 Mile Rd, Royal Oak, MI 48073","28050 Grand River Ave, Farmington Hills, MI 48336","50 N Perry St, Pontiac, MI 48342","8906 Commerce Rd, Commerce Township, MI 48382","1900 S Telegraph Rd, Bloomfield Hills, MI 48302","21141 Middlebelt Rd, Farmington Hills, MI 48336",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44056 Mound Rd, Sterling Heights, MI 48314","5701 Bow Pointe Dr, Carlkston, MI 48346","2300 Genoa Business Park Dr, Brighton, MI 48114",,,,,,,,,,
0,https://freida.ama-assn.org/program/0802513139,3,3,No,Yes,July,Yes,No,http://dermatology.med.wayne.edu/,Not Available,"Steven D Daveluy
MD
Beaumont Hosp Dearborn
Ste 300
18100 Oakwood Blvd
Dearborn, MI 48124
Tel: (313) 429-7854
Fax: (313) 429-7931
E-mail: sdaveluy@med.wayne.edu","Emma  Reaves
MPA
Beaumont Hosp Dearborn
Ste 300
18100 Oakwood Blvd
Dearborn, MI 48124
Tel: (313) 429-7845
Fax:
E-mail: ereaves@med.wayne.edu",0802513139,"Beaumont Hosp Dearborn, Ste 300, 18100 Oakwood Blvd, Dearborn, MI 48124","540 E Canfield, Detroit, MI 48201","4646 John R St, Detroit, MI 48201-1932","10000 Telegraph, Taylor, MI 48160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/0802512046,3,3,No,No,July,Yes,No,https://www.henryford.com/hcp/med-ed/residencies-fellowships/hfh/derm,Not Available,"Holly A Kerr
MD
Henry Ford Med Ctr
Dept of Dermatology Ste 800
3031 W Grand Blvd
Detroit, MI 48202
Tel: (313) 916-2171
Fax: (313) 916-2093
E-mail: hkerr1@hfhs.org","Monica Y Murphy
Henry Ford Med Ctr
Dept of Dermatology Ste 800
3031 W Grand Blvd
Detroit, MI 48202
Tel: (313) 916-2171
Fax: (313) 916-2093
E-mail: mmurphy1@hfhs.org",0802512046,"Henry Ford Med Ctr, Dept of Dermatology Ste 800, 3031 W Grand Blvd, Detroit, MI 48202","2799 W Grand Blvd, Detroit, MI 48202-2608",,,,,,"The program covers a broad curriculum with lectures in clinical derm, dermatopath, surgery, etc. Didactic lectures are held daily with Grand Rounds weekly. Clinics Include: continuity clinic and staff clinics. Subspecialty staff clinics: Multicultural derm, CTCL, Rheumatology-derm combined, Psoriasis-Psoriatic Arthritis Clinic, Pediatric derm, Pigmented lesions, photomedicine, medical derm,HS Clinic, Vitiligo Clinic, Scar Clinic, Integrative Derm-Psychiatry Clinic and Transplant Clinic.",Community-based university affiliated,Henry Ford Hospital,7,7,7,"Yes  , 1 year(s)",No,No,"Yes , Codes: 1300080A0",,-_11/21/2020 - 1/16/2021,9/1/2020,10/12/2020,Yes,71,Yes,Yes,3,No,Yes,220___,No,Greater than 245,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",Yes,No,No,14,0,13,0,27,0,42.8,0.9 to 1,55,16,1.9,Yes,No,100.0,0.0,0.0,71.7,28.2,N/A,7,N/A,7,N/A,Not Available,6,100%,0%,"$59,391.00",20,NGO,"$61,524.00",20,NGO,"$63,656.00",20,NGO,Yes,NGO,NGO,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Optional,Yes,Yes,Yes,,,,,,,,,,,,,,
