,Link,Program best described as,Primary teaching site,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Participant 2,Intro,Year 1,Year 2,Year 3,Year 4,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system (Residents participate during first year),% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Participant 3,Participant 4,Night float system,,Participant 5,Participant 6,Participant 7,Salary compensation_Year 5,Vacation days_Year 5,Sick days_Year 5,Participant 8,Participant 9,Participant 10,Participant 11,Year 5,Year most taxing schedule And frequency per year_Year 5,Beeper or home call (Weeks/Year)_Year 5
0,https://freida.ama-assn.org/program/0400121010,University-based,University of Alabama Hospital,4,4,No,Yes,June,Yes,No,https://www.uab.edu/medicine/anesthesiology/,Not Available,"Susan  Black
MD
Univ of Alabama Med Ctr
Dept of Anesthesiology
619 19th St S
Birmingham, AL 35249-6810
Tel: (205) 934-6525
Fax: (205) 975-0232
E-mail: celiakeenan@uabmc.edu","Celia E Keenan
BA
Univ of Alabama Med Ctr
Dept of Anesthesiology
619 19th St S
Birmingham, AL 35249-6810
Tel: (205) 934-6525
Fax: (205) 975-0232
E-mail: celiakeenan@uabmc.edu",0400121010,"Univ of Alabama Med Ctr, Dept of Anesthesiology, 619 19th St S, Birmingham, AL 35249-6810","619 19th St S, Birmingham, AL 35249-6505","1600 7th Ave S, Birmingham, AL 35233","700 S 19th St, Birmingham, AL 35233","1201 11th Ave S, Birmingham, AL 35205-0605","Our goal is for all graduates to be excellent clinicians, ready to enter any practice, whether they choose fellowship training or independent practice. Our Leadership Education and Development (LEAD) program includes a Quality and Patient Safety certification program, and Master's level courses in Health Care Administration, Health Care Informatics, and Public Health. Research tracks provide opportunities to develop skills in research, scientific presentation, and publication skills.",21,21,21,21,No,No,"Yes , Codes: 1007040C0,1007040C1",No,1/1/2021,10/29/2020 - 2/11/2021_10/7/2021 - 1/27/2022,9/15/2021,1/1/2022,Yes,178,No,No,3,No,Yes,215_215_600_600,Yes,236-245,Yes,Yes,Greater than 600,"Desired, with some exceptions",No,Yes,No,86,2,2,0,88,2,18.6,1.0 to 1,49,16,2.1,Yes,Yes,93.9,1.2,4.8,21.2,78.7,Every fourth night for 1 month(s),0,Every fourth night for 2 month(s),0,Every fourth night for 2 month(s),8,Every fourth night for 1 month(s),4,6,8%,N/A,"$54,214.00",15,5,"$55,992.00",15,5,"$57,506.00",15,5,"$59,941.00",15,5,Yes,NGO,NGO,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Optional,Yes,Yes,Yes,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/0400421013,University-based,University of Arkansas for Medical Sciences (UAMS) College of Medicine,4,4,No,Yes,July,Yes,No,https://anesthesiology.uams.edu/residency/,UAMS Anesthesia Residency,"Charles A Napolitano
MD, PhD
Univ of Arkansas for Med Sciences
Dept of Anesthesiology Slot 515
4301 W Markham St
Little Rock, AR 72205
Tel: (501) 686-6141
Fax: (501) 686-7059
E-mail: napolitanocharlesa@uams.edu","Mary Beth  Gresham
BA
Univ of Arkansas for Med Sciences
Dept of Anesthesiology Slot 515
4301 W Markham St
Little Rock, AR 72205
Tel: (501) 603-1656
Fax: (501) 686-7059
E-mail: mbgresham@uams.edu",0400421013,"Univ of Arkansas for Med Sciences, Dept of Anesthesiology Slot 515, 4301 W Markham St, Little Rock, AR 72205","4301 W Markham St, Little Rock, AR 72205-7249","4301 W Markham St, Little Rock, AR 72205","800 Marshall St, Little Rock, AR 72202-3591","4300 W 7th St, Little Rock, AR 72205-5484",The residency program at the University of Arkansas for Medical Sciences at Little Rock provides a strong educational and clinical experience for residents in anesthesiology.,13,14,14,14,No,No,"Yes , Codes: 1018040C0,1018040R0",Yes,1/1/2021,11/1/2020 - 2/15/2021_10/15/2021 - 1/1/2022,9/15/2021,1/1/2022,Yes,180,No,No,3,No,Yes,220_220_550_550,Yes,210-225,Yes,Yes,Greater than 600,"Desired, with some exceptions",Yes,Yes,No,45,0,3,0,48,0,40.0,0.8 to 1,56,24,1.5,No,Yes,59.1,33.1,7.7,20.9,79.0,N/A,0,Two times per week for 6 month(s),NGO,Two times per week for 6 month(s),NGO,Two times per week for 6 month(s),NGO,2,10%,N/A,"$53,615.00",15,5,"$54,365.00",15,5,"$56,158.00",15,5,"$57,799.00",15,5,No answer,27,NGO,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Fully Paid by Institution,"Available, Not Paid By Institution","Available, Not Paid By Institution",Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,"Available, Not Paid By Institution",Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Optional,Yes,Yes,Yes,"9601 I-630 Exit 7, Little Rock, AR 72205-7299","2 St Vincent Cir, Little Rock, AR 72205-3591",,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/0400331197,Community-based university affiliated,Mayo Clinic Hospital (Arizona),3,3,No,Yes,"June,July,August,Negotiable",Yes,No,http://www.mayo.edu/msgme/residencies-fellowships/anesthesiology,Not Available,"Andrew  Gorlin
MD
Mayo Clinic Arizona
Dept of Anesthesiology
5777 E Mayo Blvd
Phoenix, AZ 85054
Tel: (480) 342-1800
Fax: (480) 342-2319
E-mail: gorlin.andrew@mayo.edu","Kimberly M Fredricksen
BS
Mayo Clinic Arizona
Dept of Anesthesiology
5777 E Mayo Blvd
Phoenix, AZ 85054
Tel: (480) 342-1272
Fax: (480) 342-2319
E-mail: fredricksen.kimberly@mayo.edu",0400331197,"Mayo Clinic Arizona, Dept of Anesthesiology, 5777 E Mayo Blvd, Phoenix, AZ 85054","200 First St SW, Rochester, MN 55905","5777 E Mayo Blvd, Phoenix, AZ 85054","1111 E McDowell Rd, Phoenix, AZ 85062-2174","7400 E Osborn Rd, Scottsdale, AZ 85251-5672","At Mayo Clinic, residents are immersed in a world-class academic and clinical environment. Our small size (3 residents per class) fosters a family atmosphere with wonderful collegiality and an intimate, personalized approach to anesthesia training. Our small size and the hybrid mix of Mayo academia with an exciting private practice experience sets Mayo Arizona apart.",3,3,3,,"Yes  , 1 year(s)",Yes,"Yes , Codes: 3200040C0",No,1/15/2021,11/2/2020 - 1/29/2021_11/1/2021 - 1/28/2022,9/15/2021,1/28/2022,No,50,No,No,3,No,Yes,225_220__,Yes,No Answer,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Not known,Yes,Yes,Yes,28,0,3,0,31,0,25.0,3.2 to 1,50,27,1.5,Yes,,96.2,3.7,0.0,10.8,89.1,Every third night for 4 week(s),NGO,Every third night for 4 week(s),NGO,Every third night for 4 week(s),NGO,Every third night for 1 week(s),NGO,5,8%,N/A,,,,"$59,662.00",15,91,"$62,130.00",15,91,"$64,728.00",15,91,No answer,84,NGO,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Optional,Yes,Yes,Yes,"1919 E Thomas Rd, Phoenix, AZ 85016","200 First St SW, Rochester, MN 55905",No,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/0400321012,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Available_Not Available_Not Available_No_No_Not Available_Not Available,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/0400521016,,,4,4,No,Yes,"June,July",Yes,No,,Not Available,"Jason  Gatling
MD
Loma Linda Univ Med Ctr
MC 2534
11234 Anderson St
Loma Linda, CA 92354
Tel: (909) 558-4015
Fax:
E-mail: jgatling@llu.edu","Leyla  Embree
BS
Loma Linda Univ Med Ctr
Rm 2534
11234 Anderson St
Loma Linda, CA 92354
Tel: (909) 558-4015
Fax: (909) 558-0214
E-mail: lembree@llu.edu",0400521016,"Loma Linda Univ Med Ctr, MC 2534, 11234 Anderson St, Loma Linda, CA 92354","11234 Anderson St, Loma Linda, CA 92354","400 N Pepper Ave, Colton, CA 92324-1819","11234 Anderson St, Loma Linda, CA 92354","11201 Benton St, Loma Linda, CA 92357-1111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11234 Anderson St, Loma Linda, CA 92354",,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/0400521018,,,4,4,No,Yes,June,Yes,No,https://keck.usc.edu/anesthesiology/training-education/residency-program/,Not Available,"Chelsia Varner Jackson
MD
LAC+USC Med Ctr
Dept of Anesthesia IPT C4E100
2051 Marengo St
Los Angeles, CA 90033
Tel: (323) 865-1084
Fax: (323) 441-8029
E-mail: clvarner@med.usc.edu","Caroline  Caldwell
LAC+USC Med Ctr
HC4 Ste 3600
1450 San Pablo St
Los Angeles, CA 90089
Tel: (323) 865-1084
Fax: (323) 442-7411
E-mail: caroline.caldwell@med.usc.edu",0400521018,"LAC+USC Med Ctr, Dept of Anesthesia IPT C4E100, 2051 Marengo St, Los Angeles, CA 90033","1200 N State St, Los Angeles, CA 90033-1084","1200 N State St, Los Angeles, CA 90033-1084","4650 Sunset Blvd, Los Angeles, CA 90027-5693","8700 Beverly Blvd, Los Angeles, CA 90048-1869",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1441 Eastlake Ave, Los Angeles, CA 90033","1500 San Pablo St, Los Angeles, CA 90033",,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/0400521019,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Available_Not Available_Not Available_No_No_Not Available_Not Available,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/0400521020,University-based,Ronald Reagan UCLA Medical Center,4,4,No,Yes,June,Yes,No,https://www.uclahealth.org/anes/,Not Available,"Jack  Buckley
MD
UCLA Med Ctr
Anesthesiology & Perioperative Medicine
757 Westwood Plaza
Los Angeles, CA 90095-7403
Tel: (310) 267-8655
Fax: (310) 267-3766
E-mail: jcbuckley@mednet.ucla.edu","Lucelva  Mendez
UCLA Med Ctr
Anesthesiology & Perioperative Medicine Ste 3304
757 Westwood Plaza
Los Angeles, CA 90095-7403
Tel: (310) 267-8655
Fax: (310) 267-3766
E-mail: lmendez@mednet.ucla.edu",0400521020,"UCLA Med Ctr, Anesthesiology & Perioperative Medicine, 757 Westwood Plaza, Los Angeles, CA 90095-7403","10833 Le Conte Ave, Los Angeles, CA 90024","757 Westwood Plaza, Los Angeles, CA 90095","2801 Atlantic Ave, Long Beach, CA 90801-1428","14445 Olive View Dr, Sylmar, CA 91342-1495","UCLA is consistently ranked the number one hospital in the West. It is one of the top cardiac, liver, and renal transplant centers in the country. Significant training in primary anesthesiology and critical events is emphasized in our simulation center.",25,25,25,25,No,No,"Yes , Codes: 1956040C0",No,,11/2/2020 - 1/29/2021_-,,,Yes,3,No,No,3,No,Yes,___,No,236-245,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Required,Yes,No,Yes,110,10,5,0,115,10,40.9,1.1 to 1,60,24,1.8,Yes,Yes,99.6,0.3,0.0,39.2,60.7,Every fourth night for 1 month(s),NGO,Every fifth night for 2 month(s),NGO,Every fifth night for 5 month(s),NGO,Every fifth night for 6 month(s),NGO,5,10%,0%,"$61,903.00",20,12,"$63,955.00",20,12,"$66,468.00",20,12,"$69,092.00",20,12,Yes,12,NGO,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Optional,No,No,Yes,"4650 Sunset Blvd, Los Angeles, CA 90027-5693","1250 16th St, Santa Monica, CA 90404",,,"11301 Wilshire Blvd, Los Angeles, CA 90073-2128",,,,,,,,,,,,
0,https://freida.ama-assn.org/program/0400500027,,,4,4,No,Yes,July,Yes,No,http://ruhs-ar.org,Riverside University Health System Residency Tour,"David  Ninan
DO
Riverside Univ Health System
Anesthesiology Pgm
26520 Cactus Ave
Moreno Valley, CA 92555
Tel: (951) 486-4753
Fax:
E-mail: d.ninan@ruhealth.org","Malin  Cannon
BA
Riverside Univ Health System
Anesthesiology Pgm
26520 Cactus Ave
Moreno Valley, CA 92555
Tel: (951) 486-4753
Fax:
E-mail: m.cannon@ruhealth.org",0400500027,"Riverside Univ Health System, Anesthesiology Pgm, 26520 Cactus Ave, Moreno Valley, CA 92555","26520 Cactus Ave, Moreno Valley, CA 92555","4650 Sunset Blvd, Los Angeles, CA 90027-5693","8700 Beverly Blvd, Los Angeles, CA 90048-1869",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/0400521015,,,4,4,Yes,Yes,"June,July",Yes,No,http://www.anesthesiology.uci.edu,Not Available,"Katherine  McCartney
MD
UC Irvine Med Ctr
Ste 2150
333 City Blvd W
Orange, CA 92868
Tel: (714) 456-6661
Fax:
E-mail: anesthrescoor@uci.edu","Rhonda  Chu
UC Irvine Med Ctr
Ste 2150
333 City Blvd W
Orange, CA 92868
Tel: (714) 456-6661
Fax: (714) 456-7702
E-mail: anesthrescoor@uci.edu",0400521015,"UC Irvine Med Ctr, Ste 2150, 333 City Blvd W, Orange, CA 92868","200 E Manchester St, Orange, CA 92868","5901 E 7th St, Long Beach, CA 90822-5201","2801 Atlantic Ave, Long Beach, CA 90801-1428","4650 Sunset Blvd, Los Angeles, CA 90027-5693",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4733 Sunset Blvd, Los Angeles, CA 90027",,,,,,,,,,,,,,,,
