,Link,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Participant 2,Participant 3,Participant 4,Participant 5,Intro,,Year 1,Year 2,Year 3,Year 4,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system,% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Program best described as,Primary teaching site,Night float system (Residents participate during first year),Participant 6,Participant 7,Participant 8,Participant 9,Participant 10,Participant 11,Year 5,Year most taxing schedule And frequency per year_Year 5,Beeper or home call (Weeks/Year)_Year 5,Salary compensation_Year 5,Vacation days_Year 5,Sick days_Year 5,Year 6,Year most taxing schedule And frequency per year_Year 6,Beeper or home call (Weeks/Year)_Year 6,Salary compensation_Year 6,Vacation days_Year 6,Sick days_Year 6,Specialty Details,Salary compensation_Year 7,Vacation days_Year 7,Sick days_Year 7,Salary compensation_Year 8,Vacation days_Year 8,Sick days_Year 8,Year 7,,,
0,https://freida.ama-assn.org/program/4002821114,4,4,No,Yes,July,Yes,No,https://psychiatry.wustl.edu,Not Available,"Nuri B Farber
MD
Washington Univ Med Ctr
Box 8134
660 S Euclid Ave
St Louis, MO 63110
Tel: (314) 362-2462
Fax: (314) 362-0193
E-mail: farbern@wustl.edu","Susan  Vugteveen
Washington Univ Med Ctr
Box 8134 Dept of Psychiatry
660 S Euclid Ave
St Louis, MO 63110
Tel: (314) 362-2462
Fax: (314) 362-0193
E-mail: psychresidency@wustl.edu",4002821114,"Washington Univ Med Ctr, Box 8134, 660 S Euclid Ave, St Louis, MO 63110","660 S Euclid Ave, St Louis, MO 63110-1093","One Barnes-Jewish Hospital Plaza, St Louis, MO 63110","One Children's Pl, St Louis, MO 63110-1077","915 N Grand Ave, St Louis, MO 63125","1430 Olive St, St Louis, MO 63103-2303","231 W Lockwood Ave, St Louis, MO 63119","1570 S Main St, St Charles, MO 63303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4002711108,,,No,No,,,,,,,,,,,,,,,,,,Not Available_Not Available_Not Available_No_No_Not Available_Not Available_NGO (wks),9,6,8,5,No,No,"Yes , Codes: 1957400C0",No,11/30/2020,11/2/2020 - 1/29/2021_11/1/2021 - 1/30/2022,10/1/2021,11/30/2021,No,70,No,No,3,No,Yes,200_200_450_450,Yes,210-225,Yes,Yes,450-500,"Desired, with some exceptions",Yes,No,No,8,10,2,0,10,10,37.5,0.3 to 1,60,32,1.7,Yes,No,69.2,18.1,12.5,41.4,58.5,N/A,NGO,N/A,NGO,N/A,NGO,N/A,NGO,4,8%,N/A,"$50,038.00",15,12,"$51,797.00",15,12,"$53,470.00",15,12,"$55,391.00",15,12,No,NGO,NGO,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Fully Paid by Institution,"Available, Not Paid By Institution",Not Available,Not Available,Not Available,Resident Shares Cost,"Available, Not Paid By Institution","Available, Not Paid By Institution",Not Available,When resident/fellow starts program,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Required,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4002700109,4,4,No,Yes,July,Yes,No,https://www.psychiatry.msh.ms.gov/,Not Available,"Jon C Jackson
MD
Mississippi State Hosp
Bldg 22
3550 Hwy 468 W
Whitfield, MS 39193
Tel: (601) 351-8555
Fax:
E-mail: gme@msh.ms.gov","Marie  Porter
Mississippi State Hosp
Bldg 22
3550 Hwy 468 W
Whitfield, MS 39193
Tel: (601) 351-8555
Fax:
E-mail: gme@msh.ms.gov",4002700109,"Mississippi State Hosp, Bldg 22, 3550 Hwy 468 W, Whitfield, MS 39193","3550 Hwy 468 W, Whitfield, MS 39193","1850 Chadwick Dr, Jackson, MS 39204","124 South St, Jackson, MS 39201","613 Marquette Rd, Brandon, MS 39042",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4003600173,4,4,No,Yes,"July,Negotiable",Yes,No,https://mahec.net/residency-and-student-info/residency-programs/psychiatry,Not Available,"Stephen  Buie
MD
Mountain Area Health Education Ctr
Psychiatry Pgm
123 Hendersonville Rd
Asheville, NC 28803
Tel: (828) 254-9494
Fax: (828) 250-0890
E-mail: steve.buie@mahec.net","Stephen  Buie
MD
Mountain Area Health Education Ctr
Psychiatry Pgm
123 Hendersonville Rd
Asheville, NC 28803
Tel: (828) 254-9494
Fax: (828) 250-0890
E-mail: steve.buie@mahec.net",4003600173,"Mountain Area Health Education Ctr, Psychiatry Pgm, 123 Hendersonville Rd, Asheville, NC 28803","501 Biltmore Ave, Asheville, NC 28801-4686","509 Biltmore Ave, Asheville, NC 28801","715 Fleming St, Hendersonville, NC 28739","123 Hendersonville Rd, Asheville, NC 28803","262 Leroy George Dr, Clyde, NC 28721","158 Zillicoa St, Asheville, NC 28801","17 Church St, Asheville, NC 28801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4003621166,4,4,No,Yes,July,Yes,No,http://www.psychiatry.unc.edu,Not Available,"Karon  Dawkins
MD
Univ of North Carolina Hosps
Dept of Psychiatry G0204 NeuroSci Hosp
CB#7160
Chapel Hill, NC 27599
Tel: (984) 974-2194
Fax: (984) 974-3778
E-mail: karon_dawkins@med.unc.edu","Lesia  Irving
Univ of North Carolina Hosps
Dept of Psychiatry #30319 NeuroSci Hosp
CB#7160
Chapel Hill, NC 27599-7160
Tel: (984) 974-3881
Fax: (984) 974-3778
E-mail: lesia_irving@med.unc.edu",4003621166,"Univ of North Carolina Hosps, Dept of Psychiatry G0204 NeuroSci Hosp, CB#7160, Chapel Hill, NC 27599","101 Manning Dr, Chapel Hill, NC 27514","300 Veazey Dr, Butner, NC 27509",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4003600172,4,4,No,Yes,July,Yes,No,https://www.atriumhealth.org/education/graduate-medical-education,Not Available,"Susan  Gray
MD
Carolinas Med Ctr/Atrium Health
Psychiatry Pgm
501 Billingsley Rd
Charlotte, NC 28211
Tel:
Fax:
E-mail: susan.gray@atriumhealth.org","Kimberly L Greene
Carolinas Med Ctr/Atrium Health
Psychiatry Pgm
501 Billingsley Rd
Charlotte, NC 28211
Tel: (704) 358-2736
Fax:
E-mail: kimberly.greene@atriumhealth.org",4003600172,"Carolinas Med Ctr/Atrium Health, Psychiatry Pgm, 501 Billingsley Rd, Charlotte, NC 28211","1000 Blythe Blvd, Charlotte, NC 28232-2861","920 Church St N, Concord, NC 28025","1601 Brennan Ave, Salisbury, NC 28144","2001 Vail Ave, Charlotte, NC 28207","1000 Blythe Blvd, Charlotte, NC 28203",,,"The psychiatry residency program at Carolinas Medical Center offers unique experiences such as ACTT, telepsychiatry, behavioral health integration, and the area's only 24-hour psychiatric emergency room. Comprehensive clinical rotations will be provided in inpatient and outpatient services, primary care, emergency psychiatry, and consult-liaison. Our location in Charlotte, NC makes it a perfect place for recreation, culture, and sporting events.",,4,4,4,4,No,No,"Yes , Codes: 1527400C0",No,11/30/2020,10/1/2020 - 1/29/2021_10/1/2021 - 1/31/2022,9/1/2021,11/30/2021,Yes,56,No,No,3,No,Yes,200_210_420_420,Yes,No Answer,Yes,Yes,No Answer,Required,Yes,Yes,No,29,0,0,0,29,0,41.3,1.8 to 1,48,16,2,Yes,No,54.1,0,45.8,86.1,13.8,Every fifth night for 1 month(s),0,N/A,0,N/A,8,N/A,8,5,25%,N/A,"$56,761.00",10,NGO,"$58,567.00",10,NGO,"$60,473.00",10,NGO,"$63,434.00",15,NGO,Yes,NGO,NGO,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Optional,No,No,Yes,Community-based,Carolinas Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4003621167,4,4,No,Yes,June,Yes,No,https://psychiatry.duke.edu/education/psychiatry-residency,Not Available,"Heather  Vestal
MD
Duke Univ Med Ctr
Psychiatry Pgm
DUMC Box 3837
Durham, NC 27710
Tel: (919) 684-8785
Fax: (919) 684-2290
E-mail: heather.vestal@duke.edu","Tanya M Wells
BA
Duke Univ Med Ctr
Psychiatry Pgm
DUMC Box 3837
Durham, NC 27710
Tel: (919) 684-2258
Fax: (919) 684-2290
E-mail: tanya.wells@duke.edu",4003621167,"Duke Univ Med Ctr, Psychiatry Pgm, DUMC Box 3837, Durham, NC 27710","2301 Erwin Rd, Durham, NC 27710","508 Fulton St, Durham, NC 27705","300 Veazey Dr, Butner, NC 27509",,,,,"We promote the development of psychiatrists who will be good physicians, exceptional communicators, skillful psychotherapists, highly competent practitioners, effective leaders and critical thinkers in their pursuit of lifelong learning and service.",,16,16,16,16,No,No,"Yes , Codes: 1529400C0",No,,-_10/28/2021 - 1/27/2022,9/1/2021,12/1/2021,Yes,144,No,No,3,No,Yes,___,No,No Answer,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",Yes,No,No,33,16,0,3,33,19,45.4,0.5 to 1,60,16,1.2,Yes,,61.8,38.1,0,59.2,40.7,N/A,0,Once per week for week(s),0,Every eleventh night or more for week(s),0,Every eleventh night or more for week(s),Not Available,5,NGO,N/A,"$56,880.00",15,NGO,"$59,184.00",15,NGO,"$61,464.00",15,NGO,"$63,984.00",15,NGO,Yes,42,42,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,"Available, Not Paid By Institution",Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,Within 30 days of starting program,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Optional,No,No,Yes,University-based,Duke University Hospital,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4003600174,4,4,No,Yes,"June,July",Yes,No,http://www.capefearvalley.com/residency/,Not Available,"Scott M Klenziak
MD
Cape Fear Valley Med Ctr
Box 138
1638 Owen Dr
Fayetteville, NC 24304
Tel: (910) 615-3741
Fax: (910) 615-9771
E-mail: sklen@capefearvalley.com","Reanna  Benedict
MEd
Cape Fear Valley Med Ctr
Box 138
1638 Owen Dr
Fayetteville, NC 28304
Tel: (910) 615-4329
Fax: (910) 615-9872
E-mail: rbenedict@capefearvalley.com",4003600174,"Cape Fear Valley Med Ctr, Box 138, 1638 Owen Dr, Fayetteville, NC 24304","143 Main St, Buies Creek, NC 27506","1638 Owen Dr, Fayetteville, NC 28304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4003600176,4,4,Yes,Yes,July,No,No,,Not Available,"Archana  Kumar
MD
Cone Health
Psychiatry Pgm
700 Walter Reed Dr
Greensboro, NC 27403
Tel: (336) 832-9615
Fax:
E-mail: debra.millikan@conehealth.com","Debra G Millikan
BA
Cone Health
Psychiatry Pgm
700 Walter Reed Dr
Greensboro, NC 27403
Tel: (336) 832-9615
Fax:
E-mail: debra.millikan@conehealth.com",4003600176,"Cone Health, Psychiatry Pgm, 700 Walter Reed Dr, Greensboro, NC 27403","1200 N Elm St, Greensboro, NC 27401-1020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/4003621169,4,4,No,Yes,"July,August,January,Negotiable",Yes,No,https://www.ecu.edu/cs-dhs/psychiatry/residency.cfm,Not Available,"Shannon A Tyler
MD
Vidant Med Ctr ECU
ECU Outpatient Psychiatry Clinic
905 Johns Hopkins Dr
Greenville, NC 27834
Tel: (252) 744-2663
Fax:
E-mail: tYlers@ecu.edu","Linda S Weaver
MS
Vidant Med Ctr ECU
Rm 208
905 Johns Hopkins Dr
Greenville, NC 27834
Tel: (252) 744-2663
Fax: (252) 744-4237
E-mail: weaverli@ecu.edu",4003621169,"Vidant Med Ctr ECU, ECU Outpatient Psychiatry Clinic, 905 Johns Hopkins Dr, Greenville, NC 27834","2100 Stantonsburg Rd, Greenville, NC 27835-6028","2577 W 5th St, Greenville, NC 27834","1401 W Ash St, Goldsboro, NC 27530","116 Health Dr, Greenville, NC 27834","600 Moye Blvd, Greenville, NC 27834","401 Moye Blvd, Greenville, NC 27834","628 E 12th St, Washington, NC 27889","Residents rotate at the VA Medical Center in Fayetteville, NC. They are each provided with a one bedroom apartment free of charge while they are working at the Fayetteville VA Medical Center. We have protected didactic afternoon one day per week. Residents rotate offsite at the state psychiatric hospital.",,8,8,8,8,No,No,"Yes , Codes: 3057400C0",No,11/2/2020,11/2/2020 - 1/15/2021_11/1/2021 - 1/14/2022,9/15/2021,11/15/2021,Yes,60,No,No,3,No,Yes,196_209_400_400,Yes,210-225,Yes,Yes,501-540,"Desired, with some exceptions",Yes,No,No,12,4,0,1,12,5,33.3,0.3 to 1,55,10,1.5,No,Yes,36.2,51.2,12.4,55.5,44.4,Once per week for 52 week(s),NGO,Every tenth night for 52 week(s),NGO,Other for 52 week(s),NGO,N/A,NGO,5,NGO,10%,"$56,007.00",15,12,"$57,380.00",15,12,"$59,418.00",15,12,"$62,158.00",15,12,Yes,90,NGO,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Optional,Yes,Yes,Yes,University-based,Vidant Medical Center,,"5477 Mooretown Rd, Williamsburg, VA 23188",,,,,,,,,,,,,,,,,,,,,,,,,,,,
