,Link,Program best described as,Primary teaching site,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Participant 2,Intro,Year 1,Year 2,Year 3,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system (Residents participate during first year),% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Specialty Details,Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",,Participant 3,Participant 4,Night float system,Participant 5,Participant 6,Participant 7,Participant 8,Participant 9,Participant 10,Participant 11,Participant 12,Participant 13
0,https://freida.ama-assn.org/program/1400311027,Community-based university affiliated,St Joseph Hospital and Medical Center,3,3,No,Yes,"June,July",Yes,No,http://alliance.creighton.edu/internal-medicine-st-josephs,Not Available,"Jaya M Raj
MD
St Joseph's Hosp and Med Ctr
Dept of Medicine Ste 900
500 W Thomas Rd
Phoenix, AZ 85013
Tel:
Fax: (602) 294-5033
E-mail: audrey.foster@dignityhealth.org","Audrey M Foster
St Joseph's Hosp and Med Ctr
Dept of Medicine Ste 900
500 W Thomas Rd
Phoenix, AZ 85013
Tel: (602) 406-8798
Fax:
E-mail: imresidencyprogram@creighton.edu",1400311027,"St Joseph's Hosp and Med Ctr, Dept of Medicine Ste 900, 500 W Thomas Rd, Phoenix, AZ 85013","2500 California Plaza, Omaha, NE 68178","350 W Thomas Rd, Phoenix, AZ 85013","2601 E Roosevelt St, Phoenix, AZ 85008","350 W Thomas Rd, Phoenix, AZ 85013",This program is part of the Creighton University Arizona Education Alliance which is a consortium that has been designed to create a larger base to provide more teaching resources and research opportunities. Residents have the opportunity to receive their training in a variety of inpatient and outpatient settings and gain exposure to a highly diverse patient population with a broad range of pathology.,33,26,26,No,Yes,"Yes , Codes: 2154140C0,2154140P0",No,12/1/2020,11/1/2020 - 1/30/2021_11/1/2021 - 1/30/2022,12/1/2021,1/30/2022,Yes,130,No,No,3,No,Yes,200_200__,Yes,226-235,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Required,Yes,No,No,68,10,13,0,81,10,44.1,0.8 to 1,65,16,1.5,Yes,Yes,31.1,57.0,11.8,54.4,45.5,Every fifth night for 24 week(s),0,Every fifth night for 12 week(s),0,Every fifth night for 14 week(s),Not Available,6,12%,N/A,Recent data from the American Board of Internal Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abim.org.,"$57,299.00",23,2,"$60,164.00",23,2,"$63,172.00",23,2,Yes,21,69,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Fully Paid by Institution,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Optional,Yes,Yes,Yes,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1400321025,University-based,Banner University Medical Center-Phoenix,3,3,No,Yes,"June,Negotiable",Yes,No,http://phoenixmed.arizona.edu/internal-medicine-residency,Not Available,"Donna L Holland
MD
Banner Univ Med Ctr-Phoenix
Internal Medicine Pgm LL-2
1111 E McDowell Rd
Phoenix, AZ 85006
Tel: (602) 839-2296
Fax: (602) 839-2084
E-mail: donna.holland@bannerhealth.com","Arletta K Espinoza
BS
Banner Univ Med Ctr-Phoenix
Internal Medicine Pgm LL-2
1111 E McDowell Rd
Phoenix, AZ 85006
Tel: (602) 839-3644
Fax: (602) 839-2084
E-mail: arletta.espinoza@bannerhealth.com",1400321025,"Banner Univ Med Ctr-Phoenix, Internal Medicine Pgm LL-2, 1111 E McDowell Rd, Phoenix, AZ 85006","550 E Van Buren St, Phoenix, AZ 85004","1111 E McDowell Rd, Phoenix, AZ 85062-2174","7th St and Indian School Rd, Phoenix, AZ 85012",,"The aim of the University of Arizona College of Medicine-Phoenix internal medicine residency is to train the next generation of knowledgeable, compassionate and resilient physicians to provide high value care to our community in an area of clinical practice that they are passionate about, whether it is primary ambulatory care, hospital medicine, an internal medicine subspecialty or academic medicine.",35,23,23,No,Yes,"Yes , Codes: 1011140C0,1011140P0,1011140P1,1011140M0",No,1/31/2021,10/26/2020 - 1/31/2021_10/26/2021 - 1/31/2022,9/15/2021,1/31/2022,Yes,260,No,No,3,No,Yes,200_200__,Yes,226-235,"No, require USMLE scores for all applicants",No,501-540,"Desired, with some exceptions",Yes,No,No,95,7,2,0,97,7,47.3,1.1 to 1,65,28,1.5,Yes,Yes,66.3,5.3,28.3,38.5,61.4,Every fourth night for 1 month(s),0,Every fourth night for 1 month(s),0,Every fourth night for 1 month(s),Not Available,7,20%,5%,Recent data from the American Board of Internal Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abim.org.,"$58,246.00",20,180,"$60,721.00",20,180,"$63,888.00",20,180,Yes,42,30,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Required,No,Yes,Yes,(4 wks ),,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1400300537,Community-based,HonorHealth Scottsdale Thompson Peak Medical Center,3,3,No,Yes,July,Yes,No,http://bit.ly/1NHh4al,Not Available,"Dana  Sall
MD, MEd
HonorHealth Thompson Peak Med Ctr
Internal Medicine Pgm
7400 E Thompson Peak Pkwy
Scottsdale, AZ 85255
Tel: (480) 324-7212
Fax:
E-mail: dsall@honorhealth.com","Evonda  Copeland
HonorHealth Thompson Peak Med Ctr
Internal Medicine Pgm
7400 E Thompson Peak Pkwy
Scottsdale, AZ 85255
Tel: (480) 324-7215
Fax: (480) 882-5882
E-mail: Imresidency@honorhealth.com",1400300537,"HonorHealth Thompson Peak Med Ctr, Internal Medicine Pgm, 7400 E Thompson Peak Pkwy, Scottsdale, AZ 85255","8125 N Hayden Rd, Scottsdale, AZ 85258","7400 E Thompson Peak Pkwy, Scottsdale, AZ 85255","9003 E Shea Blvd, Scottsdale, AZ 85260",,"The HonorHealth IM Residency at Scottsdale Thompson Peak Medical Center offers a high-quality, patient-centered approach to education. Our innovative conferences, QI curriculum, and focus on wellness make us unique. Our smaller size allows for more personalization and connection between the faculty and residents. We are located in sunny Scottsdale - packed with activities for sports fans, outdoors lovers and foodies alike!",10,6,6,No,Yes,"Yes , Codes: 1929140C0",No,1/8/2021,10/26/2020 - 1/15/2021_10/25/2021 - 1/24/2022,9/15/2021,1/14/2022,Yes,286,No,No,2,No,Yes,194_209_400_400,Yes,210-225,Yes,Yes,501-540,"Desired, with some exceptions",No,No,No,20,0,34,0,54,0,50.0,1.6 to 1,59,13,1.6,Yes,Yes,14.3,38.8,46.8,37.9,62.0,N/A,4,N/A,2,N/A,2,8,54%,30%,Recent data from the American Board of Internal Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abim.org.,"$57,923.00",15,6,"$60,335.00",15,6,"$63,087.00",15,6,Yes,21,NGO,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Not Available,Within 30 days of starting program,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Optional,Yes,Yes,No,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1400300537,Community-based,HonorHealth Scottsdale Thompson Peak Medical Center,3,3,No,Yes,July,Yes,No,http://bit.ly/1NHh4al,Not Available,"Dana  Sall
MD, MEd
HonorHealth Thompson Peak Med Ctr
Internal Medicine Pgm
7400 E Thompson Peak Pkwy
Scottsdale, AZ 85255
Tel: (480) 324-7212
Fax:
E-mail: dsall@honorhealth.com","Evonda  Copeland
HonorHealth Thompson Peak Med Ctr
Internal Medicine Pgm
7400 E Thompson Peak Pkwy
Scottsdale, AZ 85255
Tel: (480) 324-7215
Fax: (480) 882-5882
E-mail: Imresidency@honorhealth.com",1400300537,"HonorHealth Thompson Peak Med Ctr, Internal Medicine Pgm, 7400 E Thompson Peak Pkwy, Scottsdale, AZ 85255","8125 N Hayden Rd, Scottsdale, AZ 85258","7400 E Thompson Peak Pkwy, Scottsdale, AZ 85255","9003 E Shea Blvd, Scottsdale, AZ 85260",,"The HonorHealth IM Residency at Scottsdale Thompson Peak Medical Center offers a high-quality, patient-centered approach to education. Our innovative conferences, QI curriculum, and focus on wellness make us unique. Our smaller size allows for more personalization and connection between the faculty and residents. We are located in sunny Scottsdale - packed with activities for sports fans, outdoors lovers and foodies alike!",10,6,6,No,Yes,"Yes , Codes: 1929140C0",No,1/8/2021,10/26/2020 - 1/15/2021_10/25/2021 - 1/24/2022,9/15/2021,1/14/2022,Yes,286,No,No,2,No,Yes,194_209_400_400,Yes,210-225,Yes,Yes,501-540,"Desired, with some exceptions",No,No,No,20,0,34,0,54,0,50.0,1.6 to 1,59,13,1.6,Yes,Yes,14.3,38.8,46.8,37.9,62.0,N/A,4,N/A,2,N/A,2,8,54%,30%,Recent data from the American Board of Internal Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abim.org.,"$57,923.00",15,6,"$60,335.00",15,6,"$63,087.00",15,6,Yes,21,NGO,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Not Available,Within 30 days of starting program,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Optional,Yes,Yes,No,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1400300540,,,3,3,No,Yes,July,Yes,No,https://www.mwuresidencies.com/cvmc-im,Not Available,"Emad  Hammode
MD
Canyon Vista Med Ctr
Internal Medicine Pgm
5700 E Hwy 90
Sierra Vista, AZ 85635
Tel: (520) 263-3190
Fax: (520) 844-4953
E-mail: barbara.jackson@canyonvistamedicalcenter.com","Barbara  Jackson
Canyon Vista Med Ctr
Internal Medicine Pgm
5700 E Hwy 90
Sierra Vista, AZ 85635
Tel: (520) 263-3190
Fax: (520) 844-4953
E-mail: barbara.jackson@canyonvistamedicalcenter.com",1400300540,"Canyon Vista Med Ctr, Internal Medicine Pgm, 5700 E Hwy 90, Sierra Vista, AZ 85635","19555 N 59th Ave, Glendale, AZ 85308","5700 AZ-90, Sierra Vista, AZ 85635","5301 E Grant Rd, Tucson, AZ 85733-2195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1400312536,University-based,Banner-University Medical Center South,3,3,No,Yes,July,Yes,No,http://deptmedicine.arizona.edu/education/residency-south,Not Available,"Bujji  Ainapurapu
MD
Banner-Univ Med Ctr-South
Ste 3009
2800 E Ajo Way
Tucson, AZ 85713
Tel: (520) 874-4276
Fax: (520) 874-4510
E-mail: im.residency@bannerhealth.com","Mary  Gosciminski
Banner-Univ Med Ctr-South
Internal Medicine Pgm
2800 E Ajo Way
Tucson, AZ 85713
Tel: (520) 874-4502
Fax: (520) 874-4510
E-mail: im.residency@bannerhealth.com",1400312536,"Banner-Univ Med Ctr-South, Ste 3009, 2800 E Ajo Way, Tucson, AZ 85713","1501 N Campbell Ave, Tucson, AZ 85724-5085","2800 E Ajo Way, Tucson, AZ 85713","3601 S 6th Ave, Tucson, AZ 85723","1501 N Campbell Ave, Tucson, AZ 85724","Diversity of clinical exposure and a unique experience in the care of urban, rural and underserved populations with access to UofA Resources are what sets us apart. Residents are provided individualized attention from our renowned physicians and staff. We take pride in our low faculty-to-resident ratio. Our small size and closeness of our residents is what attracts many candidates. Our Fellowship placement rate is excellent.",10,11,10,No,No,"Yes , Codes: 1371140C0",No,12/31/2020,10/5/2020 - 1/11/2021_10/3/2021 - 1/4/2022,10/21/2021,12/21/2021,Yes,136,No,No,3,No,Yes,200_200_480_460,Yes,226-235,Yes,Yes,541-600,"Desired, with some exceptions",Yes,No,No,52,0,6,0,58,0,28.8,1.7 to 1,70,24,1,Yes,Yes,22.5,62.5,14.9,38.7,61.2,N/A,0,Every eleventh night or more for 3 month(s),0,Every eleventh night or more for 3 month(s),Not Available,9,8%,N/A,Recent data from the American Board of Internal Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abim.org.,"$58,246.00",20,5,"$60,721.00",20,5,"$63,888.00",20,5,No answer,NGO,60,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Optional,Yes,Yes,Yes,,"81 W Esperanza, Green Valley, AZ 85614","807 S Ponderosa St, Payson, AZ 85541",,,,,,,,,,
0,https://freida.ama-assn.org/program/1400321029,University-based,Banner-University Medical Center Tucson,3,3,No,Yes,July,Yes,No,http://www.meded.arizona.edu,Not Available,"Laura  Meinke
MD
Univ of Arizona Coll of Med-Tucson
PO Box 245040
1501 N Campbell Ave
Tucson, AZ 85724
Tel: (520) 626-8818
Fax: (520) 626-6020
E-mail: kerith@deptofmed.arizona.edu","Kerith  Lisa
MA
Univ of Arizona Coll of Med-Tucson
PO Box 245040
1501 N Campbell Ave
Tucson, AZ 85724-5040
Tel:
Fax: (520) 626-6020
E-mail: kerith@deptofmed.arizona.edu",1400321029,"Univ of Arizona Coll of Med-Tucson, PO Box 245040, 1501 N Campbell Ave, Tucson, AZ 85724","1501 N Campbell Ave, Tucson, AZ 85724-5085","1501 N Campbell Ave, Tucson, AZ 85724","5301 E Grant Rd, Tucson, AZ 85733-2195","3601 S 6th Ave, Tucson, AZ 85723","Our program, located in Tucson, Arizona, is at the base of the gorgeous Rocky Mountains. Within the area are excellent hiking, biking, skiing, and rich cultural heritage. Within driving distance you will be able to visit Mexico, Las Vegas, California and the Grand Canyon. Tucson gets 350 days of sunshine annually--more than any other US city! We promote fellowships and research and our graduates enter a variety of careers from academic medicine, to in and out-patient, to specialty fellowships.",36,28,29,No,Yes,"Yes , Codes: 1015140P0,1015140C0",No,12/15/2020,10/21/2020 - 2/12/2021_10/15/2021 - 1/28/2022,9/15/2021,11/30/2021,Yes,350,No,No,3,No,Yes,200_200_500_500,Yes,226-235,Yes,Yes,Greater than 600,"Desired, with some exceptions",Yes,No,No,107,0,0,0,107,0,39.2,1.1 to 1,60,16,1,Yes,Yes,63.5,19.2,17.1,35.7,64.2,N/A,0,Every fourth night for 8 week(s),0,Every fourth night for 8 week(s),Not Available,6,20%,4%,Recent data from the American Board of Internal Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abim.org.,"$58,246.00",20,5,"$60,721.00",20,5,"$63,888.00",20,5,Yes,NGO,NGO,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Optional,Yes,Yes,Yes,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1400500922,,,3,3,No,Yes,July,Yes,No,https://www.westanaheimmedctr.com/,Not Available,"Fariborz  Shams
DO
West Anaheim Med Ctr
Internal Medicine Pgm
3033 Orange Ave
Anaheim, CA 92804
Tel: (714) 229-5754
Fax:
E-mail: kolson3@primehealthcare.com","Karen  Olson
West Anaheim Med Ctr
Internal Medicine Pgm
3033 Orange Ave
Anaheim, CA 92804
Tel: (714) 229-5754
Fax:
E-mail: kolson3@primehealthcare.com",1400500922,"West Anaheim Med Ctr, Internal Medicine Pgm, 3033 Orange Ave, Anaheim, CA 92804","PO Box 720, Inglewood, CA 90307-4496","3033 W Orange Ave, Anaheim, CA 92804",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1400531031,Community-based university affiliated,Kern Medical Center,3,3,No,Yes,July,Yes,No,http://www.kernmedical.com,Not Available,"Alan  Ragland
DO, MAE, MS
Kern Med Ctr
Dept of Medicine
1700 Mount Vernon Ave
Bakersfield, CA 93306
Tel: (661) 326-2202
Fax: (661) 326-2950
E-mail: scott.ragland@kernmedical.com","Frances V Hardin
Kern Med Ctr
Dept of Medicine
1700 Mount Vernon Ave
Bakersfield, CA 93306
Tel: (661) 326-2202
Fax: (661) 326-2950
E-mail: frances.hardin@kernmedical.com",1400531031,"Kern Med Ctr, Dept of Medicine, 1700 Mount Vernon Ave, Bakersfield, CA 93306","1700 Mount Vernon Ave, Bakersfield, CA 93305","14445 Olive View Dr, Sylmar, CA 91342-1495","11301 Wilshire Blvd, Los Angeles, CA 90073-2128","3008 Sillect Ave, Bakersfield, CA 93308","Hospital affiliated with UCLA for over 25 years in county teaching hospital setting. Experienced, committed faculty, and wide variety of patient material.",10,10,10,No,No,"Yes , Codes: 1921140C0",No,12/21/2020,11/2/2020 - 12/31/2020_11/1/2021 - 12/31/2021,9/15/2021,12/20/2021,No,125,No,No,3,No,Yes,230_230__,Yes,226-235,No,No,No Answer,"Desired, with some exceptions",Yes,No,No,25,0,0,0,25,0,44.0,0.8 to 1,58,28,1.7,Yes,Yes,2.1,97.8,0.0,34.3,65.6,Every fourth night for 8 month(s),0,Every fourth night for 7 month(s),0,Every fourth night for 4 month(s),Not Available,7,20%,0%,Recent data from the American Board of Internal Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abim.org.,"$49,368.00",20,8,"$52,823.00",20,8,"$56,521.00",20,8,No,25,90,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,"Available, Not Paid By Institution","Available, Not Paid By Institution",Within 30 days of starting program,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Not available,Yes,Yes,No,,"5945 Truxtun Ave, Bakersfield, CA 93309","6501 Truxtun Ave, Bakersfield, CA 93309",,,,,,,,,,
0,https://freida.ama-assn.org/program/1400500915,University-based,Arrowhead Regional Medical Center,3,3,No,Yes,July,Yes,No,http://arrowheadmedcenter.org,Not Available,"Sarkis  Arabian
DO
Arrowhead Regional Med Ctr
MOB Ste 204
400 N Pepper Ave
Colton, CA 92324
Tel: (909) 580-3215
Fax: (909) 580-6257
E-mail: arabians@armc.sbcounty.gov","Rebecca  Rivera
Arrowhead Regional Med Ctr
MOB Ste 204
400 N Pepper Ave
Colton, CA 92324-1819
Tel: (909) 580-6343
Fax: (909) 580-6257
E-mail: riverare@armc.sbcounty.gov",1400500915,"Arrowhead Regional Med Ctr, MOB Ste 204, 400 N Pepper Ave, Colton, CA 92324","400 N Pepper Ave, Colton, CA 92324-1819",,,,"ARMC offers an ACGME accredited 3-year residency. We accept 12 residents per year. It is the intent of the training program to develop academic physicians well trained and able to practice in a competent and independent fashion. The program is dynamic and continues to evolve in order to provide residents with an outstanding educational experience, while maintaining the delivery of the highest quality of medical care to our patients and community.",12,12,12,No,No,"Yes , Codes: 1047140C0",No,1/15/2021,10/15/2020 - 1/15/2021_1/14/2022 -,9/1/2021,10/14/2021,No,157,No,No,3,No,Yes,220_220_500_500,Yes,226-235,Yes,Yes,541-600,Required,No,No,No,12,0,26,0,38,0,33.3,0.6 to 1,60,16,1.5,Yes,Yes,4.1,55.5,40.2,45.7,54.2,Every fifth night for 6 month(s),0,Every fifth night for 5 month(s),0,Every fifth night for 5 month(s),Not Available,7,33%,0%,Recent data from the American Board of Internal Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abim.org.,"$56,830.00",20,Not Available,"$59,082.00",20,Not Available,"$61,727.00",20,Not Available,No,20,40,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Not Available,Not Available,Resident Shares Cost,Resident Shares Cost,Not Available,Not Available,When resident/fellow starts program,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Required,No,No,Yes,(8 wks ),,,,,,,,,,,,
