,Link,Program best described as,Primary teaching site,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Intro,Year 1,Year 2,Year 3,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system (Residents participate during first year),% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Participant 2,Year 4,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Participant 3,Night float system,Participant 4,Participant 5,Participant 6,Participant 7,Participant 8,,Participant 9,Participant 10
0,https://freida.ama-assn.org/program/1800521009,University-based,University of California (Irvine) Medical Center,3,3,No,Yes,"July,Negotiable",Yes,No,http://www.neurology.uci.edu,Not Available,"Lilit  Mnatsakanyan
MD
UC Irvine Med Ctr
Dept of Neurology 2nd Fl
200 S Manchester Ave
Orange, CA 92868
Tel: (714) 456-7602
Fax: (714) 456-8805
E-mail: mnatsakl@uci.edu","Bri  Reefer
UC Irvine Med Ctr
Bldg 200 Ste 206
200 S Manchester Ave
Orange, CA 92868
Tel: (714) 456-3420
Fax: (714) 456-8805
E-mail: reeferb@uci.edu",1800521009,"UC Irvine Med Ctr, Dept of Neurology 2nd Fl, 200 S Manchester Ave, Orange, CA 92868","200 E Manchester St, Orange, CA 92868","5901 E 7th St, Long Beach, CA 90822-5201","455 S Main St, Orange, CA 92868",,5,5,5,"Yes  , 1 year(s)",Yes,No,"Yes , Codes: 1043180A0",10/21/2020,10/28/2020 - 1/27/2021_-,,,Yes,90,No,No,3,No,No,_230__,Yes,No Answer,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",Yes,No,No,28,5,0,0,28,5,39.2,1.8 to 1,75,30,1,No,Yes,63.6,18.2,18.0,45.3,54.6,Other for 2 week(s),0,Every fifth night for 12 month(s),13,Other for 12 month(s),13,7,25%,N/A,"$57,408.00",20,8,"$59,663.00",20,8,"$62,018.00",20,8,No answer,NGO,Not Available,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Optional,No,No,No,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1800500166,,,4,4,Yes,Yes,July,Yes,No,,Not Available,"Thomas  Clark
DO
Desert Regional Med Ctr
Neurology Pgm
1150 N Indian Canyon Dr
Palm Springs, CA 92262
Tel: (760) 484-4960
Fax: (760) 323-6489
E-mail: tammy.gonzalez@tenethealth.com","Tammy  Gonzalez
Desert Regional Med Ctr
Ste W214
1180 N Indian Canyon Dr
Palm Springs, CA 92262
Tel: (760) 416-4960
Fax:
E-mail: tammy.gonzalez@tenethealth.com",1800500166,"Desert Regional Med Ctr, Neurology Pgm, 1150 N Indian Canyon Dr, Palm Springs, CA 92262","1150 N Indian Canyon Dr, Palm Springs, CA 92262","1200 N State St, Los Angeles, CA 90033-1084","1500 San Pablo St, Los Angeles, CA 90033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1800521017,University-based,Stanford Health Care,3,3,No,Yes,July,Yes,No,,Not Available,"Nirali  Vora
MD
Stanford Univ Med Ctr
Neurology Dept H3144
300 Pasteur Dr
Palo Alto, CA 94305
Tel: (650) 725-6688
Fax: (650) 723-7434
E-mail: nirali@stanford.edu","Mitzine  Wright
Stanford Univ Med Ctr
Dept of Neurology Rm H3144
300 Pasteur Dr
Stanford, CA 94305-5235
Tel: (650) 725-6688
Fax: (650) 723-7434
E-mail: mitzine@stanford.edu",1800521017,"Stanford Univ Med Ctr, Neurology Dept H3144, 300 Pasteur Dr, Palo Alto, CA 94305","300 Pasteur Dr, Stanford, CA 94305-4007","3801 Miranda Ave, Palo Alto, CA 94304-1207","751 S Bascom Ave, San Jose, CA 95128-2180","There has been tremendous expansion of our faculty over the last decade, making us one of the most comprehensive neurology centers on the West Coast. Stanford University is one of the world's premier neuroscience research institutions.",10,10,10,"Yes  , 1 year(s)",Yes,No,"Yes , Codes: 1820180A0",,-_11/18/2020 -,9/1/2020,,Yes,68,No,No,3,No,Yes,___,Yes,No Answer,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Required,Yes,No,No,61,0,5,0,66,0,49.1,2.1 to 1,70,24,1.5,Yes,Yes,97.5,2.4,0.0,60.5,39.4,Once per week for 4 week(s),15,Once per week for 4 week(s),12,N/A,6,7,30%,N/A,"$71,856.00",15,20,"$77,319.00",15,20,"$81,689.00",15,20,No,15,90,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Resident Shares Cost,When resident/fellow starts program,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Optional,No,No,Yes,"725 Welch Rd, Palo Alto, CA 94304",,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1800500167,,,4,4,No,Yes,July,Yes,No,http://gme.riversidecommunityhospital.com/Residency-Programs/Neurology.aspx,Not Available,"David  Song
MD, PhD
Riverside Community Hosp
Neurology Pgm
4445 Magnolia Ave
Riverside, CA 92501
Tel: (951) 788-3124
Fax: (951) 788-3173
E-mail: david.song@medsch.ucr.edu","Tessa  David
BS
Riverside Community Hosp
GME 1st Fl
4445 Magnolia Ave
Riverside, CA 92501
Tel: (951) 788-3508
Fax: (951) 788-3173
E-mail: tessa.david@hcahealthcare.com",1800500167,"Riverside Community Hosp, Neurology Pgm, 4445 Magnolia Ave, Riverside, CA 92501","4445 Magnolia Ave, Riverside, CA 92501","1000 W Carson St, Torrance, CA 90509-7360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1800512008,University-based,University of California (Davis) Medical Center,4,4,No,No,July,Yes,No,https://health.ucdmc.ucdavis.edu/neurology/education/res_index.html,Not Available,"Alexandra O'Neill Duffy
DO
UC Davis Med Ctr
Dept of Neurology Ste 3700
4860 Y St
Sacramento, CA 95817
Tel: (916) 734-3514
Fax: (916) 734-6525
E-mail: aduffy@ucdavis.edu","Tasha M Schrock
BS
UC Davis Med Ctr
Dept of Neurology Ste 3700
4860 Y St
Sacramento, CA 95817
Tel: (916) 734-3514
Fax: (916) 734-6525
E-mail: tmschrock@ucdavis.edu",1800512008,"UC Davis Med Ctr, Dept of Neurology Ste 3700, 4860 Y St, Sacramento, CA 95817","2315 Stockton Blvd, Sacramento, CA 95817","2315 Stockton Blvd, Sacramento, CA 95817",,"The schedule allows residents flexibility in designing the curriculum to enrich their training with clinical or basic science research, teaching, or focused training in a neurology sub-specialty. Each resident is encouraged to spend time in one or more focused projects under the guidance of a faculty mentor. A wellness program is integrated into residency training with monthly lectures, activities and resident retreats.",6,6,6,No,Yes,"Yes , Codes: 1046180C0",No,,11/3/2020 - 1/19/2021_10/12/2021 - 12/14/2021,,,Yes,80,No,No,3,No,Yes,200_200_500_500,Yes,No Answer,Yes,Yes,No Answer,Required,Yes,No,No,30,0,3,0,33,0,40.0,1.3 to 1,60,24,1.5,Yes,Yes,51.0,5.0,43.9,43.3,56.6,N/A,Not Available,Other for 6 week(s),Not Available,Other for 6 week(s),Not Available,5,25%,N/A,"$63,340.00",20,12,"$65,828.00",20,12,"$68,426.00",20,12,Yes,NGO,NGO,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Optional,Yes,Yes,Yes,,6,N/A,Not Available,"$61,308.00",20,12,,,,,,,,,,
0,https://freida.ama-assn.org/program/1800521014,University-based,University of California (San Diego) Medical Center,4,4,No,No,July,Yes,No,https://medschool.ucsd.edu/som/neurosciences/education/residency-training,Not Available,"Leena R Kansal
MD
UCSD Med Ctr
Div of Neurology (8465)
200 W Arbor Dr
San Diego, CA 92103
Tel: (619) 543-6266
Fax: (619) 543-5793
E-mail: lkansal@health.ucsd.edu","Judy  Hays
UCSD Med Ctr
Neurology Pgm 8465
200 W Arbor Dr
San Diego, CA 92103-8465
Tel: (619) 543-6266
Fax: (619) 543-5793
E-mail: jhays@health.ucsd.edu",1800521014,"UCSD Med Ctr, Div of Neurology (8465), 200 W Arbor Dr, San Diego, CA 92103","200 W Arbor Dr, San Diego, CA 92103-2180","3020 Children's Way, San Diego, CA 92123-4282","3350 La Jolla Village Dr, San Diego, CA 92161-4223",,6,6,6,"Yes  , 1 year(s)",No,No,"Yes , Codes: 1049180A0",,-_11/13/2020 - 1/29/2021,10/21/2020,11/16/2020,Yes,75,No,No,3,No,No,___,No,236-245,No,No,Greater than 600,"Desired, with some exceptions",Yes,No,No,56,0,0,0,56,0,39.2,3.1 to 1,60,24,1,No,Yes,93.4,6.5,0.0,47.6,52.3,Every fourth night for 4 week(s),0,Every fourth night for 4 week(s),0,Other for 1 month(s),0,4,40%,N/A,"$62,731.00",20,12,"$65,196.00",20,12,"$67,769.00",20,12,No answer,Not Available,NGO,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,Optional,No,No,Yes,"4647 Zion Ave, San Diego, CA 92120",,N/A,Not Available,,,,"6655 Alvarado Rd, San Diego, CA 92120",,,,,,,,,
0,https://freida.ama-assn.org/program/1800521016,University-based,UCSF and Mount Zion Medical Centers,4,4,No,Yes,"June,July",Yes,No,http://neuroresidency.ucsf.edu/,Not Available,"John W Engstrom
MD
UCSF Med Ctr
M 798 Box 0114
505 Parnassus Ave
San Francisco, CA 94143
Tel: (415) 476-1489
Fax: (415) 476-3428
E-mail: john.engstrom@ucsf.edu","Vicky  Tateo
UCSF Med Ctr
Box 0114
505 Parnassus Ave
San Francisco, CA 94143-0114
Tel: (415) 476-3891
Fax:
E-mail: vicky.tateo@ucsf.edu",1800521016,"UCSF Med Ctr, M 798 Box 0114, 505 Parnassus Ave, San Francisco, CA 94143","500 Parnassus Ave, San Francisco, CA 94143-0474","500 Parnassus Ave, San Francisco, CA 94143-0296","4150 Clement St, San Francisco, CA 94121-1598",,9,10,11,"No, with exceptions",Yes,"Yes , Codes: 1062180C0","Yes , Codes: 1062180A0",11/7/2020,12/1/2020 - 1/31/2021_12/1/2021 - 1/31/2022,9/1/2021,11/7/2021,Yes,70,No,No,3,No,Yes,188_196_400_,Yes,No Answer,Yes,No Answer,No Answer,"Desired, with some exceptions",Yes,Yes,Yes,161,50,0,0,161,50,48.4,4.0 to 1,70,24,1,Yes,,100.0,0.0,0.0,49.5,50.4,Every fourth night for 5 month(s),0,Other for 1 week(s),8,Other for 1 week(s),11,8,10%,N/A,"$64,558.00",20,NGO,"$67,094.00",20,NGO,"$69,743.00",20,NGO,Yes,32,NGO,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,Not Available,When resident/fellow starts program,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Optional,Yes,Yes,Yes,"1001 Potrero Ave, San Francisco, CA 94110",10,Other for 1 week(s),1,"$62,487.00",20,NGO,,Yes,,,,,,,,
0,https://freida.ama-assn.org/program/1800511018,,,4,4,No,Yes,"June,July",Yes,No,http://harbor-ucla.org,Not Available,"Margaret  Adler
MD
Los Angeles County-Harbor-UCLA Med Ctr
Dept of Neurology Box 492
1000 W Carson St
Torrance, CA 90509
Tel: (424) 306-7670
Fax:
E-mail: madler@dhs.lacounty.gov","Monica  Gonzalez
Los Angeles County-Harbor-UCLA Med Ctr
Dept of Neurology Box 492
1000 W Carson St
Torrance, CA 90502
Tel: (424) 306-7670
Fax: (310) 533-8905
E-mail: mgonzalez6@dhs.lacounty.gov",1800511018,"Los Angeles County-Harbor-UCLA Med Ctr, Dept of Neurology Box 492, 1000 W Carson St, Torrance, CA 90509","1000 W Carson St, Torrance, CA 90509-7360","7601 E Imperial Hwy, Downey, CA 90242","757 Westwood Plaza, Los Angeles, CA 90095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1800721019,University-based,University of Colorado Hospital,4,4,No,Yes,"June,July",Yes,No,https://medschool.cuanschutz.edu/neurology/residency,Not Available,"Douglas E Ney
MD
Univ of Colorado Anschutz Med Campus
Dept of Neurology Mail Stop B182
12700 E 19th Ave
Aurora, CO 80045
Tel: (303) 724-4330
Fax: (303) 724-4764
E-mail: neurology.residency@ucdenver.edu","Hannah R Daniels
BA
Univ of Colorado Denver Sch of Med
Dept of Neurology MS B182
12700 E 19th Ave
Aurora, CO 80045
Tel: (303) 724-4330
Fax: (303) 724-4764
E-mail: neurology.residency@ucdenver.edu",1800721019,"Univ of Colorado Anschutz Med Campus, Dept of Neurology Mail Stop B182, 12700 E 19th Ave, Aurora, CO 80045","13001 E 17th Pl, Aurora, CO 80045","12605 E 16th Ave, Aurora, CO 80045","1055 Clermont St, Denver, CO 80220-1722","We offer comprehensive training in all subspecialty areas of neurology including behavioral, movement, muscular, MS, epilepsy, neuro-immunology, stroke, neuro-ophth, neuroID and neuro-onc. Our program offers training at four highly-regarded academic hospitals, which creates exposure to diverse patient populations. Denver is a vibrant metropolitan community with many cultural attractions. The beauty of the Rocky Mountains is easily accessible, and the climate of Colorado is incomparable.",8,8,8,No,Yes,"Yes , Codes: 1076180C0",No,11/15/2020,10/1/2020 - 1/31/2021_10/1/2021 - 1/31/2022,9/15/2021,11/15/2021,Yes,80,No,No,3,No,Yes,198___,No,No Answer,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",Yes,No,No,63,36,0,0,63,36,52.3,1.9 to 1,65,24,1,Yes,Yes,93.0,0.0,6.9,45.7,54.2,N/A,NGO,Every fourth night for 12 week(s),NGO,Every fourth night for 4 week(s),NGO,6,40%,N/A,"$60,285.00",21,NGO,"$62,725.00",21,NGO,"$65,756.00",21,NGO,No answer,28,90,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Optional,Yes,Yes,Yes,"777 Bannock St, Denver, CO 80204-4507",8,Every fourth night for 4 week(s),NGO,"$58,027.00",21,NGO,"13123 E 16th Ave, Aurora, CO 80045",,,,,,,,,
0,https://freida.ama-assn.org/program/1800700020,,,4,4,Yes,Yes,July,Yes,No,https://skyridgemedcenter.com/for-professionals/gme/,Not Available,"Kimberly  Horiuchi
MD
Sky Ridge Med Ctr
Ste 200
10099 RidgeGate Pkwy
Lone Tree, CO 80124
Tel: (720) 875-2889
Fax:
E-mail: rroot@rvu.edu","Robert  Root
BA
Sky Ridge Med Ctr
Ste 200
10099 RidgeGate Pkwy
Lone Tree, CO 80124
Tel: (720) 795-9733
Fax: (720) 476-3369
E-mail: rroot@rvu.edu",1800700020,"Sky Ridge Med Ctr, Ste 200, 10099 RidgeGate Pkwy, Lone Tree, CO 80124","10101 Ridgegate Pkwy, Lone Tree, CO 80124","501 E Hampden Ave, Englewood, CO 80113","10099 RidgeGate Pkwy, Lone Tree, CO 80124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1300 S Potomac St, Aurora, CO 80012",,,,,,,"3601 S Pearl St, Englewood, CO 80113",,"1501 S Potomac St, Aurora, CO 80012","10101 RidgeGate Pkwy, Lone Tree, CO 80124","1400 S Potomac St, Aurora, CO 80012","2001 N High St, Denver, CO 80205","777 Bannock St, Denver, CO 80204-4507",,,
