,Link,Program best described as,Primary teaching site,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Intro,Year 1,Year 2,Year 3,Year 4,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system (Residents participate during first year),% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Participant 2,Participant 3,Participant 4,,Yes,Night float system,No,Participant 5,Participant 6,Participant 7,Participant 8,Participant 9,Participant 10,Year 5,Year most taxing schedule And frequency per year_Year 5,Beeper or home call (Weeks/Year)_Year 5,Salary compensation_Year 5,Vacation days_Year 5,Sick days_Year 5,Participant 11,Participant 12,Salary compensation_Year 6,Vacation days_Year 6,Sick days_Year 6
0,https://freida.ama-assn.org/program/2204112245,Community-based university affiliated,Geisinger Health System,4,4,No,Yes,"July,Negotiable",Yes,No,http://www.geisinger.edu,Not Available,"Kajal  Angras
DO
Geisinger Med Ctr
Dept of Ob/Gyn
100 N Academy Ave
Danville, PA 17822
Tel: (570) 214-0014
Fax:
E-mail: kangras@geisinger.edu","Ashley  DeRose
Geisinger Med Ctr
Dept of Ob/Gyn
100 N Academy Ave
Danville, PA 17822-2920
Tel: (570) 271-6296
Fax: (570) 271-5819
E-mail: aderose@geisinger.edu",2204112245,"Geisinger Med Ctr, Dept of Ob/Gyn, 100 N Academy Ave, Danville, PA 17822","100 N Academy Ave, Danville, PA 17822","100 N Academy Ave, Danville, PA 17822-2201","1000 E Mountain Dr, Wilkes-Barre, PA 18711",,4,4,4,4,No,No,"Yes , Codes: 1608220C0",No,11/1/2020,11/17/2020 - 12/17/2020_11/4/2021 - 12/16/2021,9/15/2021,11/1/2021,Yes,96,No,No,3,No,Yes,200_200_500_500,Yes,210-225,Yes,Yes,Greater than 600,Required,Yes,No,No,43,1,1,0,44,1,51.1,2.7 to 1,70,24,1,Yes,Yes,38.5,0,61.4,88.8,11.1,Other for 11 month(s),0,Other for 10 month(s),0,Other for 10 month(s),0,Other for 11 month(s),Not Available,5,30%,N/A,"$58,036.00",15,NGO,"$60,443.00",15,NGO,"$63,000.00",15,NGO,"$65,700.00",20,NGO,Yes,NGO,Not Available,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Optional,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2204100368,Community-based university affiliated,UPMC Pinnacle Hospitals,4,4,No,Yes,July,Yes,No,https://www.pinnaclehealth.org/,Not Available,"Holly J Thomas
MD
UPMC Pinnacle
Brady Bldg Ste 910
205 S Front St
Harrisburg, PA 17104
Tel: (717) 231-8494
Fax: (717) 231-8756
E-mail: millercn5@upmc.edu","Chelsea  Miller
UPMC Pinnacle
Brady Bldg Ste 908
205 S Front St
Harrisburg, PA 17104
Tel: (717) 231-8494
Fax: (717) 231-8756
E-mail: millercn5@upmc.edu",2204100368,"UPMC Pinnacle, Brady Bldg Ste 910, 205 S Front St, Harrisburg, PA 17104","111 S Front St, Harrisburg, PA 17105-8700","361 Alexander Spring Rd, Carlisle, PA 17015","111 S Front St, Harrisburg, PA 17105-8700",Our programs location gives up the opportunity to service both urban and rural patients. Residents have elective time during their PGY3 year. We currently have two women's health behavioral specialists on our faculty. We offer a robotic curriculum.,4,4,4,4,No,No,"Yes , Codes: 1615220C0",No,12/1/2020,11/1/2020 - 12/17/2020_-,,,Yes,48,No,No,2,No,Yes,210__500_,No,210-225,Yes,No,541-600,"Desired, with some exceptions",No,No,No,14,2,0,0,14,2,42.8,0.8 to 1,75,24,1,No,Yes,,,,,,Once per week for 8 month(s),0,N/A,0,N/A,0,N/A,Not Available,4,5%,15%,"$59,727.00",21,Not Available,"$61,823.00",21,Not Available,"$63,987.00",21,Not Available,"$66,215.00",21,Not Available,Yes,21,NGO,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Not Available,Not Available,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Not Available,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,Required,,,,"1500 Highlands Dr, Lititz, PA 17543","4300 Londonderry Rd, Harrisburg, PA 17109","1995 Technology Pkwy, Mechanicsburg, PA 17050",Aggregate resident Milestone achievements,"Graduates’ board certification pass rates_Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2204121246,University-based,Penn State Milton S Hershey Medical Center,4,4,No,Yes,July,Yes,No,http://www.pennstatehershey.org/web/obgyn,Not Available,"Carrie A Hossler
MD
Penn State Hershey Med Ctr
Dept of Ob/Gyn MC H103
500 University Dr
Hershey, PA 17033
Tel: (717) 531-5394
Fax: (717) 531-0197
E-mail: kbrown2@pennstatehealth.psu.edu","Kathy M Brown
Penn State Hershey Med Ctr
Dept of Ob/Gyn MC H103
500 University Dr
Hershey, PA 17033-0850
Tel: (717) 531-5394
Fax: (717) 531-0197
E-mail: kbrown2@pennstatehealth.psu.edu",2204121246,"Penn State Hershey Med Ctr, Dept of Ob/Gyn MC H103, 500 University Dr, Hershey, PA 17033","500 University Dr, Hershey, PA 17033-0850","111 S Front St, Harrisburg, PA 17105-8700",,"Research rotation is total 10 weeks in PGY2. Robotics curriculum starts in PGY1. Ability to have console surgeon case list in PGY4. Exposure to FPMRS and MIGS in PGY1. Exposure to FPMRS, MIGS, REI, oncology, MFM by PGY2. Elective 5 weeks in PGY3. Simulation labs 4 per year in progressive simulation center. Protected education time weekly. Participation in quality projects as well as quality meetings. Full inpatient and outpatient connected EMR.",5,5,5,5,No,No,"Yes , Codes: 1617220C0",No,11/1/2020,11/11/2020 - 12/30/2020_11/10/2021 - 12/15/2021,9/15/2021,11/1/2021,Yes,75,No,No,3,No,Yes,200__561_,No,236-245,Yes,No,Greater than 600,Required,Yes,No,No,26,14,3,1,29,15,73,1.3 to 1,70,24,1,No,Yes,95,0,5,70,30,Every tenth night for 12 month(s),0,Every tenth night for 12 month(s),0,Every tenth night for 12 month(s),0,Every tenth night for 12 month(s),Not Available,6,30%,5%,"$60,632.00",20,NGO,"$62,684.00",20,NGO,"$64,735.00",20,NGO,"$67,321.00",20,NGO,Yes,30,30,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Required,No,No,Yes,,,,(10 wks ),,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2204111252,Community-based university affiliated,Pennsylvania Hospital (UPHS),4,4,No,Yes,June,Yes,No,http://www.uphs.upenn.edu/pahedu/gme/ob.html,Not Available,"Dominic A Marchiano
MD
Pennsylvania Hosp
2 Pine East
800 Spruce St
Philadelphia, PA 19107
Tel: (215) 829-3470
Fax: (215) 829-3973
E-mail: pahobgynresidency@uphs.upenn.edu","Matthew  Prickett
PhD
Pennsylvania Hosp
2 Pine Bldg East
800 Spruce St
Philadelphia, PA 19107
Tel: (215) 829-3470
Fax:
E-mail: pahobgynresidency@uphs.upenn.edu",2204111252,"Pennsylvania Hosp, 2 Pine East, 800 Spruce St, Philadelphia, PA 19107","800 Spruce St, Philadelphia, PA 19107","701 Marshall St, West Chester, PA 19380",,One month elective time (global medicine) with funding available for exposure to international medicine.,6,7,7,7,No,No,"Yes , Codes: 1639220C0",No,11/1/2020,12/1/2020 - 1/31/2021_12/1/2021 - 1/31/2022,9/1/2021,11/1/2021,Yes,72,No,No,3,No,Yes,200_210__,Yes,No Answer,No,No,No Answer,"Desired, with some exceptions",Yes,Yes,Yes,47,12,0,0,47,12,70.2,1.7 to 1,60,24,2,No,Yes,98.8,0,1.1,75,25,Other for 2 month(s),0,Other for 2 month(s),0,Other for 2 month(s),0,Other for 2 month(s),Not Available,4,20%,0%,"$61,963.00",20,NGO,"$64,105.00",20,NGO,"$67,288.00",20,NGO,"$70,033.00",20,NGO,No answer,NGO,NGO,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Required,Yes,Yes,No,,,,(4 wks ),,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2204111256,,,4,4,No,Yes,June,Yes,No,http://www.uphs.upenn.edu/obgyn/,Not Available,"Catherine R Salva
MD
Hosp of the Univ of Pennsylvania
584 Dulles Bldg
3400 Spruce St
Philadelphia, PA 19104
Tel: (215) 662-2459
Fax: (215) 349-5893
E-mail: rlevit@obgyn.upenn.edu","Roslyn  Levit
Hosp of the Univ of Pennsylvania
584 Dulles Bldg
3400 Spruce St
Philadelphia, PA 19104-4283
Tel: (215) 662-2459
Fax: (215) 349-5893
E-mail: levit@pennmedicine.upenn.edu",2204111256,"Hosp of the Univ of Pennsylvania, 584 Dulles Bldg, 3400 Spruce St, Philadelphia, PA 19104","3400 Spruce St, Philadelphia, PA 19104-4283","3900 Woodland Ave, Philadelphia, PA 19104","51 N 39th St, Philadelphia, PA 19104-2699",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2204121247,Community-based,Einstein Medical Center Philadelphia,4,4,No,Yes,July,Yes,No,http://www.einstein.edu,Not Available,"John  Myers
DO
Einstein Med Ctr Philadelphia
Dept of Ob/Gyn Lifter 1 Rm 1615
5501 Old York Rd
Philadelphia, PA 19141
Tel: (215) 456-8261
Fax: (215) 456-2386
E-mail: myersj@einstein.edu","Jennifer  Teal
Einstein Med Ctr Philadelphia
Dept of Ob/Gyn Lifter 1 Rm 1614
5501 Old York Rd
Philadelphia, PA 19141-3098
Tel: (215) 456-8261
Fax: (215) 456-3844
E-mail: tealjenn@einstein.edu",2204121247,"Einstein Med Ctr Philadelphia, Dept of Ob/Gyn Lifter 1 Rm 1615, 5501 Old York Rd, Philadelphia, PA 19141","5501 Old York Rd, Philadelphia, PA 19141","5501 Old York Rd, Philadelphia, PA 19141-3098","333 Corrman Ave, Philadelphia, PA 19111","Our mission is to maintain a learning environment to enable our residents to achieve levels of training that exceeds their own expectations. A true community-based, hands on program with a university feel. We have a robust research division, and have been successful in training future fellows and skilled generalist.",5,5,5,5,No,No,"Yes , Codes: 1631220C0",No,,10/21/2020 - 2/26/2021_-,,,Yes,120,No,No,3,No,Yes,210_220_550_550,Yes,No Answer,Yes,Yes,No Answer,Not required,Yes,Yes,Yes,29,0,0,0,29,0,55.1,1.4 to 1,72,24,1,No,Yes,45,6.6,48.3,85,15,Once per week for 9 month(s),0,Once per week for 9 month(s),0,Once per week for 9 month(s),0,Once per week for 9 month(s),Not Available,7,10%,0%,"$57,886.00",20,12,"$59,529.00",20,12,"$63,244.00",20,12,"$65,815.00",20,12,Yes,20,NGO,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,Optional,Yes,No,Yes,"1245 Highland Ave, Abington, PA 19001","559 W Germantown Pike, East Norriton, PA 19403",,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2204121254,,,4,4,No,Yes,June,Yes,No,https://medicine.temple.edu/,Not Available,"Stacey L Jeronis
MD
Temple Univ Hosp
7th Fl Zone B
3401 N Broad St
Philadelphia, PA 19140
Tel: (215) 707-1373
Fax: (215) 707-1387
E-mail: stacey.jeronis@tuhs.temple.edu","Danielle  Govan
BS
Temple Univ Hosp
Ob/Gyn Pgm
3401 N Broad St
Philadelphia, PA 19140
Tel: (215) 707-3187
Fax:
E-mail: danielle.govan@tuhs.temple.edu",2204121254,"Temple Univ Hosp, 7th Fl Zone B, 3401 N Broad St, Philadelphia, PA 19140","3401 N Broad St, Philadelphia, PA 19140","1648 Huntingdon Pike, Meadowbrook, PA 19046","777 Appletree St, Philadelphia, PA 19106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2204121255,University-based,Thomas Jefferson University Hospital,4,4,No,Yes,June,Yes,No,http://www.jefferson.edu/university/jmc/departments/obgyn/education/,Not Available,"Abigail  Wolf
MD
Thomas Jefferson Univ Hosp
Mezzanine Level
833 Chestnut St
Philadelphia, PA 19107
Tel: (215) 955-1085
Fax: (215) 503-8924
E-mail: abigail.wolf@jefferson.edu","Joellen C Hodorovich
BS
Thomas Jefferson Univ Hosp
Mezzanine #132
833 Chestnut St
Philadelphia, PA 19107
Tel: (215) 955-1085
Fax: (215) 503-8924
E-mail: joellen.hodorovich@jefferson.edu",2204121255,"Thomas Jefferson Univ Hosp, Mezzanine Level, 833 Chestnut St, Philadelphia, PA 19107","1025 Walnut St, Philadelphia, PA 19107-5083","111 S 11th St, Philadelphia, PA 19107-5096","100 Bowman Dr, Voorhees, NJ 08043","We offer an academic setting with several unique clinical experiences including treatment of substance use disorder in pregnancy, four-year Family Planning curriculum and the opportunity to complete robot certification. Third and fourth year elective time allow residents to pursue areas of particular interest. Our residents and faculty are committed to care of the patient and each other, this results in a supportive environment to work and learn. We look forward to meeting you!",9,9,9,9,No,No,"Yes , Codes: 1630220C0",No,11/6/2020,11/19/2020 - 1/21/2021_10/21/2021 - 1/14/2022,9/15/2021,11/6/2021,Yes,120,No,No,3,No,Yes,200_225__,Yes,236-245,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",Greater than 600,"Desired, with some exceptions",Yes,No,No,26,1,0,0,26,1,65.3,0.7 to 1,60,24,1,Yes,Yes,100,0,0,92.3,7.6,Once per week for 52 week(s),0,Once per week for 52 week(s),0,Once per week for 52 week(s),0,Once per week for 52 week(s),Not Available,7,25%,5%,"$60,785.00",21,NGO,"$62,776.00",28,NGO,"$65,413.00",28,NGO,"$68,547.00",28,NGO,Yes,60,NGO,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Optional,Yes,Yes,Yes,"2301 S Broad St, Philadelphia, PA 19148",,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2204111258,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Available_Not Available_Not Available_No_No_Not Available_Not Available,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2204111261,Community-based university affiliated,West Penn Hospital,4,4,No,Yes,July,Yes,No,https://www.ahn.org/health-care-professionals/education/graduate-medical-ed,Not Available,"Erin  Lavelle
MD
Western Pennsylvania Hosp
Dept of Ob/Gyn Ste 505 West Tower
4800 Friendship Ave
Pittsburgh, PA 15224
Tel: (412) 578-5587
Fax: (412) 578-4477
E-mail: pamela.chorba@ahn.org","Pamela  Chorba
Western Pennsylvania Hosp
Dept of Ob/Gyn Ste 5115 West Tower
4800 Friendship Ave
Pittsburgh, PA 15224
Tel: (412) 578-5587
Fax: (412) 578-4477
E-mail: pamela.chorba@ahn.org",2204111261,"Western Pennsylvania Hosp, Dept of Ob/Gyn Ste 505 West Tower, 4800 Friendship Ave, Pittsburgh, PA 15224","320 E North Ave, Pittsburgh, PA 15212","4800 Friendship Ave, Pittsburgh, PA 15224-1793","320 E North Ave, Pittsburgh, PA 15212-4772",,5,5,5,5,No,No,"Yes , Codes: 1659220C0",No,10/21/2020,10/30/2020 - 12/4/2020_10/30/2021 - 12/3/2021,9/1/2021,10/21/2021,Yes,120,No,No,3,No,Yes,200_220_500_550,Yes,No Answer,Yes,Yes,No Answer,Not known,Yes,No,No,0,0,2,0,2,0,,0.0 to 1,64,24,1,No,Yes,86.4,6.7,6.8,88,11.9,Two times per week for 4 week(s),0,Two times per week for 4 week(s),0,Two times per week for 4 week(s),0,Every fourth night for 4 week(s),8,4,20%,10%,"$58,390.00",15,10,"$60,004.00",15,10,"$61,640.00",15,10,"$64,436.00",15,10,No answer,15,NGO,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Not Available,When resident/fellow starts program,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Optional,No,No,No,"2570 Haymaker Rd, Monroeville, PA 15146","1301 Carlisle St, Natrona Heights, PA 15065",,,,,,,,,,,,,,,,,,,,,,
