,Link,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Participant 2,Intro,,Program best described as,Primary teaching site,Participant 3,Year 1,Year 2,Year 3,Year 4,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system,% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Participant 4,Participant 5,Participant 6,Participant 7,Participant 8,Participant 9,Night float system (Residents participate during first year),Specialty Details,Year 5,Year most taxing schedule And frequency per year_Year 5,Beeper or home call (Weeks/Year)_Year 5,Salary compensation_Year 5,Vacation days_Year 5,Sick days_Year 5,Participant 10,Participant 11,Participant 12,Participant 13,Participant 14,Participant 15,Participant 16,Participant 17,Participant 18,Participant 19,Participant 20,Participant 21,Participant 22,Participant 23,Salary compensation_Year 6,Vacation days_Year 6,Sick days_Year 6,Salary compensation_Year 7,Vacation days_Year 7,Sick days_Year 7,Salary compensation_Year 8,Vacation days_Year 8,Sick days_Year 8,Year 6,Year most taxing schedule And frequency per year_Year 6,Beeper or home call (Weeks/Year)_Year 6
0,https://freida.ama-assn.org/program/2805621115,5,5,No,Yes,July,Yes,No,http://www.mcw.edu/ear-nose-throat/education/residency.htm,Not Available,"Thomas C Robey
MD
Children's Wisconsin
Pediatric Otolaryngology MS #782-A
9000 W Wisconsin Ave
Milwaukee, WI 53226
Tel: (414) 955-0827
Fax:
E-mail: trobey@mcw.edu","Diann K Fiscus
Med Coll of Wisconsin
Dept of Oto Communication Sciences
8701 Watertown Plank Rd
Milwaukee, WI 53226
Tel: (414) 955-0827
Fax: (414) 955-0074
E-mail: dfiscus@mcw.edu",2805621115,"Children's Wisconsin, Pediatric Otolaryngology MS #782-A, 9000 W Wisconsin Ave, Milwaukee, WI 53226","8701 W Watertown Plank Rd, Milwaukee, WI 53226","9200 W Wisconsin Ave, Milwaukee, WI 53226","9000 W Wisconsin Ave, Milwaukee, WI 53201","5000 W National Ave, Milwaukee, WI 53295-1000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2805511113,5,5,No,Yes,July,Yes,No,http://medicine.hsc.wvu.edu/otolaryngology/residents/,Not Available,"Brian  Kellermeyer
MD
West Virginia Univ
4500 Health Science Ctr South Box 9200
1 Medical Center Dr
Morgantown, WV 26506
Tel: (304) 293-0941
Fax: (304) 293-2902
E-mail: klanham@hsc.wvu.edu","Kim  Lanham
West Virginia Univ
4500 Health Science Ctr South Box 9200
1 Medical Center Dr
Morgantown, WV 26506-9200
Tel: (304) 293-0941
Fax: (304) 293-2902
E-mail: klanham@hsc.wvu.edu",2805511113,"West Virginia Univ, 4500 Health Science Ctr South Box 9200, 1 Medical Center Dr, Morgantown, WV 26506","1 Medical Center Dr, Morgantown, WV 26506-8136","1 Medical Center Dr, Morgantown, WV 26506","1 Medical Center Dr, Clarksburg, WV 26301-4199","2500 Hospital Dr, Martinsburg, WV 25401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3000121017,,,No,No,,,,,,,,,,,,,,,Not Available_Not Available_Not Available_No_No_Not Available_Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3000131018,,,No,No,,,,,,,,,,,,,,,Not Available_Not Available_Not Available_No_No_Not Available_Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3000111019,4,4,No,Yes,July,Yes,No,https://www.usahealthsystem.com/pathology-residency-info,USA Health Pathology Residency Program,"James E Carter
MD
USA Health Univ Hosp
Dept of Pathology
2451 University Hospital Dr
Mobile, AL 36617
Tel: (251) 471-7786
Fax: (251) 471-7715
E-mail: fakther@health.southalabama.edu","Farhana  Akther
USA Health Univ Hosp
Dept of Pathology
2451 University Hospital Dr
Mobile, AL 36617
Tel: (251) 471-7786
Fax: (251) 471-7715
E-mail: fakther@health.southalabama.edu",3000111019,"USA Health Univ Hosp, Dept of Pathology, 2451 University Hospital Dr, Mobile, AL 36617","2451 USA Medical Center Dr, Mobile, AL 36617-2293","2451 Fillingim St, Mobile, AL 36617-2293","2451 Fillingim St, Mobile, AL 36617","5 Mobile Infirmary Circle, Mobile, AL 36652",Multiple texts in different pathology specialty areas purchased for each resident. Support for research includes departmental funding for travel to approved meetings. Hands on approach to AP/CP training-residents involved in all calls and cases in the department. Departmentally funded board exam review course.,,University-based,USA Health University Hospital,"1700 Center St, Mobile, AL 36604-3391",3,3,4,3,No,No,"Yes , Codes: 1852300C0",No,12/1/2020,10/1/2020 - 1/31/2021_10/1/2021 - 1/31/2022,,12/1/2021,Yes,40,No,No,3,No,Yes,192_209_400_400,Yes,Below 210,Yes,Yes,Below 450,"Desired, with some exceptions",Yes,No,No,16,4,0,0,16,4,43.7,1.2 to 1,40,16,2,No,No,20.5,76.9,2.5,71.7,28.2,N/A,0,N/A,6,N/A,6,N/A,4,5,NGO,N/A,"$52,578.00",20,12,"$54,415.00",20,12,"$56,197.00",20,12,"$58,823.00",20,12,Yes,12,90,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Not Available,When resident/fellow starts program,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Optional,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3000421024,4,4,No,Yes,"July,Negotiable",Yes,No,http://www.pathology.uams.edu,Not Available,"Susanne  Jeffus
MD
Univ of Arkansas for Med Sciences
Dept of Pathology Slot 517
4301 W Markham St
Little Rock, AR 72205
Tel:
Fax:
E-mail: skjeffus@uams.edu","Kelly  Pollnow
Univ of Arkansas for Med Sciences
Dept of Pathology Slot 517
4301 W Markham St
Little Rock, AR 72205
Tel: (501) 603-1508
Fax:
E-mail: kellyp@uams.edu",3000421024,"Univ of Arkansas for Med Sciences, Dept of Pathology Slot 517, 4301 W Markham St, Little Rock, AR 72205","4301 W Markham St, Little Rock, AR 72205-7249","4301 W Markham St, Little Rock, AR 72205","800 Marshall St, Little Rock, AR 72202-3591","4300 W 7th St, Little Rock, AR 72205-5484","The program buys new incoming residents a Rosai or Sternberg 2-volume set, subscription to ExpertPath online eBook library, and a laptop for use during residency. Book fund. Travel allowance to present at a national conference. Travel paid for residents holding council or committee positions in national pathology organizations.",NGO (wks),University-based,University of Arkansas for Medical Sciences (UAMS) College of Medicine,"3 Natural Resources Dr, Little Rock, AR 72215",4,4,5,5,No,No,"Yes , Codes: 1018300C0",No,12/31/2020,10/1/2020 - 1/29/2021_10/1/2021 - 1/31/2022,9/15/2021,12/31/2021,Yes,48,No,No,3,No,Yes,192__400_,No,226-235,Yes,No,501-540,"Desired, with some exceptions",Yes,Yes,Yes,41,4,2,0,43,4,63.4,2.3 to 1,55,14,2,Yes,No,43.4,30.1,26.3,33.8,66.1,N/A,0,N/A,6,N/A,4,N/A,2,5,NGO,N/A,"$53,615.00",15,10,"$54,365.00",15,10,"$56,158.00",15,10,"$57,799.00",15,10,Yes,NGO,NGO,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Fully Paid by Institution,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Required,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3000321023,4,4,No,Yes,July,Yes,No,http://www.pathology.arizona.edu,Not Available,"Demaretta Sickels Rush
MD
Univ of Arizona Coll of Med-Tucson
PO Box 245108
1501 N Campbell Ave
Tucson, AZ 85724-5108
Tel: (520) 626-6830
Fax:
E-mail: rushd@pathology.arizona.edu","Tammy L Talvy
Univ of Arizona Coll of Med-Tucson
PO Box 245108
1501 N Campbell Ave
Tucson, AZ 85724-5108
Tel: (520) 626-6830
Fax: (520) 626-2521
E-mail: talvy@pathology.arizona.edu",3000321023,"Univ of Arizona Coll of Med-Tucson, PO Box 245108, 1501 N Campbell Ave, Tucson, AZ 85724-5108","1501 N Campbell Ave, Tucson, AZ 85724-5085","1501 N Campbell Ave, Tucson, AZ 85724","3601 S 6th Ave, Tucson, AZ 85723","2825 E District St, Tucson, AZ 85714","We provide one-on-one teaching by experienced, award-winning faculty whose expertise spans all areas of pathology, many research opportunities, and a well-balanced case mix. The on-site Arizona telemedicine program offers cutting-edge technology.",,University-based,Banner-University Medical Center Tucson,,6,4,4,2,No,No,"Yes , Codes: 1015300C0",No,12/15/2020,10/1/2020 - 1/15/2021_10/1/2021 - 1/15/2022,9/1/2020,2/15/2021,Yes,60,No,No,3,No,Yes,200_200__,Yes,226-235,No,No,450-500,Not required,Yes,No,No,24,4,2,0,26,4,50,1.5 to 1,45,12,1.5,Yes,No,56.2,37.5,6.2,60.4,39.5,N/A,2,N/A,5,N/A,5,N/A,3,5,NGO,N/A,"$58,246.00",20,5,"$60,721.00",20,5,"$63,888.00",20,5,"$66,461.00",20,5,Yes,0,60,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Optional,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3000521040,4,4,Yes,Yes,"June,July,Negotiable",Yes,No,http://pathology.ucsd.edu/pathology_residency.htm,Not Available,"Grace Y Lin
MD, PhD
UCSD Med Ctr
Dept of Pathology MC 7723
9500 Campus Point Dr
La Jolla, CA 92037
Tel: (858) 249-1096
Fax:
E-mail: g4lin@ucsd.edu","Alexandra  Murtha
UCSD Med Ctr
Dept of Pathology MC 7723
9300 Campus Point Dr
La Jolla, CA 92037
Tel: (858) 249-1096
Fax:
E-mail: amurtha@health.ucsd.edu",3000521040,"UCSD Med Ctr, Dept of Pathology MC 7723, 9500 Campus Point Dr, La Jolla, CA 92037","200 W Arbor Dr, San Diego, CA 92103-2180","3020 Children's Way, San Diego, CA 92123-4282","3350 La Jolla Village Dr, San Diego, CA 92161-4223","5570 Overland Ave, San Diego, CA 92123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3000521028,4,4,No,Yes,"June,July",Yes,No,http://www.llupathology.com,Not Available,"Justin C Kerstetter
MD
Loma Linda Univ Med Ctr
Dept of Pathology & Lab Medicine Rm 2516
11234 Anderson St
Loma Linda, CA 92354
Tel: (909) 558-4094
Fax: (909) 558-4189
E-mail: jukerstetter@llu.edu","Nina  Vicario
Loma Linda Univ Health
Dept of Pathology & Lab Medicine Rm 2516
11234 Anderson St
Loma Linda, CA 92354
Tel: (909) 558-4094
Fax: (909) 558-4189
E-mail: nrvicario@llu.edu",3000521028,"Loma Linda Univ Med Ctr, Dept of Pathology & Lab Medicine Rm 2516, 11234 Anderson St, Loma Linda, CA 92354","11234 Anderson St, Loma Linda, CA 92354","11234 Anderson St, Loma Linda, CA 92354","11201 Benton St, Loma Linda, CA 92357-1111","175 S Lena Rd, San Bernardino, CA 92415-0037",,,,,"200 First St SW, Rochester, MN 55905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/3000511034,4,4,No,Yes,June,Yes,No,http://www.pathology.ucla.edu,Not Available,"Peggy S Sullivan
MD
UCLA Med Ctr
Rm  AS-267 CHS
10833 Le Conte Ave
Los Angeles, CA 90095
Tel: (310) 794-7190
Fax: (310) 206-8019
E-mail: psullivan@mednet.ucla.edu","Heidi  Merkin
UCLA Med Ctr
AS-310 Ctr for Health Sciences
10833 Le Conte Ave
Los Angeles, CA 90095-1732
Tel: (310) 794-7495
Fax: (310) 825-0497
E-mail: hmerkin@mednet.ucla.edu",3000511034,"UCLA Med Ctr, Rm  AS-267 CHS, 10833 Le Conte Ave, Los Angeles, CA 90095","10833 Le Conte Ave, Los Angeles, CA 90024","757 Westwood Plaza, Los Angeles, CA 90095",,,,,University-based,Ronald Reagan UCLA Medical Center,,6,6,5,5,No,No,"Yes , Codes: 1956300C0",No,10/31/2020,10/1/2020 - 1/8/2021_10/1/2021 - 1/7/2022,7/1/2021,10/31/2021,No,60,No,No,3,No,Yes,220_238_551_550,Yes,No Answer,Yes,Yes,Greater than 600,Required,Yes,No,No,43,4,0,0,43,4,30.2,1.9 to 1,50,14,2,Yes,No,84.4,6.1,9.4,51.1,48.8,N/A,NGO,Two times per week for 1 month(s),4,Two times per week for 1 month(s),4,Two times per week for 1 month(s),4,7,NGO,N/A,"$57,233.00",20,12,"$59,130.00",20,12,"$61,453.00",20,12,"$63,879.00",20,12,Yes,12,NGO,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Optional,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
