,Link,Program best described as,Primary teaching site,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Intro,Year 1,Year 2,Year 3,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system,% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Specialty Details,Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Participant 2,Participant 3,Night float system (Residents participate during first year),,Participant 4,Participant 5,Participant 6,Participant 7,Participant 8,Participant 9,Participant 10,Participant 11,Participant 12,Participant 13,Participant 14,Participant 15,Year 4,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4
0,https://freida.ama-assn.org/program/1204621547,Community-based university affiliated,Rapid City Hospital,3,3,No,Yes,"July,Negotiable",Yes,No,http://www.monument.health/FMR,Not Available,"Bobbie M Schneller
DO
Rapid City Hosp
Family Medicine Pgm
502 E Monroe St
Rapid City, SD 57701
Tel: (605) 755-4020
Fax: (605) 755-4044
E-mail: bschneller@monument.health","Carrie  Hulbert
Rapid City Hosp
Family Medicine Pgm
502 E Monroe St
Rapid City, SD 57701
Tel: (605) 755-4028
Fax: (605) 755-4044
E-mail: chulbert@monument.health",1204621547,"Rapid City Hosp, Family Medicine Pgm, 502 E Monroe St, Rapid City, SD 57701","353 Fairmont Blvd, Rapid City, SD 57709","2525 Chicago Ave S, Minneapolis, MN 55404-9976","100 N Mario Capecchi Dr, Salt Lake City, UT 84113",In the beautiful Black Hills of western South Dakota. Advantages of a small city along with a 415+ bed tertiary care hospital. No competing residencies. Full range of traditional FM with OB and a well-rounded experience.,6,6,6,No,No,"Yes , Codes: 1177120C0",No,12/31/2020,11/1/2020 - 1/31/2021_10/15/2021 - 1/15/2022,9/15/2021,12/31/2021,Yes,80,No,No,2,No,Yes,___,No,No Answer,Yes,No,No Answer,"Desired, with some exceptions",Yes,No,No,6,3,1,0,7,3,33.3,0.3 to 1,65,16,1.5,Yes,Yes,44.4,5.5,50.0,51.8,48.1,N/A,0,Other for 12 month(s),NGO,Other for 12 month(s),NGO,4,10%,3%,Recent data from the American Board of Family Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abfm.org.,"$67,100.00",15,NGO,"$68,600.00",15,NGO,"$70,600.00",15,NGO,No answer,NGO,NGO,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,"Available, Not Paid By Institution","Available, Not Paid By Institution",Within 30 days of starting program,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Optional,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1204600548,Community-based,Sanford Clinic-Pierre,3,3,No,Yes,Negotiable,Yes,No,http://pierreruralfm.org,Not Available,"Mark K Huntington
MD, PhD
Ctr for Family Med
Pierre Rural Family Medicine Pgm
1115 E 20th St
Sioux Falls, SD 57105
Tel: (605) 575-1642
Fax: (605) 335-1006
E-mail: mark.huntington@usd.edu","Jo  Erickson
Ctr for Family Med
Pierre Rural Family Medicine Pgm
1115 E 20th St
Sioux Falls, SD 57105
Tel: (605) 575-1644
Fax: (605) 335-1006
E-mail: jo.erickson@usd.edu",1204600548,"Ctr for Family Med, Pierre Rural Family Medicine Pgm, 1115 E 20th St, Sioux Falls, SD 57105","1115 E 20th St, Sioux Falls, SD 57105","521 E Sioux Ave, Pierre, SD 57501","800 E 21st St, Sioux Falls, SD 57117-5045",,2,2,2,No,No,"Yes , Codes: 2979120C1",No,10/31/2020,11/1/2020 - 1/15/2021_11/1/2021 - 1/15/2022,10/21/2021,10/31/2021,Yes,15,No,No,2,No,Yes,210_210_430_430,Yes,210-225,Yes,Yes,450-500,Required,No,No,No,10,1,1,1,11,2,20.0,1.7 to 1,55,16,1,Yes,No,,,,,,N/A,NGO,N/A,NGO,N/A,NGO,5,10%,30%,Recent data from the American Board of Family Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abfm.org.,"$58,000.00",15,10,"$59,500.00",15,10,"$61,500.00",15,10,Yes,NGO,NGO,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Optional,Yes,Yes,Yes,"1305 W 18th St, Sioux Falls, SD 57117","801 E Sioux Ave, Pierre, SD 57501",,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1204600548,Community-based,Sanford Clinic-Pierre,3,3,No,Yes,Negotiable,Yes,No,http://pierreruralfm.org,Not Available,"Mark K Huntington
MD, PhD
Ctr for Family Med
Pierre Rural Family Medicine Pgm
1115 E 20th St
Sioux Falls, SD 57105
Tel: (605) 575-1642
Fax: (605) 335-1006
E-mail: mark.huntington@usd.edu","Jo  Erickson
Ctr for Family Med
Pierre Rural Family Medicine Pgm
1115 E 20th St
Sioux Falls, SD 57105
Tel: (605) 575-1644
Fax: (605) 335-1006
E-mail: jo.erickson@usd.edu",1204600548,"Ctr for Family Med, Pierre Rural Family Medicine Pgm, 1115 E 20th St, Sioux Falls, SD 57105","1115 E 20th St, Sioux Falls, SD 57105","521 E Sioux Ave, Pierre, SD 57501","800 E 21st St, Sioux Falls, SD 57117-5045",,2,2,2,No,No,"Yes , Codes: 2979120C1",No,10/31/2020,11/1/2020 - 1/15/2021_11/1/2021 - 1/15/2022,10/21/2021,10/31/2021,Yes,15,No,No,2,No,Yes,210_210_430_430,Yes,210-225,Yes,Yes,450-500,Required,No,No,No,10,1,1,1,11,2,20.0,1.7 to 1,55,16,1,Yes,No,,,,,,N/A,NGO,N/A,NGO,N/A,NGO,5,10%,30%,Recent data from the American Board of Family Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abfm.org.,"$58,000.00",15,10,"$59,500.00",15,10,"$61,500.00",15,10,Yes,NGO,NGO,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Optional,Yes,Yes,Yes,"1305 W 18th St, Sioux Falls, SD 57117","801 E Sioux Ave, Pierre, SD 57501",,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1204731296,Community-based university affiliated,East Tennessee State University/Quillen College of Medicine,3,3,No,Yes,"July,Negotiable",Yes,No,http://www.etsu.edu/com/familymed/,Not Available,"Amanda M Stoltz
MD
ETSU Family Physicians of Bristol
Family Medicine Pgm
208 Medical Park Blvd
Bristol, TN 37620
Tel: (423) 990-3012
Fax: (423) 990-3045
E-mail: stoltz@etsu.edu","Julie M Robinette
BA
ETSU Family Physicians of Bristol
Family Medicine Pgm
208 Medical Park Blvd
Bristol, TN 37620
Tel: (423) 990-3012
Fax: (423) 990-3045
E-mail: robinett@etsu.edu",1204731296,"ETSU Family Physicians of Bristol, Family Medicine Pgm, 208 Medical Park Blvd, Bristol, TN 37620","PO Box 70694, Johnson City, TN 37614-1704","1 Medical Park Blvd, Bristol, TN 37620",,"A solid, well-rounded program in the mountains of East Tennessee. Offers a supportive, family-friendly atmosphere in an unopposed setting. Administered by ETSU, a national leader in training primary-care physicians and rural medicine.",8,8,8,No,No,"Yes , Codes: 2066120C2",No,12/31/2020,10/21/2020 - 1/31/2021_9/15/2021 - 1/31/2022,9/15/2021,12/31/2021,Yes,85,No,No,2,No,Yes,194__400_,No,210-225,Yes,No,450-500,Not required,Yes,No,No,8,2,0,0,8,2,37.5,0.3 to 1,50,24,2,Yes,,28.0,21.1,50.7,39.4,60.5,Other for week(s),0,Other for week(s),0,Other for week(s),Not Available,4,NGO,30%,Recent data from the American Board of Family Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abfm.org.,"$53,155.00",15,12,"$54,744.00",15,12,"$56,703.00",15,12,Yes,NGO,NGO,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Not Available,Not Available,Not Available,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Not available,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1204731584,University-based,University of Tennessee College of Medicine-Chattanooga,3,3,No,Yes,"June,July",Yes,No,http://www.comchattanooga.uthsc.edu/subpage.php?pageId=489,Not Available,"Leslie C Griffin
MD, MPH
Univ of Tennessee Coll of Med-Chattanooga
Dept of Family Medicine
1100 E Third St
Chattanooga, TN 37403
Tel: (423) 778-2957
Fax:
E-mail: dr.leslie.griffin@erlanger.org","Robbin H Williams
BBA
Univ of Tennessee Coll of Med Chattanooga
Dept of Family Medicine
1100 E Third St
Chattanooga, TN 37403
Tel: (423) 778-2957
Fax: (423) 778-2959
E-mail: robbin.williams@erlanger.org",1204731584,"Univ of Tennessee Coll of Med-Chattanooga, Dept of Family Medicine, 1100 E Third St, Chattanooga, TN 37403","960 E Third St, Chattanooga, TN 37403","975 E Third St, Chattanooga, TN 37403",,"Our program is affiliated with a mission clinic which provides care to underserved Latino patients. We offer a global health rotation, a procedures rotation as well as point of care ultrasound training. Our fellowship acceptance rate is 100% and we have an active sports medicine program responsible for Division 1, high school, and local Ironman events. We have fellowship trained faculty in advanced obstetrics, geriatrics, sports medicine, rheumatology, public health and faculty development.",7,7,7,No,No,"Yes , Codes: 1689120C0",No,11/30/2020,10/21/2020 - 1/22/2021_10/1/2021 - 1/23/2022,9/15/2021,11/30/2021,Yes,70,No,No,3,No,Yes,200__430_,No,210-225,Yes,No,450-500,"Desired, with some exceptions",Yes,No,No,7,1,3,0,10,1,57.1,0.4 to 1,57,28,1.5,Yes,,92.3,1.8,5.7,51.8,48.1,Every eleventh night or more for 1 week(s),0,Every eleventh night or more for 8 week(s),4,Every eleventh night or more for 8 week(s),4,4,20%,10%,Recent data from the American Board of Family Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abfm.org.,"$53,616.00",15,15,"$55,392.00",15,15,"$57,120.00",15,15,Yes,30,30,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Optional,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1204721299,Community-based university affiliated,Jackson-Madison County General Hospital,3,3,No,Yes,July,Yes,No,http://www.uthsc.edu/utfamjac,Not Available,"Gregg E Mitchell
MD
Univ of Tennessee Jackson
Dept of Family Medicine
294 Summar Dr
Jackson, TN 38301
Tel: (731) 927-8442
Fax: (731) 410-0369
E-mail: sjcole@uthsc.edu","Heather  Cavness
Univ of Tennessee Jackson
Dept of Family Medicine
294 Summar Dr
Jackson, TN 38301-3983
Tel: (731) 541-3755
Fax: (731) 927-8441
E-mail: hgreenwa@uthsc.edu",1204721299,"Univ of Tennessee Jackson, Dept of Family Medicine, 294 Summar Dr, Jackson, TN 38301","910 Madison Ave, Memphis, TN 38163","708 W Forest Ave, Jackson, TN 38305",,Program offers a one year emergency medicine fellowship after successfully completing three years of family medicine training.,12,12,12,No,No,"Yes , Codes: 1844120C1",No,12/31/2020,10/26/2020 - 2/5/2021_9/15/2021 - 2/5/2022,9/15/2021,12/31/2021,No,145,No,No,3,No,Yes,210_225_400_400,Yes,210-225,Yes,Yes,450-500,Required,No,No,No,12,0,0,0,12,0,33.3,0.3 to 1,45,16,1.5,Yes,,53.5,20.5,25.9,42.9,57.0,Every seventh night for 12 month(s),0,Every seventh night for 12 month(s),0,Every eighth night for 12 month(s),Not Available,7,50%,50%,Recent data from the American Board of Family Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abfm.org.,"$54,024.00",15,21,"$55,860.00",15,21,"$57,600.00",15,21,No,21,NGO,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Not Available,Not Available,Not Available,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Not Available,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Required,Yes,Yes,No,,,Yes,(2 wks ),,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1204721410,Community-based university affiliated,East Tennessee State University/Quillen College of Medicine,3,3,No,Yes,"July,Negotiable",Yes,No,https://www.etsu.edu/com/familymed/residencyprograms/johnsoncity/,Not Available,"Brian  Earley
DO
ETSU James H Quillen Coll of Med
Johnson City Family Medicine
917 West Walnut St
Johnson City, TN 37604
Tel: (423) 439-6464
Fax: (423) 439-2440
E-mail: earleyb@etsu.edu","Jennifer N Edwards
ETSU James H Quillen Coll of Med
Dept of Family Medicine
917 West Walnut St
Johnson City, TN 37604
Tel: (423) 952-6563
Fax: (423) 439-4320
E-mail: edwardsjn1@etsu.edu",1204721410,"ETSU James H Quillen Coll of Med, Johnson City Family Medicine, 917 West Walnut St, Johnson City, TN 37604","PO Box 70694, Johnson City, TN 37614-1704","Lamont & Veterans Way, Mountain Home, TN 37684","400 N State, Johnson City, TN 37604-6094","We have a strong procedural, practice management, behavioral health, and substance abuse curriculum in a community-based, comprehensive primary care program.",6,6,6,No,No,"Yes , Codes: 2066120C1",No,12/31/2020,10/21/2020 - 1/31/2021_9/15/2021 - 1/31/2022,9/15/2021,12/31/2021,Yes,84,No,No,2,No,Yes,194__400_,No,210-225,Yes,No,450-500,Not required,Yes,No,No,6,2,3,0,9,2,33.3,0.4 to 1,55,24,2,Yes,,23.8,28.5,47.6,42.0,57.9,Other for week(s),0,Other for week(s),NGO,Other for week(s),NGO,4,NGO,30%,Recent data from the American Board of Family Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abfm.org.,"$53,155.00",15,12,"$54,744.00",15,12,"$56,703.00",15,12,No answer,NGO,NGO,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Not Available,Not Available,Not Available,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Not available,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1204731297,Community-based university affiliated,East Tennessee State University/Quillen College of Medicine,3,3,No,Yes,"July,Negotiable",Yes,No,http://www.etsu.edu/com/familymed/residencyprograms/kingsport/,Not Available,"Mark  Brummel
DO
ETSU Family Physicians of Kingsport
Family Medicine Pgm
102 E Ravine Rd
Kingsport, TN 37660
Tel: (423) 245-9626
Fax: (423) 245-9631
E-mail: brummel@etsu.edu","Amy E Murphy
ETSU Family Physicians of Kingsport
Family Medicine Pgm
102 E Ravine Rd
Kingsport, TN 37660
Tel: (423) 245-9626
Fax: (423) 245-9631
E-mail: murphya@etsu.edu",1204731297,"ETSU Family Physicians of Kingsport, Family Medicine Pgm, 102 E Ravine Rd, Kingsport, TN 37660","PO Box 70694, Johnson City, TN 37614-1704","130 W Ravine Rd, Kingsport, TN 37662-0224",,"Our residency family is a cohesive group of wonderful individuals. You will learn in both rural and suburban outpatient continuity clinic sites, and a large community hospital that provides autonomy and amazing pathology.",6,6,6,No,No,"Yes , Codes: 2066120C3",No,12/31/2020,10/21/2020 - 1/31/2021_9/15/2021 - 1/31/2022,9/15/2021,12/31/2021,Yes,83,No,No,2,Yes,Yes,194__400_,No,210-225,Yes,No,450-500,Not required,Yes,No,No,7,3,0,0,7,3,42.8,0.3 to 1,50,24,2,Yes,,44.4,7.4,48.1,40.7,59.2,Other for week(s),0,Other for week(s),0,Other for week(s),Not Available,4,NGO,30%,Recent data from the American Board of Family Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abfm.org.,"$53,155.00",15,12,"$54,744.00",15,12,"$56,703.00",15,12,Yes,NGO,NGO,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Not Available,Not Available,Not Available,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Not available,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1204711298,Community-based university affiliated,University of Tennessee Memorial Hospital,3,3,No,Yes,July,Yes,No,http://gsm.utmck.edu/family_medicine/main.cfm,Not Available,"Amy Barger Stevens
MD, MPH
Univ of Tennessee Med Ctr
Family Medicine Pgm U-67
1924 Alcoa Hwy
Knoxville, TN 37920
Tel: (865) 305-9352
Fax: (865) 305-6752
E-mail: tcharris@utmck.edu","Khristy  Harris
Univ of Tennessee Med Ctr
Family Medicine Pgm U-67
1924 Alcoa Hwy
Knoxville, TN 37920
Tel: (865) 305-5087
Fax: (865) 305-6752
E-mail: tcharris@utmck.edu",1204711298,"Univ of Tennessee Med Ctr, Family Medicine Pgm U-67, 1924 Alcoa Hwy, Knoxville, TN 37920","1924 Alcoa Hwy, Knoxville, TN 37920-6999","1924 Alcoa Hwy, Knoxville, TN 37920-6999",,"We offer comprehensive family medicine training in East Tennessee. Our residency is affiliated with a multispecialty academic hospital where residents have direct attending interaction, a personalized curriculum, and exposure to various practice modalities. Our new clinic facility provides full-spectrum primary care services to a diverse patient population. Fellowship opportunities are available in Emergency Medicine, Sports Medicine and Faculty Development.",8,8,8,No,No,"Yes , Codes: 1839120C0",No,12/15/2020,11/2/2020 - 1/31/2021_10/18/2021 - 1/18/2022,9/15/2021,12/15/2021,Yes,88,No,No,3,No,Yes,205_215__,Yes,No Answer,No,No,No Answer,"Desired, with some exceptions",No,No,No,11,3,5,0,16,3,54.5,0.5 to 1,61,24,1.7,Yes,No,57.1,0.0,42.8,39.9,60.0,Every fourth night for 4 week(s),0,Every seventh night for 9 month(s),3,Every seventh night for 9 month(s),4,5,10%,5%,Recent data from the American Board of Family Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abfm.org.,"$52,000.00",15,6,"$52,850.00",15,6,"$54,529.00",15,6,Yes,21,NGO,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Not Available,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Optional,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1204700727,,,3,3,No,Yes,July,Yes,No,http://residency.baptistonline.org/familymedicine,Not Available,"Collins  Rainey
MD
Baptist Memorial Health Care Corp
Ste 417
6025 Walnut Grove Rd
Memphis, TN 38120
Tel: (901) 226-1358
Fax: (901) 226-1351
E-mail: fmres.mphs@bmhcc.org","Andre  Hernandez
BFA
Baptist Memorial Health Care Corp
Graduate Med Education
6019 Walnut Grove Rd
Memphis, TN 38120
Tel: (901) 226-1358
Fax: (901) 226-1351
E-mail: fmres.mphs@bmhcc.org",1204700727,"Baptist Memorial Health Care Corp, Ste 417, 6025 Walnut Grove Rd, Memphis, TN 38120","6019 Walnut Grove Rd, Memphis, TN 38120","1350 Concourse Ave, Memphis, TN 38104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
