,Link,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Participant 2,Participant 3,Participant 4,Intro,Participant 5,Participant 6,Participant 7,Participant 8,Participant 9,Participant 10,Program best described as,Primary teaching site,Year 1,Year 2,Year 3,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system,% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Year 4,,Night float system (Residents participate during first year)
0,https://freida.ama-assn.org/program/1804800001,4,4,Yes,Yes,July,No,No,,Not Available,"Steve  Steffensen
MD
Univ of Texas at Austin Dell Med Sch
Bldg B Stop Z0700
1601 Trinity St
Austin, TX 78712
Tel: (512) 324-999
Fax:
E-mail: neurology@dellmed.utexas.edu","Joy  Kimmell
BA
Univ of Texas at Austin Dell Med Sch
Bldg B Stop Z0700
1601 Trinity St
Austin, TX 78712
Tel: (512) 324-999
Fax:
E-mail: jkimmell@ascension.org",1804800001,"Univ of Texas at Austin Dell Med Sch, Bldg B Stop Z0700, 1601 Trinity St, Austin, TX 78712","2400 Inner Campus Dr, Austin, TX 78712","1201 W 38th St, Austin, TX 78705-1056","1600 W 38th St, Austin, TX 78731","4900 Mueller Blvd, Austin, TX 78723","2901 Montopolis Dr, Austin, TX 78741","3501 Mills Ave, Austin, TX 78731",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1804812156,4,5,No,Yes,July,Yes,No,https://dellmed.utexas.edu/education/academics/graduate-medical-education,Not Available,"Kent  Ellington
MD
Seton Brain and Spine Inst
Ste 310
1400 N IH-35
Austin, TX 78701
Tel: (512) 324-7890
Fax: (512) 324-8212
E-mail: kellington@austin.utexas.edu","Jason E Camarillo
Seton Brain and Spine Inst
Ste 310
1400 N IH-35
Austin, TX 78701
Tel: (512) 324-7890
Fax: (512) 324-8212
E-mail: neurology-residency@ascension.org",1804812156,"Seton Brain and Spine Inst, Ste 310, 1400 N IH-35, Austin, TX 78701","2400 Inner Campus Dr, Austin, TX 78712","3501 Mills Ave, Austin, TX 78731","2901 Montopolis Dr, Austin, TX 78741","4900 Mueller Blvd, Austin, TX 78723","1600 W 38th St, Austin, TX 78731","6811 Austin Center Blvd, Austin, TX 78731",,"4315 James Casey St, Austin, TX 78745","711 W 38th St, Austin, TX 78705","3901 Medical Pkwy, Austin, TX 78756","16040 Park Valley Dr, Round Rock, TX 78681","6204 Balcones Dr, Austin, TX 78731","1500 Red River Rd, Austin, TX 78701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1804821108,4,4,No,Yes,July,Yes,No,http://utsouthwestern.edu/neuro-residency,Not Available,"Lauren T Phillips
MD
Univ of Texas Southwestern Med Ctr
Dept of Neurology
5323 Harry Hines Blvd
Dallas, TX 75390
Tel: (214) 648-8816
Fax: (214) 648-5080
E-mail: lauren.phillips@utsouthwestern.edu","Laura  Campbell
Univ of Texas Southwestern Med Ctr
Dept of Neurology
5323 Harry Hines Blvd
Dallas, TX 75390-9368
Tel: (214) 648-4775
Fax: (214) 648-5080
E-mail: laura.campbell@utsouthwestern.edu",1804821108,"Univ of Texas Southwestern Med Ctr, Dept of Neurology, 5323 Harry Hines Blvd, Dallas, TX 75390","5323 Harry Hines Blvd, Dallas, TX 75390-9002","5201 Harry Hines Blvd, Dallas, TX 75235","6201 Harry Hines Blvd, Dallas, TX 75235-0001","4500 S Lancaster Rd, Dallas, TX 75216","2222 Welborn St, Dallas, TX 75219-3993","1935 Medical District Dr, Dallas, TX 75235",,"5323 Harry Hines Blvd, Dallas, TX 75390",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1804800168,3,3,No,No,July,Yes,No,http://elpaso.ttuhsc.edu/fostersom/neurology/,Not Available,"Paisith  Piriyawat
MD
Texas Tech Univ HSC Foster Sch of Med
Dept of Neurology
4800 Alberta Ave
El Paso, TX 79905
Tel: (915) 215-5556
Fax: (915) 215-5969
E-mail: neurologyep@ttuhsc.edu","Jessie  Delgado
Texas Tech Univ HSC Foster Sch of Med
Dept of Neurology
4800 Alberta Ave
El Paso, TX 79905
Tel: (915) 215-5556
Fax: (915) 215-5969
E-mail: jessie.delgado@ttuhsc.edu",1804800168,"Texas Tech Univ HSC Foster Sch of Med, Dept of Neurology, 4800 Alberta Ave, El Paso, TX 79905","4800 Alberta Ave, El Paso, TX 79905-2709","4815 Alameda Ave, El Paso, TX 79998","1400 S Coulter St, Amarillo, TX 79106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1804811109,4,5,Yes,Yes,July,Yes,No,http://www.utmb.edu/neuro,Not Available,"Kamakshi  Patel
MD
Univ of Texas Med Branch Hosps
John Sealy Annex Rm 9128
301 University Blvd
Galveston, TX 77555-0539
Tel: (409) 772-5184
Fax: (409) 772-6940
E-mail: kamapate@utmb.edu","Jeanene M DeLaRosa
Univ of Texas Med Branch Hosps
John Sealy Annex Rm 9128
301 University Blvd
Galveston, TX 77555-0539
Tel: (409) 772-8031
Fax: (409) 772-6940
E-mail: jmdelaro@utmb.edu",1804811109,"Univ of Texas Med Branch Hosps, John Sealy Annex Rm 9128, 301 University Blvd, Galveston, TX 77555-0539","301 University Blvd, Galveston, TX 77555-0462","1515 Holcombe Blvd, Houston, TX 77030",,,,,,,,,,,,University-based,University of Texas Medical Branch Hospitals,5,4,4,No,Yes,"Yes , Codes: 1714180C0",No,,-_-,,,No,40,No,No,3,No,Yes,200___,No,No Answer,"No, require USMLE scores for all applicants",No Answer,No Answer,Not known,Yes,No,No,12,5,1,0,13,5,25.0,0.9 to 1,65,28,1.2,Yes,No,1.8,98.1,0.0,50.0,49.9,Every fourth night for week(s),3,Every fifth night for week(s),4,Every sixth night for 6 week(s),2,N/A,Not Available,4,35%,N/A,"$54,554.00",12,12,"$56,402.00",12,12,"$58,150.00",12,12,"$60,160.00",12,12,No answer,12,NGO,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Fully Paid by Institution,Fully Paid by Institution,Not Available,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Optional,No,No,No,,,
0,https://freida.ama-assn.org/program/1804800169,4,4,Yes,Yes,July,No,No,,Not Available,"Michael  Dobbs
MD, MHCM
Univ of Texas Rio Grande Valley
Neurology Pgm
2102 Treasurer Hills Blvd
Harlingen, TX 78550
Tel: (956) 296-1537
Fax:
E-mail: amanda.mercado01@utrgv.edu","Amanda R Mercado
Univ of Texas Rio Grande Valley
Neurology Pgm
2102 Treasurer Hills Blvd
Harlingen, TX 78550
Tel: (956) 296-1537
Fax:
E-mail: amanda.mercado01@utrgv.edu",1804800169,"Univ of Texas Rio Grande Valley, Neurology Pgm, 2102 Treasurer Hills Blvd, Harlingen, TX 78550","2102 Treasure Hills Blvd, Harlingen, TX 78550","301 W Expressway 83, McAllen, TX 78503","5501 S McColl Rd, Edinburg, TX 78539","2101 Pease St, Harlingen, TX 78551","1401 E 8th, Wesalco, TX 78596",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1804831111,4,4,No,Yes,June,Yes,No,http://med.uth.edu/neurology/,Not Available,"Suur  Biliciler
MD
Univ of Texas HSC Houston
Dept of Neurology MSB 7044
6431 Fannin St
Houston, TX 77030
Tel:
Fax:
E-mail: ms.neur.coordinator@uth.tmc.edu","Britney M Mortenson
Univ of Texas HSC Houston
Dept of Neurology MSB 7044
6431 Fannin St
Houston, TX 77030
Tel:
Fax:
E-mail: ms.neur.coordinator@uth.tmc.edu",1804831111,"Univ of Texas HSC Houston, Dept of Neurology MSB 7044, 6431 Fannin St, Houston, TX 77030","7000 Fannin St, Houston, TX 77030","6411 Fannin St, Houston, TX 77030-1501","5656 Kelley St, Houston, TX 77026","6410 Fannin St, Houston, TX 77030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1804812160,4,4,No,Yes,July,Yes,No,http://www.methodisthealth.com/nineurology.cfm?id=34878,Not Available,"Ericka  Simpson
MD
Methodist Neurological Inst
Ste 802
6560 Fannin St
Houston, TX 77030
Tel: (713) 363-7310
Fax: (713) 790-2059
E-mail: egreene@houstonmethodist.org","Vicky  Wenzlawsh
Methodist Neurological Inst
Ste 802
6560 Fannin St
Houston, TX 77030
Tel: (713) 363-9589
Fax:
E-mail: vwenzlawsh@houstonmethodist.org",1804812160,"Methodist Neurological Inst, Ste 802, 6560 Fannin St, Houston, TX 77030","6565 Fannin St, Houston, TX 77030-9979","6411 Fannin St, Houston, TX 77030-1501",,,,,,,,,,,,Community-based university affiliated,Houston Methodist Hospital,6,6,6,No,No,"Yes , Codes: 1167180C0",No,1/15/2021,10/7/2020 - 1/27/2021_10/6/2021 - 1/26/2022,9/15/2021,1/15/2022,Yes,60,No,No,3,No,Yes,220_220__,Yes,226-235,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Not known,No,No,No,19,7,1,0,20,7,21.0,0.8 to 1,80,16,1,No,No,32.8,65.5,1.5,50.1,49.8,N/A,0,Every fourth night for 12 month(s),0,Negotiable for 12 month(s),NGO,Negotiable for 12 month(s),NGO,5,60%,0%,"$60,309.00",16,NGO,"$62,601.00",21,NGO,"$64,744.00",21,NGO,"$66,977.00",21,NGO,No answer,21,NGO,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Fully Paid by Institution,Resident Shares Cost,Not Available,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Required,No,No,Yes,5,(4 wks ),
0,https://freida.ama-assn.org/program/1804821110,4,4,No,Yes,June,Yes,No,http://www.bcm.edu/neurol/,Not Available,"Corey  Goldsmith
MD
Baylor Coll of Med
Dept of Neurology 9th Fl
7200 Cambridge St
Houston, TX 77030
Tel:
Fax:
E-mail: celam@bcm.edu","Lori  Adams
Baylor Coll of Med
Dept of Neurology 9th Fl
7200 Cambridge St
Houston, TX 77030-3498
Tel: (713) 798-6151
Fax: (713) 798-8530
E-mail: lowens@bcm.edu",1804821110,"Baylor Coll of Med, Dept of Neurology 9th Fl, 7200 Cambridge St, Houston, TX 77030","One Baylor Plaza, Houston, TX 77030","6720 Bertner Ave, Houston, TX 77030","6565 Fannin St, Houston, TX 77030-9979","2002 Holcombe Blvd, Houston, TX 77030-4298","1504 Ben Taub Loop, Houston, TX 77030","1515 Holcombe Blvd, Houston, TX 77030",,"6621 Fannin St, Houston, TX 77030-2399","6620 Main St, Houston, TX 77030",,,,,University-based,Baylor St Luke's Medical Center,10,10,10,No,No,"Yes , Codes: 1716180C0",No,,10/26/2020 - 1/11/2021_-,,,No,100,No,No,3,No,Yes,210___,No,No Answer,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Not known,Yes,No,No,53,14,1,0,54,14,20.7,1.3 to 1,60,16,1,No,,65.1,27.1,7.7,35.5,64.4,Every eleventh night or more for 3 month(s),0,Every fifth night for 12 month(s),4,N/A,20,N/A,16,5,8%,N/A,"$58,276.00",21,14,"$60,457.00",21,14,"$62,092.00",21,14,"$64,600.00",21,14,No answer,NGO,NGO,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Not Available,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Optional,No,No,Yes,10,,Yes
0,https://freida.ama-assn.org/program/1804821127,3,3,Yes,Yes,July,No,Yes,,Not Available,"Jeffrey  McClean
MD
San Antonio Military Med Ctr
MCHE-ZDM-N
3551 Roger Brooke Dr
JBSA Ft Sam Houston, TX 78234-4504
Tel: (210) 916-2203
Fax:
E-mail: jeffrey.c.mcclean2.mil@mail.mil","Nancy  Montgomery
San Antonio Military Med Ctr
MCHE-ZDM-N
3551 Roger Brooke Dr
JBSA Ft Sam Houston, TX 78234-4504
Tel: (210) 916-6486
Fax: (210) 916-3833
E-mail: nancy.a.montgomery.civ@mail.mil",1804821127,"San Antonio Military Med Ctr, MCHE-ZDM-N, 3551 Roger Brooke Dr, JBSA Ft Sam Houston, TX 78234-4504","2200 Bergquist Dr, Lackland AFB, TX 78236-5300","3851 Roger Brooke Dr, Fort Sam Houston, TX 78234-6200","2200 Bergquist Dr, Lackland AFB, TX 78236-5300","7703 Floyd Curl Dr, San Antonio, TX 78229-3900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
