,Link,Program best described as,Primary teaching site,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Participant 2,Intro,Year 1,Year 2,Year 3,Year 4,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system (Residents participate during first year),% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Night float system,,Participant 3,Participant 4,Participant 5,Participant 6,No,Yes,Participant 7,Participant 8,Participant 9,Participant 10,Participant 11
0,https://freida.ama-assn.org/program/2201611088,Community-based,Mount Sinai Hospital Medical Center of Chicago,4,4,No,Yes,"June,July",Yes,No,http://www.sinai.org,Not Available,"Josef  Blankstein
MD
Mount Sinai Hosp Med Ctr
Dept of Ob/Gyn Rm F208
1500 S California Ave
Chicago, IL 60608
Tel: (773) 257-6459
Fax: (773) 257-6359
E-mail: josef.blankstein@sinai.org","Monique  Omoregie
Mount Sinai Hosp Med Ctr
Dept of Ob/Gyn Rm F208
1500 S California Ave
Chicago, IL 60608
Tel: (773) 257-6613
Fax: (773) 257-6359
E-mail: monique.omoregie@sinai.org",2201611088,"Mount Sinai Hosp Med Ctr, Dept of Ob/Gyn Rm F208, 1500 S California Ave, Chicago, IL 60608","California Ave at 15th St, Chicago, IL 60608-1797","1555 Barrington Rd, Hoffman Estates, IL 60194","409 W Huron St, Chicago, IL 60654","1969 Ogden Ave, Chicago, IL 60616","Mount Sinai Hospital obstetrics and gynecology residency faculty is made up of over 20 Board certified ob/gyn physicians. Residents at Mount Sinai rotate through several subspecialties including maternal-fetal medicine, reproductive endocrinology, gynecology oncology and urogynecology. Residents graduate with the ability and confidence to practice obstetrics and gynecology in any setting with any circumstances. Our program matches exceptionally qualified applicants to four categorical positions.",4,4,4,4,No,No,"Yes , Codes: 1144220C0",No,11/3/2020,11/15/2020 - 2/1/2021_10/1/2021 - 2/1/2022,9/1/2021,11/1/2021,Yes,80,No,No,3,No,Yes,225_225__,Yes,226-235,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",Yes,No,No,6,0,13,0,19,0,50,0.7 to 1,74,12,1,No,Yes,2.2,97.7,0,65.2,34.7,N/A,NGO,Once per week for 8 month(s),NGO,Once per week for 12 month(s),NGO,Once per week for 12 month(s),NGO,8,30%,15%,"$53,830.00",20,NGO,"$55,016.00",20,NGO,"$57,283.00",20,NGO,"$60,299.00",20,NGO,No answer,NGO,NGO,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Fully Paid by Institution,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Optional,Yes,Yes,Yes,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2201611091,Community-based university affiliated,AMITA Health St Joseph Hospital (Chicago),4,4,No,Yes,June,Yes,No,http://www.amitahealth.org,Not Available,"Eden  Takhsh
MD
Amita Health St Joseph Hosp
Dept of Ob/Gyn
2900 N Lake Shore Dr
Chicago, IL 60657
Tel: (773) 665-3133
Fax: (773) 665-3718
E-mail: eden.takhsh@amitahealth.org","Myrna  Samoy
Amita Health St Joseph Hosp
Dept of Ob/Gyn
2900 N Lake Shore Dr
Chicago, IL 60657
Tel: (773) 665-3132
Fax:
E-mail: myrna.samoy@amitahealth.org",2201611091,"Amita Health St Joseph Hosp, Dept of Ob/Gyn, 2900 N Lake Shore Dr, Chicago, IL 60657","200 S Wacker Dr, Chicago, IL 60606","2900 N Lake Shore Dr, Chicago, IL 60657","2233 W Division St, Chicago, IL 60622","850 W Irving Park Rd, Chicago, IL 60613",Program provides skill development workshop, office practice management lecture series, primary/preventive ambulatory health care series,3,3,3,3,No,No,"Yes , Codes: 1405220C0",No,12/1/2020,11/16/2020 - 1/8/2021_11/15/2021 - 1/7/2022,9/1/2021,12/1/2021,Yes,44,No,No,2,No,Yes,200_200_500_500,Yes,210-225,Yes,Yes,501-540,Required,Yes,Yes,No,2,0,12,1,14,1,0,0.6 to 1,63,24,1.4,Yes,,61.1,8.3,30.5,91.6,8.3,Every sixth night for 12 month(s),NGO,Every sixth night for 12 month(s),NGO,Every sixth night for 12 month(s),NGO,Every sixth night for 12 month(s),NGO,4,15%,N/A,"$58,269.00",20,NGO,"$60,485.00",20,NGO,"$62,597.00",20,NGO,"$66,291.00",20,NGO,Yes,20,14,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Required,Yes,Yes,Yes,No,(4 wks ),,,,,,,,,
0,https://freida.ama-assn.org/program/2201611092,University-based,University of Chicago Medical Center,4,4,No,Yes,"June,July",Yes,No,http://obgynresidency.uchicago.edu,Not Available,"Adrianne  Dade
MD
Univ of Chicago Med Ctr
MC2050
5841 S Maryland Ave
Chicago, IL 60637
Tel: (773) 834-0598
Fax: (773) 702-0840
E-mail: egilmore@babies.bsd.uchicago.edu","Elaine  Gilmore-Bradford
Univ of Chicago Hosps
MC2050
5841 S Maryland Ave
Chicago, IL 60637-1470
Tel: (773) 834-0598
Fax: (773) 702-0840
E-mail: egilmore@babies.bsd.uchicago.edu",2201611092,"Univ of Chicago Med Ctr, MC2050, 5841 S Maryland Ave, Chicago, IL 60637","5841 S Maryland Ave, Chicago, IL 60637","2650 Ridge Ave, Evanston, IL 60201-1781","3249 S Oak Park Ave, Berwyn, IL 60402",,The Chicago Lying-In Hosp has been designated as the perinatal center for the state of Illinois. The hospital is a referral facility for high-risk patients. Our full-time faculty emphasize teaching both residents and teaching.,7,7,7,7,No,No,"Yes , Codes: 1160220C0",No,10/1/2020,11/20/2020 - 1/8/2021_11/5/2021 - 12/31/2021,9/1/2021,10/1/2021,Yes,100,No,No,4,No,No,___,No,236-245,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",501-540,Required,Yes,No,Yes,53,6,0,0,53,6,69.8,1.8 to 1,80,12,1,No,Yes,100,0,0,89,10.9,N/A,0,Two times per week for 6 month(s),0,Once per week for 4 month(s),0,Every sixth night for 6 month(s),Not Available,6,100%,0%,"$61,800.00",20,5,"$65,714.00",20,5,"$67,980.00",20,5,"$71,070.00",20,5,Yes,25,0,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Not available,Yes,Yes,Yes,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2201611093,University-based,University of Illinois Hospital and Clinics,4,4,No,Yes,June,Yes,No,http://chicago.medicine.uic.edu/departments___programs/departments/obgyn/,Not Available,"Tamika A Alexander
MD
Univ of Illinois Coll of Med Chicago
MC 808
820 S Wood St
Chicago, IL 60612
Tel: (312) 996-0532
Fax: (312) 996-4238
E-mail: talexa1@uic.edu","Mackenzie  Krueger
Univ of Illinois Coll of Med Chicago
MC808 Rm 277
820 S Wood St
Chicago, IL 60612
Tel: (312) 996-0532
Fax: (312) 996-4238
E-mail: mk2@uic.edu",2201611093,"Univ of Illinois Coll of Med Chicago, MC 808, 820 S Wood St, Chicago, IL 60612","1853 W Polk St, Chicago, IL 60612","1740 W Taylor St, Chicago, IL 60612","4440 W 95th St, Oak Lawn, IL 60453-4213","3249 S Oak Park Ave, Berwyn, IL 60402","Our program provides a robust clinical experience in three clinical sites in the beautiful city of Chicago. We have the privilege of caring for some of the city's most underserved population. You will find a rigorous didactic schedule that provides accountability for your reading, acquisition of technical skills, and your ability to develop a research question. We strive to recruit a diverse group of residents who are dedicated to understanding health disparities and culturally competent care.",7,7,7,7,No,No,"Yes , Codes: 1150220C0",No,11/1/2020,11/20/2020 - 12/18/2020_11/12/2021 - 12/18/2021,9/15/2021,11/1/2021,No,90,No,No,3,No,Yes,210__500_,No,226-235,Yes,"No, require USMLE scores for all applicants",No Answer,Not required,No,No,No,25,20,0,1,25,21,72,0.8 to 1,64,24,1.5,No,Yes,92.7,3.6,3.6,92.7,7.2,Every seventh night for 12 month(s),0,Every seventh night for 12 month(s),0,Every seventh night for 12 month(s),0,Every seventh night for 12 month(s),Not Available,5,25%,0%,"$57,012.00",20,24,"$59,016.00",20,24,"$61,032.00",20,24,"$63,384.00",20,24,No answer,44,40,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,"Available, Not Paid By Institution",Not Available,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Optional,No,No,Yes,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2201621085,Community-based university affiliated,Advocate Illinois Masonic Medical Center,4,4,No,Yes,July,Yes,No,https://www.advocatehealth.com/education/residency-opportunities/,Not Available,"Leah Norris Delfinado
MD
Advocate Illinois Masonic Med Ctr
Dept of Ob/Gyn 4th Fl #4512
836 W Wellington Ave
Chicago, IL 60657
Tel: (773) 296-5591
Fax: (773) 296-7207
E-mail: leah.delfinado@aah.org","Charlotte R Hammond-Brown
MBA
Advocate Illinois Masonic Med Ctr
Dept of Ob/Gyn 4th Fl #4510
836 W Wellington Ave
Chicago, IL 60657-5193
Tel: (773) 296-5590
Fax: (773) 296-7207
E-mail: charlotte.hammond-brown@aah.org",2201621085,"Advocate Illinois Masonic Med Ctr, Dept of Ob/Gyn 4th Fl #4512, 836 W Wellington Ave, Chicago, IL 60657","3075 Highland Pkwy, Downers Grove, IL 60515","836 W Wellington Ave, Chicago, IL 60657-5193",,,,3,3,3,3,No,No,"Yes , Codes: 2117220C0",No,11/17/2020,11/17/2020 - 12/30/2020_11/1/2021 - 11/30/2021,9/15/2021,11/1/2021,Yes,54,No,No,3,No,Yes,215___,No,226-235,No,No,541-600,"Desired, with some exceptions",Yes,No,No,22,3,2,0,24,3,68.1,1.9 to 1,78,24,1,No,Yes,77.2,0,22.7,91.4,8.5,Every sixth night for 12 month(s),0,Every sixth night for 12 month(s),0,Every sixth night for 12 month(s),0,Every third night for 12 month(s),48,4,10%,5%,"$56,520.00",20,12,"$58,856.00",20,12,"$61,204.00",20,12,"$63,982.00",20,12,Yes,NGO,NGO,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Optional,Yes,Yes,Yes,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2201621089,University-based,Northwestern Memorial Hospital,4,4,No,Yes,June,Yes,No,http://www.medschool.northwestern.edu/obgyn/,Not Available,"Susan E Gerber
MD, MPH
McGaw Med Ctr Northwestern Univ
Ste 05-2184
250 E Superior St
Chicago, IL 60611
Tel: (312) 472-4673
Fax: (312) 472-4687
E-mail: s-gerber@northwestern.edu","Renee  Poland
Prentice Women's Hosp
Ste 05-2166
250 E Superior St
Chicago, IL 60611
Tel: (312) 472-4673
Fax: (312) 472-4687
E-mail: rpoland@nm.org",2201621089,"McGaw Med Ctr Northwestern Univ, Ste 05-2184, 250 E Superior St, Chicago, IL 60611","420 E Superior St, Chicago, IL 60611","251 E Huron, Chicago, IL 60611","900 W Polk St, Chicago, IL 60612",,"We have created a 4-year long research program that includes protected time within each year to pursue research, monthly research meetings, and faculty research mentorship. In PGY3, a flexible one-month block allows residents to pursue experiences abroad, or further focus on their research. In PGY4 there is a career-oriented flexible elective month, that also incorporates a business of medicine curriculum.",12,12,12,12,No,No,"Yes , Codes: 2247220C0",No,11/1/2020,11/17/2020 - 1/31/2021_10/15/2021 - 1/15/2022,9/1/2021,10/1/2021,Yes,96,No,No,3,No,Yes,194__600_,No,236-245,Yes,No,No Answer,Not required,Yes,Yes,Yes,65,14,1,6,66,20,63,1.3 to 1,64,24,1.3,No,Yes,97.8,2.1,0,87.9,12,Every eleventh night or more for 8 month(s),0,Every eleventh night or more for 7 month(s),0,Every eleventh night or more for 6 month(s),0,Every eleventh night or more for 11 month(s),Not Available,6,15%,10%,"$63,406.00",20,10,"$65,908.00",20,10,"$68,128.00",20,10,"$71,976.00",20,10,No answer,14,NGO,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Within 30 days of starting program,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Required,Yes,Yes,Yes,,(4 wks ),,,,,,,,,,,
0,https://freida.ama-assn.org/program/2201621094,Community-based university affiliated,AMITA Health St Alexius Medical Center Hoffman Estates,4,4,No,Yes,July,Yes,No,http://www.presencehealth.org/residency-programs,Not Available,"John  Knaus
DO
Amita Health St Francis Hosp
Dept of Ob/Gyn
355 Ridge Ave
Evanston, IL 60202
Tel: (847) 316-6229
Fax: (847) 316-3307
E-mail: john.knaus@amItahealth.org","Farheen  Syeda
Amita Health St Francis Hosp
Med Education
355 Ridge Ave
Evanston, IL 60202
Tel: (847) 316-6229
Fax: (847) 316-3307
E-mail: farheen.syeda@amitahealth.org",2201621094,"Amita Health St Francis Hosp, Dept of Ob/Gyn, 355 Ridge Ave, Evanston, IL 60202","200 S Wacker Dr, Chicago, IL 60606","1555 Barrington Rd, Hoffman Estates, IL 60169","7435 W Talcott Ave, Chicago, IL 60016","2650 Ridge Ave, Evanston, IL 60201-1781",,6,6,6,6,No,No,"Yes , Codes: 1168220C0",No,12/30/2020,11/1/2020 - 12/31/2020_11/1/2021 - 12/31/2021,10/30/2021,12/31/2021,No,60,No,No,3,No,Yes,200_200_500_450,Yes,210-225,Yes,Yes,501-540,"Desired, with some exceptions",Yes,Yes,No,28,0,18,0,46,0,60.7,1.5 to 1,74,12,1,No,,34.5,0,65.4,73.5,26.4,Once per week for week(s),0,Two times per week for week(s),0,Two times per week for week(s),0,Two times per week for week(s),Not Available,10,5%,20%,"$58,269.00",19,10,"$60,485.00",19,10,"$62,597.00",19,10,"$66,291.00",19,10,Yes,59,35,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Fully Paid by Institution,Resident Shares Cost,Not Available,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Not Available,When resident/fellow starts program,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Optional,No,No,Yes,No,,"355 Ridge Ave, Evanston, IL 60202-3399","4440 W 95th St, Oak Lawn, IL 60453-4213",,,,,,,,,
0,https://freida.ama-assn.org/program/2201621095,University-based,Loyola University Medical Center,4,4,No,Yes,June,Yes,No,https://www.loyolamedicine.org/gme/obgyn-residency,Not Available,"Sarah  Wagner
MD
Loyola Univ Med Ctr
Dept of Ob/Gyn
2160 S First Ave
Maywood, IL 60153
Tel: (708) 216-8078
Fax:
E-mail: prodgers@lumc.edu","Paris  Rodgers
Loyola Univ Med Ctr
Dept of Ob/Gyn 103-1012
2160 S First Ave
Maywood, IL 60153
Tel: (708) 216-8078
Fax: (708) 216-2171
E-mail: prodgers@lumc.edu",2201621095,"Loyola Univ Med Ctr, Dept of Ob/Gyn, 2160 S First Ave, Maywood, IL 60153","2160 S First Ave, Maywood, IL 60153-5585","701 W North Ave, Melrose Park, IL 60160",,,A formal structured (longitudinal) research education program (CREST--Clinical Research Education Study Teams), academic track for residents interested in a career in teaching, community and global health track including travel to Guyana, sexual health clinic, rotation in family planning, rotation in pediatric adolescent gynecology.,4,4,4,4,No,No,"Yes , Codes: 1170220C0",No,11/15/2020,11/18/2020 - 1/6/2021_11/8/2021 - 1/5/2022,9/15/2021,11/14/2021,Yes,107,No,No,3,No,Yes,205_200__,Yes,226-235,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Required,Yes,No,No,20,1,1,0,21,1,85,1.2 to 1,70,24,1,No,Yes,100,0,0,91.5,8.4,Every sixth night for 4 week(s),0,Every sixth night for 4 week(s),0,Every sixth night for 4 week(s),0,Every sixth night for 4 week(s),Not Available,5,20%,0%,"$59,862.00",20,12,"$63,731.00",20,12,"$65,728.00",20,12,"$69,062.00",20,12,Yes,32,NGO,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Optional,Yes,Yes,Yes,,,,,,,,
0,https://freida.ama-assn.org/program/2201621325,Community-based university affiliated,Advocate Lutheran General Hospital,4,4,No,Yes,June,Yes,No,http://www.advocatehealth.com/obstetricsgynecology,Not Available,"Matthew  Nash
MD
Advocate Lutheran General Hosp
Dept of Ob/Gyn 4 South Mailbox 52
1775 W Dempster St
Park Ridge, IL 60068
Tel: (847) 723-8404
Fax: (847) 723-1658
E-mail: maryjane.mangan@aah.org","Mary J Mangan
Advocate Lutheran General Hosp
Dept of Ob/Gyn 4 South mailbox 52
1775 W Dempster St
Park Ridge, IL 60068
Tel: (847) 723-8404
Fax: (847) 723-1658
E-mail: maryjane.mangan@aah.org",2201621325,"Advocate Lutheran General Hosp, Dept of Ob/Gyn 4 South Mailbox 52, 1775 W Dempster St, Park Ridge, IL 60068","3075 Highland Pkwy, Downers Grove, IL 60515","1775 W Dempster St, Park Ridge, IL 60068-1174","900 N Kingbury, Chicago, IL 60610",,"Nation's Top 100 teaching hospital 18 times (Truven Analytics) and Top 10 US health system. Caseloads consistently exceed ACGME minimums. Major referral center for high risk obstetrics and active MFM fetal surgery program. MIS fellowship. Russell Research Institute on campus. No restrictions placed on contraceptive counseling, placement or elective sterilization. Elective terminations for lethal fetal anomalies, aneuploidy and maternal indications. Electives: MFM, urology, oncology.",4,4,4,4,No,No,"Yes , Codes: 1176220C0",No,11/1/2020,11/17/2020 - 1/8/2021_11/18/2021 - 1/6/2022,,11/1/2021,Yes,76,No,No,3,No,Yes,210__520_,No,No Answer,Yes,No,No Answer,"Desired, with some exceptions",No,No,No,19,0,7,0,26,0,68.4,1.4 to 1,65,24,1.5,No,Yes,69,0,30.9,85.7,14.2,Two times per week for 8 month(s),0,Two times per week for 9 month(s),0,Once per week for 10 month(s),0,Once per week for 10 month(s),Not Available,5,12%,N/A,Not Available,20,3,Not Available,20,3,Not Available,20,3,Not Available,20,3,Yes,NGO,90,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Not Available,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Required,Yes,Yes,Yes,,(2 wks ),,,,,,,,,,,
0,https://freida.ama-assn.org/program/2201611096,Community-based university affiliated,OSF St Francis Medical Center,4,4,No,Yes,"July,Negotiable",Yes,No,http://peoria.medicine.uic.edu/,Not Available,"Rayan A Elkattah
MD
OSF St Francis Med Ctr
Rm 2645
530 NE Glen Oak Ave
Peoria, IL 61637
Tel: (309) 655-4163
Fax:
E-mail: elkattah@uic.edu","Carol J Reames-Trotter
OSF St Francis Med Ctr
SFNB Rm 2645
530 NE Glen Oak Ave
Peoria, IL 61637
Tel: (309) 655-4163
Fax: (309) 655-3739
E-mail: cjrtrott@uic.edu",2201611096,"OSF St Francis Med Ctr, Rm 2645, 530 NE Glen Oak Ave, Peoria, IL 61637","One Illini Dr, Peoria, IL 61656","530 NE Glen Oak Ave, Peoria, IL 61637","221 NE Glen Oak Ave, Peoria, IL 61636",,Provides a robotic curriculum, state-of-the-art simulation center, robust didactic schedule and self-study curriculum. Free food whenever on duty. Free parking. Center for Wellbeing at the University.,3,3,3,3,No,No,"Yes , Codes: 1175220C0",No,,-_11/19/2021 - 1/14/2022,10/21/2021,11/1/2021,Yes,40,No,No,3,No,Yes,221_235_551_551,Yes,No Answer,Yes,Yes,No Answer,"Desired, with some exceptions",Yes,Yes,No,7,0,5,0,12,0,42.8,0.7 to 1,70,16,1.5,No,Yes,44.4,0,55.5,72.2,27.7,Other for 12 month(s),0,Other for 12 month(s),0,Other for 12 month(s),0,Other for 12 month(s),Not Available,6,5%,5%,"$56,344.00",15,15,"$58,381.00",15,15,"$60,527.00",15,15,"$62,036.00",15,15,Yes,30,180,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Not Available,When resident/fellow starts program,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Required,Yes,Yes,Yes,,NGO (wks),,,,,,,,,
