,Link,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Participant 2,Participant 3,Intro,Program best described as,Primary teaching site,Year 1,Year 2,Year 3,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system,% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Participant 4,Participant 5,Participant 6,Participant 7,,Year 4,Year 5,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Year most taxing schedule And frequency per year_Year 5,Beeper or home call (Weeks/Year)_Year 5,Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Salary compensation_Year 5,Vacation days_Year 5,Sick days_Year 5,Participant 8,Night float system (Residents participate during first year),Participant 9,Participant 10,Participant 11,Participant 12,Yes
0,https://freida.ama-assn.org/program/2404221141,3,3,No,No,July,No,No,http://www.rcm.upr.edu,Not Available,"Victor  Villegas
MD
Univ of Puerto Rico Med Science Campus
Ophthalmology Pgm
GPO Box 365067
San Juan, PR 00936
Tel:
Fax: (787) 758-3488
E-mail: victor.villegas@upr.edu","Heidyliz  Perez
MS
Univ of Puerto Rico Med Science Campus
Ophthalmology Pgm
GPO Box 365067
San Juan, PR 00936
Tel: (787) 474-9976
Fax:
E-mail: heidyliz.perez1@upr.edu",2404221141,"Univ of Puerto Rico Med Science Campus, Ophthalmology Pgm, GPO Box 365067, San Juan, PR 00936","GPO Box 5067, San Juan, PR 00936-5067","PO Box 2116, San Juan, PR 00922","10 Casia St, San Juan, PR 00921-3201","PMB #79 PO Box 70344, San Juan, PR 00936-8344","PO Box 191079, San Juan, PR 00919-1079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2404311142,3,3,Yes,Yes,July,No,No,,Not Available,"Kimberly V Miller
MD
Rhode Island Hosp
Ste 200
1 Hoppin St
Providence, RI 02903
Tel: (401) 444-3152
Fax: (401) 444-7076
E-mail: kimberly.miller@lifespan.org","Grace M Gomes
Rhode Island Hosp
Ste 200
1 Hoppin St
Providence, RI 02903
Tel: (401) 444-4669
Fax: (401) 444-7076
E-mail: ggomes1@lifespan.org",2404311142,"Rhode Island Hosp, Ste 200, 1 Hoppin St, Providence, RI 02903","593 Eddy St, Providence, RI 02903","830 Chalkstone Ave, Providence, RI 02908-4799",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2404521143,3,3,No,Yes,July,No,No,http://www.stormeye.org,Not Available,"Matthew J Nutaitis
MD
Storm Eye Inst
PO Box 250676
167 Ashley Ave
Charleston, SC 29425
Tel: (843) 792-8864
Fax: (843) 792-3903
E-mail: nutaitis@musc.edu","Ashley  Caradonna
BS
Storm Eye Inst
PO Box 250676
167 Ashley Ave
Charleston, SC 29425
Tel: (843) 792-8864
Fax:
E-mail: caradonn@musc.edu",2404521143,"Storm Eye Inst, PO Box 250676, 167 Ashley Ave, Charleston, SC 29425","169 Ashley Ave, Charleston, SC 29425","171 Ashley Ave, Charleston, SC 29425-0950","109 Bee St, Charleston, SC 29401-5799",,,"Residents receive training and certification on catalys femto-second laser cataract surgery, laser-assisted in-situ keratomileusis (LASIK) eye surgery and Kahook Dual Blade (KDB). Residents also have the opportunity to travel on international medical missions.",University-based,MUSC Medical Center,4,4,4,"Yes  , 1 year(s)",No,No,No,9/28/2020,11/13/2020 - 12/4/2020_-,,,No,46,Yes,No,3,No,Yes,235___,No,No Answer,No,"No, require USMLE scores for all applicants",No Answer,Not required,Yes,No,No,11,2,4,1,15,3,36.3,1.0 to 1,50,8,1.5,No,No,100.0,0.0,0.0,47.2,52.7,Two times per week for 10 month(s),10,Once per week for 12 month(s),13,Two times per week for 12 month(s),13,6,100%,N/A,"$55,334.00",15,15,"$56,164.00",15,15,"$58,708.00",15,15,No answer,15,Not Available,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Not Available,When resident/fellow starts program,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Not available,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2404521163,3,3,No,No,July,No,No,https://residency.palmettohealth.org/,Not Available,"Mark E Robinson
MD, MPH
Prisma Health-Midlands
Ste 340
9 Medical Park
Columbia, SC 29203
Tel: (803) 434-7063
Fax: (803) 434-2387
E-mail: mark.robinson@prismahealth.org","Barbara J Tandon
Prisma Health-Midlands
Ste 340
9 Medical Park
Columbia, SC 29203
Tel: (803) 434-7063
Fax: (803) 434-2387
E-mail: barbara.tandon@prismahealth.org",2404521163,"Prisma Health-Midlands, Ste 340, 9 Medical Park, Columbia, SC 29203","PO Box 2266, Columbia, SC 29202-2266","5 Richland Medical Pk, Columbia, SC 29203","6439 Garners Ferry Rd, Columbia, SC 29209",,,High volume of surgical and clinical experience. Fellowship trained faculty in every ophthalmology subspecialty.,Community-based university affiliated,Prisma Health,3,3,3,"Yes  , 1 year(s)",No,Yes,No,,-_12/4/2020 - 12/5/2020,8/1/2020,10/1/2020,Yes,30,Yes,No,3,No,Yes,220_220_600_500,Yes,226-235,Yes,Yes,541-600,"Desired, with some exceptions",Yes,No,No,8,2,0,0,8,2,25.0,0.8 to 1,50,10,2,Yes,No,77.7,0.0,22.2,51.8,48.1,N/A,NGO,N/A,NGO,N/A,NGO,6,100%,N/A,"$56,324.00",15,12,"$58,907.00",20,12,"$61,122.00",20,12,No answer,NGO,NGO,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,Not available,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2404721145,3,3,No,No,July,No,No,http://www.uthsc.edu/eye,Not Available,"Brian T Fowler
MD
Univ of Tennessee Health Science Ctr
Dept of Ophthalmology Ste 470
930 Madison Ave
Memphis, TN 38163
Tel: (901) 448-1767
Fax: (901) 448-1299
E-mail: bfowler7@uthsc.edu","Miea J Williams
MS
Univ of Tennessee Health Science Ctr
Dept of Ophthalmology Ste 470
930 Madison Ave
Memphis, TN 38163
Tel: (901) 448-1767
Fax: (901) 448-1299
E-mail: mwilli41@uthsc.edu",2404721145,"Univ of Tennessee Health Science Ctr, Dept of Ophthalmology Ste 470, 930 Madison Ave, Memphis, TN 38163","910 Madison Ave, Memphis, TN 38163","1030 Jefferson Ave, Memphis, TN 38104","1265 Union Ave, Memphis, TN 38104","50 N Dunlap Ave, Memphis, TN 38103-2893","877 Jefferson Ave, Memphis, TN 38103-9999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6019 Walnut Grove Rd, Memphis, TN 38120","262 Danny Thomas Pl, Memphis, TN 38105",,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2404731147,3,3,No,No,July,No,No,http://www.mc.vanderbilt.edu/vumcdept/ophthal/,Murfreesboro VA Eye Clinic Virtual Tour,"Jennifer L Lindsey
MD
Vanderbilt Univ Med Ctr
Ophthalmology Pgm
2311 Pierce Ave
Nashville, TN 37232
Tel: (615) 936-4931
Fax: (615) 936-4979
E-mail: jennifer.lindsey@vumc.org","Silvia M Clavijo
MHA
Vanderbilt Univ Med Ctr
Ophthalmology Pgm
2311 Pierce Ave
Nashville, TN 37232
Tel: (615) 936-4931
Fax:
E-mail: silvia.m.clavijo@vumc.org",2404731147,"Vanderbilt Univ Med Ctr, Ophthalmology Pgm, 2311 Pierce Ave, Nashville, TN 37232","1161 21st Ave S, Nashville, TN 37232-2104","1818 Albion St, Nashville, TN 37208","1310 24th Ave S, Nashville, TN 37212-2637","3400 Lebanon Rd, Murfreesboro, TN 37139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2404800155,3,3,Yes,Yes,July,No,No,,Not Available,"Jane C Edmond
MD
Univ of Texas at Austin Dell Med Sch
Stop Z1200
1701 Trinity St
Austin, TX 78712
Tel: (512) 324-9999
Fax:
E-mail: jkimmel@ascension.org","Joy  Kimmell
BA
Univ of Texas at Austin Dell Med Sch
Stop Z1200
1701 Trinity St
Austin, TX 78712
Tel: (512) 324-9999
Fax:
E-mail: jkimmell@ascention.org",2404800155,"Univ of Texas at Austin Dell Med Sch, Stop Z1200, 1701 Trinity St, Austin, TX 78712","2400 Inner Campus Dr, Austin, TX 78712","1201 W 38th St, Austin, TX 78705-1056","1601 Trinity St, Austin, TX 78712","2901 Montopolis Dr, Austin, TX 78741","801 W 38th St, Austin, TX 78705",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3705 Medical Pkwy, Austin, TX 78705","3705 Medical Pkwy, Austin, TX 78705","11111 Research Blvd, Austin, TX 78759","1009 E 40th St, Austin, TX 78751",,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2404821148,3,3,No,No,July,No,No,http://www.utsouthwestern.edu/education/graduate-medical-education,Not Available,"Preston H Blomquist
MD
Univ of Texas Southwestern Med Ctr
Dept of Ophthalmology
5323 Harry Hines Blvd
Dallas, TX 75390-9057
Tel: (214) 648-3848
Fax: (214) 645-9482
E-mail: preston.blomquist@utsouthwestern.edu","Andrea  Davis
Univ of Texas Southwestern Med Ctr
Dept of Ophthalmology
5323 Harry Hines Blvd
Dallas, TX 75390-9057
Tel: (214) 648-3848
Fax: (214) 645-9482
E-mail: andrea.davis@utsouthwestern.edu",2404821148,"Univ of Texas Southwestern Med Ctr, Dept of Ophthalmology, 5323 Harry Hines Blvd, Dallas, TX 75390-9057","5323 Harry Hines Blvd, Dallas, TX 75390-9002","5201 Harry Hines Blvd, Dallas, TX 75235","1500 S Main St, Fort Worth, TX 76104-4917","4500 S Lancaster Rd, Dallas, TX 75216","1935 Medical District Dr, Dallas, TX 75235",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2404821149,3,3,No,No,July,No,No,http://www.utmb.edu/ovs,Not Available,"Misha F Syed
MD
Univ of Texas Med Branch
Dept of Ophthalmology & Visual Sciences
700 University Blvd
Galveston, TX 77555-1106
Tel: (409) 747-5801
Fax:
E-mail: mfsyed@utmb.edu","Dana L Wyatt
Univ of Texas Med Branch
Dept of Ophthalmology & Visual Sciences
700 University Blvd
Galveston, TX 77555-1106
Tel: (409) 747-5801
Fax:
E-mail: dlwyatt@utmb.edu",2404821149,"Univ of Texas Med Branch, Dept of Ophthalmology & Visual Sciences, 700 University Blvd, Galveston, TX 77555-1106","301 University Blvd, Galveston, TX 77555-0462","6565 Fannin St, Houston, TX 77030-9979","1515 Holcombe Blvd, Houston, TX 77030","5420 W Loop S Fwy, Bellaire, TX 77401","6130 Parkway, Corpus Christi, TX 78414",,University-based,University of Texas Medical Branch Hospitals,4,4,4,"Yes  , 1 year(s)",No,No,No,,-_10/27/2020 - 12/8/2020,8/3/2020,9/15/2020,Yes,80,Yes,No,3,No,Yes,240___,No,Greater than 245,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Not required,Yes,No,No,11,2,2,0,13,2,27.2,1.0 to 1,50,14,2,No,No,86.1,13.8,0.0,27.7,72.2,N/A,NGO,N/A,NGO,N/A,NGO,6,75%,5%,"$58,094.00",12,12,"$59,895.00",12,12,"$61,965.00",12,12,No answer,NGO,NGO,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Fully Paid by Institution,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Optional,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/2404821150,3,3,No,Yes,July,No,No,http://www.bcm.edu/eye,Not Available,"Mitchell P Weikert
MD, MS
Cullen Eye Inst
Dept of Ophthalmology NC205
6565 Fannin St
Houston, TX 77030
Tel: (713) 798-4766
Fax: (713) 798-3027
E-mail: mweikert@bcm.edu","Robin  Caldwell
Cullen Eye Inst
Dept of Ophthalmology NC205
6565 Fannin St
Houston, TX 77030
Tel: (713) 798-5143
Fax: (713) 798-3027
E-mail: robinc@bcm.edu",2404821150,"Cullen Eye Inst, Dept of Ophthalmology NC205, 6565 Fannin St, Houston, TX 77030","One Baylor Plaza, Houston, TX 77030","1504 Ben Taub Loop, Houston, TX 77030","6565 Fannin St, Houston, TX 77030-9979","2002 Holcombe Blvd, Houston, TX 77030-4298","6621 Fannin St, Houston, TX 77030-2399",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6620 Main St, Houston, TX 77030",,,,,,,,,,,,,,,,,,,,,,,
