,Link,Program best described as,Primary teaching site,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Participant 2,Intro,Year 1,Year 2,Year 3,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system (Residents participate during first year),Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Participant 3,Year 4,Night float system,% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,,Participant 4,Participant 5,Participant 6,Participant 7,Participant 8,Yes,Year 5,Year most taxing schedule And frequency per year_Year 5,Beeper or home call (Weeks/Year)_Year 5,Salary compensation_Year 5,Vacation days_Year 5,Sick days_Year 5,Specialty Details
0,https://freida.ama-assn.org/program/1103800210,Community-based university affiliated,Aultman Hospital/NEOMED,3,3,No,Yes,July,Yes,No,http://www.aultman.com,Not Available,"Alison P Southern
MD
Aultman Hosp
Emergency Medicine Pgm
2600 Sixth St SW
Canton, OH 44720
Tel: (330) 962-3673
Fax:
E-mail: elizabeth.clary@aultman.com","Elizabeth  Clary
Aultman Hosp
Emergency Medicine Pgm
2600 Sixth St SW
Canton, OH 44720
Tel:
Fax:
E-mail: elizabeth.clary@aultman.com",1103800210,"Aultman Hosp, Emergency Medicine Pgm, 2600 Sixth St SW, Canton, OH 44720","2600 6th St SW, Canton, OH 44710","2500 MetroHealth Dr, Cleveland, OH 44109-1998","One Perkins Sq, Akron, OH 44308-1062","1900 23rd St, Cuyahoga Falls, OH 44223",,6,6,6,No,No,"Yes , Codes: 1544110C0",No,1/4/2021,11/3/2020 - 1/27/2021_11/2/2021 - 1/26/2022,9/1/2021,1/3/2022,Yes,,No,No,2,No,Yes,210__450_,No,210-225,Yes,No,450-500,"Desired, with some exceptions",No,No,No,35,0,0,0,35,0,28.5,1.9 to 1,60,12,2,Yes,Yes,N/A,Not Available,N/A,Not Available,N/A,Not Available,5,NGO,N/A,"$56,598.00",15,28,"$58,523.00",15,28,"$60,499.00",15,28,Yes,28,56,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Optional,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1103800210,Community-based university affiliated,Aultman Hospital/NEOMED,3,3,No,Yes,July,Yes,No,http://www.aultman.com,Not Available,"Alison P Southern
MD
Aultman Hosp
Emergency Medicine Pgm
2600 Sixth St SW
Canton, OH 44720
Tel: (330) 962-3673
Fax:
E-mail: elizabeth.clary@aultman.com","Elizabeth  Clary
Aultman Hosp
Emergency Medicine Pgm
2600 Sixth St SW
Canton, OH 44720
Tel:
Fax:
E-mail: elizabeth.clary@aultman.com",1103800210,"Aultman Hosp, Emergency Medicine Pgm, 2600 Sixth St SW, Canton, OH 44720","2600 6th St SW, Canton, OH 44710","2500 MetroHealth Dr, Cleveland, OH 44109-1998","One Perkins Sq, Akron, OH 44308-1062","1900 23rd St, Cuyahoga Falls, OH 44223",,6,6,6,No,No,"Yes , Codes: 1544110C0",No,1/4/2021,11/3/2020 - 1/27/2021_11/2/2021 - 1/26/2022,9/1/2021,1/3/2022,Yes,,No,No,2,No,Yes,210__450_,No,210-225,Yes,No,450-500,"Desired, with some exceptions",No,No,No,35,0,0,0,35,0,28.5,1.9 to 1,60,12,2,Yes,Yes,N/A,Not Available,N/A,Not Available,N/A,Not Available,5,NGO,N/A,"$56,598.00",15,28,"$58,523.00",15,28,"$60,499.00",15,28,Yes,28,56,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Optional,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1103800210,Community-based university affiliated,Aultman Hospital/NEOMED,3,3,No,Yes,July,Yes,No,http://www.aultman.com,Not Available,"Alison P Southern
MD
Aultman Hosp
Emergency Medicine Pgm
2600 Sixth St SW
Canton, OH 44720
Tel: (330) 962-3673
Fax:
E-mail: elizabeth.clary@aultman.com","Elizabeth  Clary
Aultman Hosp
Emergency Medicine Pgm
2600 Sixth St SW
Canton, OH 44720
Tel:
Fax:
E-mail: elizabeth.clary@aultman.com",1103800210,"Aultman Hosp, Emergency Medicine Pgm, 2600 Sixth St SW, Canton, OH 44720","2600 6th St SW, Canton, OH 44710","2500 MetroHealth Dr, Cleveland, OH 44109-1998","One Perkins Sq, Akron, OH 44308-1062","1900 23rd St, Cuyahoga Falls, OH 44223",,6,6,6,No,No,"Yes , Codes: 1544110C0",No,1/4/2021,11/3/2020 - 1/27/2021_11/2/2021 - 1/26/2022,9/1/2021,1/3/2022,Yes,,No,No,2,No,Yes,210__450_,No,210-225,Yes,No,450-500,"Desired, with some exceptions",No,No,No,35,0,0,0,35,0,28.5,1.9 to 1,60,12,2,Yes,Yes,N/A,Not Available,N/A,Not Available,N/A,Not Available,5,NGO,N/A,"$56,598.00",15,28,"$58,523.00",15,28,"$60,499.00",15,28,Yes,28,56,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Optional,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1103812036,University-based,University of Cincinnati Medical Center Inc,4,4,No,Yes,June,Yes,No,http://med.uc.edu/emergency,Not Available,"Erin  McDonough
MD
Univ of Cincinnati Med Ctr
MSB 1654 PO Box 670769
231 Albert Sabin Way
Cincinnati, OH 45267-0769
Tel: (513) 558-8124
Fax: (513) 558-5791
E-mail: erin.mcdonough@uc.edu","Kim  Regan
Univ of Cincinnati Med Ctr
MSB 1654 PO Box 670769
231 Albert Sabin Way
Cincinnati, OH 45267-0769
Tel: (513) 558-8996
Fax: (513) 558-5791
E-mail: kim.regan@uc.edu",1103812036,"Univ of Cincinnati Med Ctr, MSB 1654 PO Box 670769, 231 Albert Sabin Way, Cincinnati, OH 45267-0769","234 Goodman St, Cincinnati, OH 45219","3333 Burnet Ave, Cincinnati, OH 45229-3039","3200 Vine St, Cincinnati, OH 45220-2213","4777 E Galbraith Rd, Cincinnati, OH 45236","Comprehensive training experience preparing residents to be outstanding clinicians and leaders. Diverse clinical experience in adult and pediatric EDs in academic and community settings, integrated over 4 years. HEMS experience on Air Care. Extensive training in trauma and critical care. Strong research infrastructure/support (optional). Six months of elective time for career exploration and professional development. Leadership Curriculum provides optional formalized leadership training.",14,14,14,No,No,"Yes , Codes: 1548110C0",No,11/1/2020,11/16/2020 - 1/22/2021_11/15/2021 - 1/14/2022,9/15/2021,10/15/2021,No,145,No,No,3,No,Yes,200___,No,236-245,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,"Desired, with some exceptions",Yes,No,No,57,2,14,0,71,2,28.0,1.1 to 1,55,12,1.5,Yes,,N/A,0,Every fourth night for 1 month(s),0,Every third night for 1 month(s),2,5,NGO,N/A,"$59,319.00",20,5,"$60,747.00",20,5,"$62,240.00",20,5,Yes,NGO,NGO,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Optional,Yes,Yes,Yes,"7700 University Dr, West Chester, OH 45069",14,No,100.0,0.0,0.0,41.0,58.9,N/A,Not Available,"$64,568.00",20,5,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1103813200,University-based,Case Western Reserve University/University Hospitals Cleveland Medical Center,3,3,No,Yes,July,Yes,No,https://www.thelandofem.com/,Not Available,"Matthew J Stull
MD
Univ Hosps Cleveland Med Ctr
Emergency Medicine Pgm
11100 Euclid Ave
Cleveland, OH 44106
Tel: (216) 844-3610
Fax: (216) 844-7106
E-mail: matthew.stull@uhhospitals.org","Amy  Lovano
Univ Hosps Cleveland Med Ctr
Emergency Medicine Pgm
11100 Euclid Ave
Cleveland, OH 44106
Tel: (216) 844-3610
Fax: (216) 844-7106
E-mail: amy.lovano@uhhospitals.org",1103813200,"Univ Hosps Cleveland Med Ctr, Emergency Medicine Pgm, 11100 Euclid Ave, Cleveland, OH 44106","11100 Euclid Ave, Cleveland, OH 44106-2602","3999 Richmond Rd, Beachwood, OH 44122",,,"Our academic Level 1 trauma center and multiple community affiliates in the University Hospitals system allow for the full range of clinical medicine. Peds EM experience is integrated and longitudinal; we collaborate with UH Rainbow Babies & Children's Hospital. In addition, our department gives residents and students the ability to choose a longitudinal curricular experience in any of the following emergency medicine specialty fields: global health, EMS, ultrasound, clinical ops and research.",12,10,10,No,No,"Yes , Codes: 1552110C0",No,12/15/2020,11/1/2020 - 1/15/2021_10/18/2021 - 1/10/2022,9/15/2021,12/15/2021,Yes,128,No,No,3,No,No,___,No,226-235,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Required,Yes,No,No,28,0,8,0,36,0,42.8,1.0 to 1,45,12,2,Yes,,N/A,0,Every fourth night for 8 week(s),0,Every fourth night for 4 week(s),Not Available,5,NGO,N/A,Not Available,20,14,Not Available,20,14,Not Available,20,14,No,NGO,NGO,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Optional,Yes,Yes,Yes,,,No,85.9,1.1,12.9,37.2,62.7,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1103821110,Community-based university affiliated,The MetroHealth System,3,3,No,Yes,July,Yes,No,http://www.metrohealth.org/,Not Available,"Sandra L Najarian
MD
MetroHealth Med Ctr
BG 3
2500 MetroHealth Dr
Cleveland, OH 44109
Tel: (216) 778-5088
Fax: (216) 778-5349
E-mail: gmeemergencymed@metrohealth.org","Denise M Lesniak
MA
MetroHealth Med Ctr
Rm BG3-61
2500 MetroHealth Dr
Cleveland, OH 44109-1998
Tel: (216) 778-5088
Fax: (216) 778-5349
E-mail: gmeemergencymed@metrohealth.org",1103821110,"MetroHealth Med Ctr, BG 3, 2500 MetroHealth Dr, Cleveland, OH 44109","2500 MetroHealth Dr, Cleveland, OH 44109-1998","9500 Euclid Ave, Cleveland, OH 44195-5242",,,"High acuity, fast-paced emergency department with training at both urban and community emergency departments. Dedicated faculty at primary and secondary sites with much bedside teaching. Trainees have autonomy and perform many procedures. Sponsoring site is Level 1 Trauma for Adults and has busy life flight service and medcommand. Fellowship opportunities available: Ultrasound, EMS, and Addiction Medicine. Secondary site is world famous and world leader in patient care and innovation.",13,13,13,No,No,"Yes , Codes: 1553110C0",No,12/31/2020,11/2/2020 - 1/29/2021_10/4/2021 - 1/31/2022,9/1/2021,12/31/2021,Yes,164,No,No,3,No,Yes,___,Yes,226-235,"No, require USMLE scores for all applicants","No, require USMLE scores for all applicants",No Answer,Required,Yes,Yes,Yes,55,0,5,1,60,1,41.8,1.4 to 1,52,16,2,Yes,,Every third night for 12 week(s),0,Every third night for 12 week(s),0,N/A,Not Available,5,0%,0%,"$57,663.00",15,10,"$59,082.00",15,10,"$60,847.00",15,10,No answer,NGO,NGO,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Within 30 days of starting program,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Optional,No,Yes,Yes,,,No,71.7,0.0,28.2,41.7,58.2,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1103800201,Community-based,Doctors Hospital/OhioHealth,4,4,No,Yes,July,Yes,No,http://www.OhioHealth.com/DHEmergencyMedicine,Not Available,"John R Casey
DO, MA
OhioHealth Doctors Hosp
Dept of Emergency Medicine
5100 W Broad St
Columbus, OH 43228-1607
Tel: (614) 544-2780
Fax: (614) 544-1727
E-mail: john.casey@ohiohealth.com","Leigh E Hylkema
OhioHealth Doctors Hosp
Dept of Emergency Medicine
5100 W Broad St
Columbus, OH 43228
Tel: (614) 544-2780
Fax: (614) 544-1727
E-mail: lhylkema@usacs.com",1103800201,"OhioHealth Doctors Hosp, Dept of Emergency Medicine, 5100 W Broad St, Columbus, OH 43228-1607","155 E Broad St, Columbus, OH 43215","5100 Broad St, Columbus, OH 43228-1607","285 E State St, Columbus, OH 43215-1898","3535 Olentangy River Rd, Columbus, OH 43214","Program incorporates ground and air prehospital EMS; monthly procedure skills labs, including extensive training in ultrasound, airway, and critical care. Required courses include BLS, ACLS, PALS, and ATLS. Didactics include small group discussions, hands on simulation, interactive presentations, board review, as well as opportunities for asynchronous learning. Specialty training offered in the PGY3 and 4 years in EMS/wilderness medicine,medical education/teaching, and sports medicine",8,8,8,No,No,"Yes , Codes: 2122110C0",No,11/1/2020,10/1/2020 - 1/29/2021_10/1/2021 - 1/28/2022,9/1/2021,11/1/2021,Yes,160,No,No,3,Yes,Yes,220__500_,No,226-235,Yes,No,541-600,Required,No,No,No,12,0,0,0,12,0,25.0,0.3 to 1,50,24,2,Yes,,Once per week for 4 week(s),16,Once per week for 4 week(s),12,Once per week for 8 week(s),16,5,0%,0%,"$56,056.00",20,Not Available,"$57,886.00",20,Not Available,"$59,696.00",20,Not Available,Yes,84,NGO,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Optional,No,No,Yes,"700 Children's Dr, Columbus, OH 43205-2596",8,No,0.0,0.0,100.0,36.4,63.5,Every eleventh night or more for 4 week(s),4,"$61,672.00",20,Not Available,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1103812038,University-based,Ohio State University Hospital,3,3,No,Yes,July,Yes,No,https://em.osumc.edu,Not Available,"Sorabh  Khandelwal
MD
Ohio State Univ Wexner Med Ctr
760 Prior Hall
376 W 10th Ave
Columbus, OH 43210
Tel: (614) 293-3551
Fax: (614) 293-3124
E-mail: sorabh.khandelwal@osumc.edu","Brittany  Williams
Ohio State Univ Wexner Med Ctr
774 Prior Hall
376 W 10th Ave
Columbus, OH 43210
Tel:
Fax: (614) 293-3124
E-mail: brittany.williams@osumc.edu",1103812038,"Ohio State Univ Wexner Med Ctr, 760 Prior Hall, 376 W 10th Ave, Columbus, OH 43210","410 W Tenth Ave, Columbus, OH 43210-1228","285 E State St, Columbus, OH 43215-1898","3535 Olentangy River Rd, Columbus, OH 43214","700 Children's Dr, Columbus, OH 43205-2596","Flipped classroom small group didactics, simulation, longitudinal ultrasound curriculum, many electives available including a month in Hawaii, flexible curriculum/rotations, longitudinal tracks, integrated longitudinal experiences at Nationwide Children's Hospital and OSU East (inner city site), endowment focused on resident well-being.",16,16,16,No,No,"Yes , Codes: 1566110C0",No,12/15/2020,11/16/2020 - 1/22/2021_-,,,Yes,190,No,No,2,No,Yes,210___,No,226-235,Yes,No,No Answer,"Desired, with some exceptions",Yes,No,No,56,0,6,0,62,0,42.8,1.2 to 1,50,24,2.5,Yes,,Every fourth night for 4 month(s),4,Every fourth night for 3 month(s),4,N/A,Not Available,5,10%,N/A,"$53,586.00",15,NGO,"$55,200.00",15,NGO,"$56,965.00",15,NGO,Yes,30,Not Available,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,When resident/fellow starts program,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Required,Yes,Yes,Yes,"1492 E Broad St, Columbus, OH 43205",,No,99.3,0.6,0.0,52.0,47.9,,,,,,NGO (wks),,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1103800205,,,4,4,No,Yes,July,Yes,No,http://www.ketteringhealth.org/grandviewmeded/,Not Available,"Jeremy J Taylor
DO
Grandview Med Ctr
Graduate Med Education
405 W Grand Ave
Dayton, OH 45405
Tel: (937) 723-3719
Fax: (937) 723-5017
E-mail: tracy.miller@ketteringhealth.org","Tracy L Miller
BS
Grandview Med Ctr
Graduate Med Education
405 W Grand Ave
Dayton, OH 45405
Tel: (937) 723-3719
Fax: (937) 723-5017
E-mail: tracy.miller@ketteringhealth.org",1103800205,"Grandview Med Ctr, Graduate Med Education, 405 W Grand Ave, Dayton, OH 45405","3535 Southern Blvd, Kettering, OH 45429-1221","405 W Grand Ave, Dayton, OH 45405","285 E State St, Columbus, OH 43215-1898","3535 Southern Blvd, Kettering, OH 45429-2989",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"One Children's Plaza, Dayton, OH 45404-1815",,,,,,,,,,,,,,"7677 Yankee St, Dayton, OH 45459","1222 S Patterson Blvd, Dayton, OH 45402","1989 Miamisburg Centerville Rd, Dayton, OH 45459",,,,,,,,,,
0,https://freida.ama-assn.org/program/1103812039,Community-based university affiliated,Miami Valley Hospital,3,3,No,Yes,July,Yes,No,https://medicine.wright.edu/emergency-medicine/residency-program,Not Available,"Mike  Ballester
MD
Wright State Univ Boonshoft Sch of Med
Cox Bldg
3525 Southern Blvd
Kettering, OH 45429
Tel: (937) 395-8839
Fax: (937) 395-8387
E-mail: michael.ballester@wright.edu","Christine  Reinemann
BA
Wright State Univ Boonshoft Sch of Med
Cox Bldg
3525 Southern Blvd
Kettering, OH 45429
Tel: (937) 395-8839
Fax:
E-mail: christine.reinemann@wright.edu",1103812039,"Wright State Univ Boonshoft Sch of Med, Cox Bldg, 3525 Southern Blvd, Kettering, OH 45429","3640 Colonel Glenn Hwy, Dayton, OH 45435","1 Wyoming St, Dayton, OH 45409","4881 Sugar Maple Dr, Wright-Patterson AFB, OH 45433","3535 Southern Blvd, Kettering, OH 45429-2989",Tactical training division; strong EMS; on-site high-fidelity simulation lab; rotations in both Level 1 trauma centers and community ED; ultrasound rotation; selective time for other educational experiences; ample opportunity for research.,16,16,16,No,No,"Yes , Codes: 2011110C0",No,1/4/2021,10/26/2020 - 1/22/2021_9/15/2021 -,9/14/2021,1/21/2022,Yes,130,No,Yes,2,No,Yes,210_210_550_550,Yes,226-235,Yes,Yes,Greater than 600,"Desired, with some exceptions",No,No,No,18,0,6,0,24,0,16.6,0.4 to 1,60,16,1.5,No,,N/A,0,Two times per week for 2 month(s),4,Two times per week for 2 month(s),4,5,NGO,N/A,"$53,244.00",21,14,"$54,570.00",21,14,"$55,752.00",21,14,Yes,21,15,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Optional,No,No,Yes,"One Children's Plaza, Dayton, OH 45404-1815",,Yes,54.4,11.5,33.9,27.5,72.4,,,,,,,,,,,,,,,,,,,
