,Link,Program best described as,Primary teaching site,Accredited length of training,Required length,Accepting applications for training that begins in 2021-2022,Will be accepting applications for training that begins in 2022-2023,Program start dates,Participates in ERAS®,Affiliated with U.S. government,Web Address,Video,Program director,Person to contact for more information about the program,ID,Location,Sponsor,Participant 0,Participant 1,Intro,Year 1,Year 2,Year 3,Requires previous GME,Offers preliminary positions,Participates in the Main Match of the National Resident Matching Program (NRMP),Participates in the Advanced or Fellowship Match of the National Resident Matching Program (NRMP),Latest date for applications for 2021-2022,Interview period,Earliest date for applications for 2022-2023,Latest date for applications for 2022-2023,Applicants may interview remotely via video conferencing,Interviews conducted last year for first year positions,Participates in San Francisco match,Participates in another matching program,Required letters of recommendation,Osteopathic Recognition and/or is accredited by the ACGME and the AOA,Step 1 required,Minimum score,Step 2 required,Average Step 1 score (range) of current residents/fellows,Level 1 required,Level 2 required,Average Level 1 score (range) of current residents/fellows,"To be considered by this program, passing Step 2 CS or Level 2 PE on the 1st try is:",J-1 visa sponsorship through ECFMG,H-1B visa,F-1 visa (OPT 1st year),Full-time paid_Physician,Full-time paid_Non-physician,Part-time paid_Physician,Part-time paid_Non-physician,Total_Physician,Total_Non-physician,Percentage of full-time paid female physician faculty,Ratio of full-time equivalent paid faculty to positions,"Avg. hrs/wk on duty during first year (including patient care, all call, night float, research, conferences, etc)",Maximum consecutive hours on duty during first year (excluding beeper call),Average number of 24-hour off duty periods per week during first year,Program allows moonlighting (beyond GY1),Night float system (Residents participate during first year),% USMD,% IMG,% DO,% Female,% Male,Year most taxing schedule And frequency per year_Year 1,Beeper or home call (Weeks/Year)_Year 1,Year most taxing schedule And frequency per year_Year 2,Beeper or home call (Weeks/Year)_Year 2,Year most taxing schedule And frequency per year_Year 3,Beeper or home call (Weeks/Year)_Year 3,Avg hours/week of scheduled structured didactic activities,Training at hospital outpatient clinics during 1st year,"Training during 1st year in ambulatory non-hospital community-based settings, e.g., physician offices, community clinics",Specialty Details,Salary compensation_Year 1,Vacation days_Year 1,Sick days_Year 1,Salary compensation_Year 2,Vacation days_Year 2,Sick days_Year 2,Salary compensation_Year 3,Vacation days_Year 3,Sick days_Year 3,Salary paid by a non-profit institution,Maximum number of paid days for family/medical leave,Maximum number of unpaid days for family/medical leave,Part-time/shared schedule positions,On-site child care,Subsidized child care,Moving allowance,Salary advance for moving or other expenses,Housing stipend,Free parking,On-call meal allowance,"iPads, tablets, etc., or technology allowance","Placement assistance upon completion of program into practice, fellowship or academia",Policy prohibits hiring smokers/users of nicotine products,Offers additional training or educational experience beyond accredited length,Offers a primary care track,Offers a rural track,Offers a women's health track,Offers a hospitalist track,Offers a research track/nonaccredited fellowship track,Offers an academic or clinician educator track,Offers another track,Patient surveys,Portfolio system,Objective structured clinical examinations (OSCE),Major medical insurance for residents,Major medical insurance for dependents,Major medical insurance for domestic partners,Outpatient mental health insurance,Inpatient mental health insurance,Group life insurance,Dental insurance,Disability insurance,Disability insurance for occupationally-acquired HIV,Medical insurance coverage begins,Integrative medicine curriculum,Formal mentoring program,"Curriculum to develop health systems leadership skills (e.g., QI project leadership, community/organizational advocacy)",Formal program to develop teaching skills,Formal program to foster interprofessional teamwork,Instruction in medical Spanish or other non-English language,Alternative/complementary medicine curriculum,Economics of health care systems curriculum,Debt management/financial counseling,Academic support for USMLE Step 3 preparation,International experience/global health,Resident/fellow retreats,Off-campus electives,Hospice/home care experience,"MPH, MBA, PhD or other advanced degree training",Research rotation,Aggregate resident Milestone achievements,Graduates’ board certification pass rates,"Performance-based assessment scores (e.g. OSCE, patient or computer simulations)",Participant 2,Participant 3,,Participant 4,Participant 5,Participant 6,Participant 7,Participant 8,Night float system,Participant 9,Participant 10,Participant 11,Participant 12,Participant 13,Year 4,Year most taxing schedule And frequency per year_Year 4,Beeper or home call (Weeks/Year)_Year 4,Salary compensation_Year 4,Vacation days_Year 4,Sick days_Year 4,Participant 14,Participant 15,Participant 16,Participant 17,Participant 18,Participant 19,Participant 20,Participant 21,Participant 22,Participant 23,Participant 24,Participant 25,Participant 26,Participant 27,Participant 28,Participant 29,Participant 30,Participant 31,Participant 32,Participant 33,Participant 34,Participant 35,Participant 36
0,https://freida.ama-assn.org/program/1200121624,Community-based,Baptist Medical Center South,3,3,No,Yes,June,Yes,No,https://www.baptistfirst.org/montgomery-family-medicine-residency-program/,Not Available,"Vikas  Gupta
MD, MPH
Baptist Outreach Services Montgomery
Ste 100
4371 Narrow Ln Rd
Montgomery, AL 36116
Tel: (334) 747-3680
Fax: (334) 747-7880
E-mail: vgupta@baptistfirst.org","Sheri  Johnson
BS
Baptist Outreach Services Montgomery
Ste 100
4371 Narrow Ln Rd
Montgomery, AL 36116-2952
Tel: (334) 747-7835
Fax: (334) 747-7880
E-mail: mfmrp@baptistfirst.org",1200121624,"Baptist Outreach Services Montgomery, Ste 100, 4371 Narrow Ln Rd, Montgomery, AL 36116","301 Brown Springs Rd, Montgomery, AL 36124-0124","2105 E South Blvd, Montgomery, AL 36111-1010","400 Taylor Rd, Montgomery, AL 36117",We are an unopposed community program with a running 7 year 100% ABFM pass rate. Most of our graduates remain in Alabama upon completion of the program in a variety of settings. We have a great board study guide and wonderful faculty mentors.,8,8,8,No,No,"Yes , Codes: 3082120C0",No,12/31/2020,11/4/2020 - 2/10/2021_10/1/2021 - 1/30/2022,9/15/2021,12/31/2021,No,58,No,No,3,No,Yes,200_209_400_400,Yes,210-225,Yes,Yes,Below 450,"Desired, with some exceptions",Yes,No,No,5,0,1,0,6,0,40,0.2 to 1,60,24,1.5,Yes,Yes,13.8,66.6,19.4,51.3,48.6,N/A,2,N/A,4,N/A,4,5,40%,10%,Recent data from the American Board of Family Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abfm.org.,"$51,500.00",23,10,"$53,500.00",23,10,"$55,500.00",23,10,Yes,23,120,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Resident Shares Cost,Resident Shares Cost,Not Available,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Resident Shares Cost,Not Available,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Optional,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1200121026,,,3,3,Yes,Yes,"July,Negotiable",Yes,No,http://www.uab.edu/selma,Not Available,"Tiffani N Maycock
DO
Univ of Alabama Med Ctr
Selma Family Medicine Pgm Ste 200
1023 Medical Center Pkwy
Selma, AL 36701
Tel: (334) 875-4184
Fax: (334) 874-3511
E-mail: kandicecollins@uabmc.edu","Kandice  Collins
Univ of Alabama Med Ctr
Selma Family Medicine Pgm Ste 200
1023 Medical Center Pkwy
Selma, AL 36701
Tel: (334) 875-4184
Fax: (334) 874-3511
E-mail: kandicecollins@uabmc.edu",1200121026,"Univ of Alabama Med Ctr, Selma Family Medicine Pgm Ste 200, 1023 Medical Center Pkwy, Selma, AL 36701","619 19th St S, Birmingham, AL 35249-6505","1015 Medical Center Pkwy, Selma, AL 36701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1200121027,Community-based university affiliated,University of Alabama-Tuscaloosa,3,3,No,Yes,Negotiable,Yes,No,http://fmr.ua.edu,Not Available,"Tamer  Elsayed
MD
Tuscaloosa Coll of Community Health Sciences
Family Medicine Pgm
PO Box 870377
Tuscaloosa, AL 35487
Tel: (205) 348-1370
Fax: (205) 348-2695
E-mail: aradams@ua.edu","Alison R Adams
Tuscaloosa Coll of Community Health Sciences
Family Medicine Pgm
PO Box 870377
Tuscaloosa, AL 35487
Tel: (205) 348-1370
Fax: (205) 348-2695
E-mail: aradams@ua.edu",1200121027,"Tuscaloosa Coll of Community Health Sciences, Family Medicine Pgm, PO Box 870377, Tuscaloosa, AL 35487","850 5th Ave E, Tuscaloosa, AL 35401","809 University Blvd E, Tuscaloosa, AL 35403-9990",,"100% passage rate on board exams. Unopposed program providing ample opportunity for residents to directly care for patients and develop rural procedural skills. Proven track record of quality graduates who have entered urban, rural, and academic settings.",16,16,16,No,No,"Yes , Codes: 2955120C0",No,1/15/2021,11/1/2020 - 1/31/2021_10/1/2021 - 1/31/2022,9/15/2021,12/15/2021,Yes,180,No,No,3,No,Yes,__450_,No,210-225,Yes,No,501-540,"Desired, with some exceptions",Yes,No,No,38,9,0,0,38,9,44.7,0.7 to 1,60,16,1,Yes,Yes,44.5,37.6,17.7,60.3,39.6,Two times per week for 8 month(s),0,Two times per week for 5 month(s),0,Two times per week for 3 month(s),Not Available,5,NGO,25%,Recent data from the American Board of Family Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abfm.org.,"$55,468.00",15,11,"$56,939.00",15,11,"$59,077.00",15,11,Yes,NGO,NGO,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Resident Shares Cost,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Optional,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1200400727,,,3,3,No,Yes,July,Yes,No,http://regionalprograms.uams.edu/regional-centers/uams-north-central,Not Available,"Michael J Weaver
MD
UAMS North Central
Family Medicine Pgm
1993 Harrison St
Batesville, AR 72501
Tel: (870) 698-9992
Fax:
E-mail: bnelson@uams.edu","Brandi  Nelson
BS
UAMS North Central
Family Medicine Pgm
1993 Harrison St
Batesville, AR 72501
Tel: (870) 698-9992
Fax: (870) 698-0022
E-mail: bnelson@uams.edu",1200400727,"UAMS North Central, Family Medicine Pgm, 1993 Harrison St, Batesville, AR 72501","4301 W Markham St, Little Rock, AR 72205-7199","1710 Harrison St, Batesville, AR 72501","2800 Neeley St, Batesville, AR 72501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1200400729,,,3,3,No,Yes,July,Yes,No,http://www.conwayregional.org,Not Available,"Sarah  Robertson
MD
Conway Regional Med Ctr
Family Medicine Pgm
2302 College Ave
Conway, AR 72034
Tel: (501) 329-3831
Fax:
E-mail: sarah.robertson@conwayregional.org","Megan  Stelting
BS
Conway Regional Med Ctr
Family Medicine Pgm
2302 College Ave
Conway, AR 72034
Tel: (501) 513-5279
Fax:
E-mail: gme@conwayregional.org",1200400729,"Conway Regional Med Ctr, Family Medicine Pgm, 2302 College Ave, Conway, AR 72034","2302 College Ave, Conway, AR 72034","2302 College Ave, Conway, AR 72034","800 Marshall St, Little Rock, AR 72202-3591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1200421033,Community-based university affiliated,Washington Regional Medical Center,3,3,No,Yes,"June,July,Negotiable",Yes,No,https://regionalprograms.uams.edu/regional-residencies/residencies/northwes,UAMS Northwest Family Medicine Residency Program,"Michael C Macechko
MD
UAMS Northwest
Family Medicine Pgm
1125 N College Ave
Fayetteville, AR 72703
Tel: (479) 521-0263
Fax: (479) 521-8723
E-mail: mdmacechko@uams.edu","Janice E Huddleston
UAMS Northwest
Family Medicine Pgm
1125 N College Ave
Fayetteville, AR 72703
Tel: (479) 521-0263
Fax: (479) 521-8723
E-mail: jhuddleston@uams.edu",1200421033,"UAMS Northwest, Family Medicine Pgm, 1125 N College Ave, Fayetteville, AR 72703","4301 W Markham St, Little Rock, AR 72205-7199","3215 N North Hills Blvd, Fayetteville, AR 72703","609 W Maple St, Springdale, AR 72764",Our vision is to inspire passion for lifelong learning and service in our residents. Our curriculum covers the essence of family medicine with strong inpatient rotations. Our faculty assist residents to locate their best fit job. We are seeking applicants who possess a strong commitment to service and embrace teamwork. Applicants must be in good physical and mental health and possess strong stamina and resilience.,10,10,9,No,No,"Yes , Codes: 3002120C0",No,12/31/2020,10/25/2020 - 1/31/2021_10/1/2021 - 1/31/2022,9/15/2021,12/31/2021,Yes,85,No,No,3,No,Yes,194_209_400_400,Yes,Below 210,Yes,Yes,Below 450,"Desired, with some exceptions",No,No,No,7,3,2,0,9,3,28.5,0.2 to 1,65,24,1.5,Yes,Yes,25.1,74.8,0,47.6,52.3,Once per week for 21 week(s),0,Once per week for 6 week(s),0,Once per week for 6 week(s),Not Available,2,NGO,N/A,Recent data from the American Board of Family Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abfm.org.,"$53,615.00",15,6,"$54,365.00",15,6,"$56,158.00",15,6,No,NGO,NGO,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Fully Paid by Institution,Resident Shares Cost,Not Available,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Required,Yes,Yes,Yes,"1179 N College Ave, Fayetteville, AR 72703","102 N Gutensohn Rd, Springdale, AR 72762",(1 wks ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1200421034,Community-based university affiliated,Baptist Health-Fort Smith,3,3,No,Yes,July,Yes,No,http://www.uams.edu/west,Not Available,"Katherine A Irish-Clardy
MD
UAMS Regional Ctrs-West
Family Med Ctr
612 S 12th St
Fort Smith, AR 72901
Tel: (479) 424-3193
Fax: (479) 785-0732
E-mail: cmsmith@uams.edu","Cathy M Smith
UAMS Regional Ctrs-West
Family Med Ctr
612 S 12th St
Fort Smith, AR 72901
Tel: (479) 785-2431
Fax: (479) 785-0732
E-mail: cmsmith@uams.edu",1200421034,"UAMS Regional Ctrs-West, Family Med Ctr, 612 S 12th St, Fort Smith, AR 72901","4301 W Markham St, Little Rock, AR 72205-7199","1001 Towson Ave, Fort Smith, AR 72901","5921 Riley Park Dr, Fort Smith, AR 72916",Residents receive excellent training in a resident-friendly atmosphere. Intensive OB track and GI endoscopy track available for those interested. Wonderful outdoor four season location in western Arkansas.,9,9,9,No,No,"Yes , Codes: 3003120C0",No,12/31/2020,10/26/2020 - 1/29/2021_10/24/2021 - 1/31/2022,8/31/2021,12/31/2021,No,74,No,No,3,No,Yes,___,Yes,210-225,Yes,Yes,450-500,"Desired, with some exceptions",No,No,No,7,2,0,0,7,2,42.8,0.2 to 1,72,16,1.6,Yes,Yes,44.8,53.8,1.2,29.4,70.5,N/A,0,Every eighth night for 12 month(s),0,Every eighth night for 1 month(s),48,5,NGO,20%,Recent data from the American Board of Family Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abfm.org.,"$53,615.00",15,NGO,"$54,365.00",15,NGO,"$56,158.00",15,NGO,Yes,21,69,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Fully Paid by Institution,Resident Shares Cost,Not Available,Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,Resident Shares Cost,Fully Paid by Institution,Fully Paid by Institution,When resident/fellow starts program,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Optional,Yes,Yes,No,"3310 N 50th St, Fort Smith, AR 72904","7425 Euper Ln, Fort Smith, AR 72903",,"7301 Rogers Ave, Fort Smith, AR 72903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1200421406,Community-based,St Bernards Medical Center,3,3,No,Yes,July,Yes,No,http://arkansasahecresidencies.com/ahec-northeast,Not Available,"Scott M Dickson
MD
UAMS Regional Ctrs Northeast
Dept of Family Medicine
311 E Matthews
Jonesboro, AR 72401
Tel: (870) 931-9137
Fax: (870) 910-0024
E-mail: rmouzy@uams.edu","Robin D Mouzy
UAMS Regional Ctrs Northeast
Dept of Family Medicine
311 E Matthews
Jonesboro, AR 72401
Tel: (870) 931-9137
Fax: (870) 910-0024
E-mail: rmouzy@uams.edu",1200421406,"UAMS Regional Ctrs Northeast, Dept of Family Medicine, 311 E Matthews, Jonesboro, AR 72401","4301 W Markham St, Little Rock, AR 72205-7199","224 E Matthews St, Jonesboro, AR 72401","4800 E Johnson Ave, Jonesboro, AR 72401","Our clinic is located across the street to a busy regional medical center where many of our inpatients receive care. Interesting and challenging patient care experience await you in our clinic, electronic medical records, inpatient, or OB experience.",8,8,8,No,No,"Yes , Codes: 1582120C2",No,1/31/2021,10/1/2020 - 2/15/2021_10/1/2021 - 1/15/2022,9/15/2021,1/15/2022,Yes,64,No,No,3,No,Yes,200_215_400_429,Yes,210-225,Yes,Yes,Below 450,"Desired, with some exceptions",No,No,No,5,2,5,0,10,2,40,0.3 to 1,50,23,1.5,Yes,Yes,46.3,39.4,14.1,25.3,74.6,Every eighth night for 10 month(s),0,Every eighth night for 12 month(s),9,Every eighth night for 12 month(s),9,5,NGO,50%,Recent data from the American Board of Family Medicine on cumulative certifying examinations' pass rates can be found at their web site www.abfm.org.,"$53,084.00",15,NGO,"$53,299.00",15,NGO,"$55,057.00",15,NGO,No answer,30,0,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Fully Paid by Institution,"Available, Not Paid By Institution","Available, Not Paid By Institution",Fully Paid by Institution,Fully Paid by Institution,Fully Paid by Institution,"Available, Not Paid By Institution",Fully Paid by Institution,Not Available,When resident/fellow starts program,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Optional,No,Yes,No,"1005 E Matthews Ave, Jonesboro, AR 72401","621 E Matthews Ave, Jonesboro, AR 72401",,"800 S Church St, Jonesboro, AR 72401","800 S Church St, Jonesboro, AR 72401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1200421035,,,3,3,No,Yes,"June,July",Yes,No,http://familymedicine.uams.edu,Not Available,"Shashank  Kraleti
MD
UAMS Med Ctr
Family Medicine Pgm Slot 530
4301 W Markham St
Little Rock, AR 72205
Tel: (501) 686-8820
Fax: (501) 686-8421
E-mail: carlsonkathleenl@uams.edu","Kathleen  Carlson
BA
UAMS Med Ctr
Family Medicine Pgm Slot 530
4301 W Markham St
Little Rock, AR 72205-7199
Tel: (501) 686-8820
Fax: (501) 686-8421
E-mail: carlsonkathleenl@uams.edu",1200421035,"UAMS Med Ctr, Family Medicine Pgm Slot 530, 4301 W Markham St, Little Rock, AR 72205","4301 W Markham St, Little Rock, AR 72205-7249","4301 W Markham St, Little Rock, AR 72205","800 Marshall St, Little Rock, AR 72202-3591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4300 W 7th St, Little Rock, AR 72205-5484","9601 I-630 Exit 7, Little Rock, AR 72205-7299",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,https://freida.ama-assn.org/program/1200400725,,,3,3,No,No,,Yes,No,http://arkansasahecresidencies.com/uams-south/overview/welcome/,Not Available,"Mimo  Lemdja
MD
Univ of Arkansas for Med Sciences
Family Medicine Pgm
1617 N Washington St
Magnolia, AR 71753
Tel: (870) 562-2577
Fax: (870) 562-2559
E-mail: mrlemdja@uams.edu","Tracy C Jackson-Doss
BBA
Univ of Arkansas for Med Sciences
Family Medicine Pgm
1617 N Washington St
Magnolia, AR 71753
Tel: (870) 562-2577
Fax: (870) 562-2559
E-mail: tdjacksondoss@uams.edu",1200400725,"Univ of Arkansas for Med Sciences, Family Medicine Pgm, 1617 N Washington St, Magnolia, AR 71753","4301 W Markham St, Little Rock, AR 72205-7199","4301 W Markham St, Little Rock, AR 72205","800 Marshall St, Little Rock, AR 72202-3591",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2600 St Michael Dr, Texarkana, AR 75503","101 Hospital Dr, Magnolia, AR 71753",,"1000 Pine St, Texarkana, TX 75504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
